Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1670629544,0,1,-68,68,11,11,40,1,0.438,0,2.6,23,309,23,0
1670629545,0,1,-64,64,2.7,11,40,1,0.449,0,2.6,23,349,23,0
1670629546,0,1,-64,64,-1.9,11,40,1,0.449,0,2.6,23,385,23,0
1670629547,0,1,-64,64,5.2,16,40,1,0.948,0,2.6,23,302,23,0
1670629548,0,1,-64,64,19,19,40,1,1.3,0,2.6,23,293,23,0
1670629549,0,1,-64,64,0.642,11,40,1,0.448,0,2.6,23,332,23,0
1670629550,0,1,-64,64,0.144,11,40,1,0.446,0,2.6,23,373,23,0
1670629551,0,1,-64,64,-6.2,11,40,1,0.445,0,2.6,23,382,23,0
1670629552,0,1,-64,64,6.9,18,40,1,1.1,0,2.6,23,278,23,0
1670629553,0,1,-64,64,14,16,40,1,1,0,2.6,23,284,23,0
1670629554,0,1,-64,64,1.4,11,40,1,0.448,0,2.6,23,303,23,0
1670629555,0,1,-64,64,8.2,11,40,1,0.437,0,2.6,23,327,23,0
1670629556,0,1,-64,64,5.4,11,40,1,0.448,0,2.6,23,334,23,0
1670629557,0,1,-60,60,8.5,11,40,1,0.444,0,2.6,23,340,23,0
1670629558,0,1,-60,60,-1.8,11,40,1,0.445,0,2.6,23,343,22,0
1670629559,0,1,-60,60,-0.406,11,40,1,0.446,0,2.6,23,343,23,0
1670629560,0,1,-60,60,-0.088,11,40,1,0.441,0,2.6,23,348,23,0
1670629561,0,1,-60,60,0.145,11,40,1,0.449,0,2.6,23,359,22,0
1670629562,0,1,-60,60,0.772,11,40,1,0.449,0,2.6,23,378,23,0
1670629563,0,1,-60,60,-0.797,11,40,1,0.444,0,2.6,23,383,23,0
1670629564,0,1,-60,60,12,20,40,1,1.3,0,2.6,23,283,23,0
1670629565,0,1,-60,60,13,15,40,1,0.856,0,2.6,23,296,23,0
1670629566,0,1,-60,60,1.6,11,40,1,0.442,0,2.6,23,336,22,0
1670629567,0,1,-60,60,-1.1,11,40,1,0.447,0,2.6,23,371,23,0
1670629568,0,1,-58,58,5.7,11,40,1,0.444,0,2.6,23,383,23,0
1670629569,0,1,-55,55,10,17,40,1,1,0,2.6,23,287,23,0
1670629570,0,1,-55,55,12,18,40,1,1.2,0,2.6,23,235,23,0
1670629571,0,1,-55,55,-4.6,11,40,1,0.46,0,2.6,23,183,23,0
1670629572,0,1,-55,55,1.7,11,40,1,0.453,0,2.6,23,204,23,0
1670629573,0,1,-55,55,1,11,40,1,0.445,0,2.6,23,219,23,0
1670629574,0,1,-55,55,-1.8,11,40,1,0.44,0,2.6,23,221,23,0
1670629575,0,1,-55,55,5.2,11,40,1,0.455,0,2.6,23,224,23,0
1670629576,0,1,-55,55,7.4,11,40,1,0.457,0,2.6,23,227,23,0
1670629577,0,1,-55,55,0.605,11,40,1,0.465,0,2.6,23,229,23,0
1670629578,0,1,-55,55,1,11,40,1,0.459,0,2.6,23,237,23,0
1670629579,0,1,-55,55,8,11,40,1,0.466,0,2.6,23,254,23,0
1670629580,0,1,-55,55,-0.413,11,40,1,0.456,0,2.6,23,283,23,0
1670629581,0,1,-55,55,3.4,11,40,1,0.458,0,2.6,23,327,23,0
1670629582,0,1,-55,55,5.5,11,40,1,0.446,0,2.6,23,386,23,0
1670629583,0,1,-54,54,5,14,40,1,0.73,0,2.6,23,341,23,0
1670629584,0,1,-51,51,22,20,40,1,1.4,0,2.6,23,293,23,0
1670629585,0,1,-51,51,9.3,14,40,1,0.693,0,2.6,23,331,23,0
1670629586,0,1,-51,51,3.2,11,40,1,0.492,0,2.6,23,366,23,0
1670629587,0,1,-51,51,-1.6,11,40,1,0.469,0,2.6,23,384,23,0
1670629588,0,1,-51,51,8.8,15,40,1,0.92,0,2.6,23,306,23,0
1670629589,0,1,-51,51,20,19,40,1,1.3,0,2.6,23,273,23,0
1670629590,0,1,-51,51,3.3,11,40,1,0.449,0,2.6,23,193,23,0
1670629591,0,1,-51,51,-2.8,11,40,1,0.447,0,2.6,23,216,23,0
1670629592,0,1,-51,51,2.1,11,40,1,0.442,0,2.6,23,232,23,0
1670629593,0,1,-51,51,1.2,11,40,1,0.446,0,2.6,23,236,23,0
1670629594,0,1,-51,51,-1.1,11,40,1,0.449,0,2.6,23,238,23,0
1670629595,0,1,-51,51,2.2,11,40,1,0.44,0,2.6,23,235,23,0
1670629596,0,1,-44,44,1.3,11,40,1,0.444,0,2.6,23,241,23,0
1670629597,0,1,-43,43,0.858,11,40,1,0.446,0,2.6,23,251,23,0
1670629598,0,1,-43,43,-0.053,11,40,1,0.446,0,2.6,23,270,23,0
1670629599,0,1,-43,43,3.2,11,40,1,0.449,0,2.6,23,297,23,0
1670629600,0,1,-43,43,5.9,11,40,1,0.443,0,2.6,23,343,23,0
1670629601,0,1,-43,43,2.8,11,40,1,0.439,0,2.6,23,386,23,0
1670629602,0,1,-43,43,3,15,40,1,0.889,0,2.6,23,315,22,0
1670629603,0,1,-43,43,17,20,40,1,1.4,0,2.6,23,304,23,0
1670629604,0,1,-43,43,4.7,11,40,1,0.455,0,2.6,23,338,23,0
1670629605,0,1,-43,43,-1.2,11,40,1,0.449,0,2.6,23,379,23,0
1670629606,0,1,-43,43,5.4,11,40,1,0.448,0,2.6,23,385,23,0
1670629607,0,1,-43,43,23,19,40,1,1.3,0,2.6,23,280,23,0
1670629608,0,1,-39,39,14,14,40,1,0.73,0,2.6,23,292,23,0
1670629609,0,1,-39,39,1.1,11,40,1,0.448,0,2.6,23,315,23,0
1670629610,0,1,-39,39,1.6,11,40,1,0.446,0,2.6,23,330,23,0
1670629611,0,1,-39,39,0.703,11,40,1,0.443,0,2.6,23,337,23,0
1670629612,0,1,-39,39,-2,11,40,1,0.449,0,2.6,23,340,23,0
1670629613,0,1,-39,39,-1.1,11,40,1,0.449,0,2.6,23,344,23,0
1670629614,0,1,-39,39,-1.5,11,40,1,0.437,0,2.6,23,343,23,0
1670629615,0,1,-39,39,-2.2,11,40,1,0.445,0,2.6,23,351,23,0
1670629616,0,1,-39,39,4.4,11,40,1,0.445,0,2.6,23,367,23,0
1670629617,0,1,-39,39,1.6,11,40,1,0.444,0,2.6,23,385,23,0
1670629618,0,1,-39,39,15,14,40,1,0.786,0,2.6,23,326,23,0
1670629619,0,1,-36,36,24,20,40,1,1.3,0,2.6,23,282,22,0
1670629620,0,1,-32,32,3.6,11,40,1,0.452,0,2.6,23,302,23,0
1670629621,0,1,-32,32,9.1,11,40,1,0.45,0,2.6,23,340,23,0
1670629622,0,1,-32,32,2.5,11,40,1,0.454,0,2.6,23,368,22,0
1670629623,0,1,-32,32,4.7,11,40,1,0.465,0,2.6,23,385,23,0
1670629624,0,1,-32,32,12,11,40,1,0.455,0,2.6,23,385,23,0
1670629625,0,1,-32,32,23,17,40,1,1.1,0,2.6,23,314,23,0
1670629626,0,1,-32,32,14,20,40,1,1.4,0,2.6,23,275,23,0
1670629627,0,1,-32,32,13,13,40,1,0.631,0,2.6,23,287,23,0
1670629628,0,1,-32,32,5.7,11,40,1,0.448,0,2.6,23,311,23,0
1670629629,0,1,-32,32,6.8,11,40,1,0.445,0,2.6,23,326,23,0
