Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1670629475,4,0,1,0.56,4.59,0,0.0636
1670629476,4,1,2,0.445,3.65,0,0.0806
1670629477,4,2,3,0.318,2.61,0,0.0947
1670629478,4,3,4,0.382,3.13,0,0.107
1670629479,4,4,5,0.509,4.17,0,0.129
1670629480,4,5,6,0.636,5.21,0,0.153
1670629481,4,6,7,0.7,5.74,0,0.189
1670629482,4,7,8,0.827,6.78,0,0.257
1670629483,4,8,9,0.954,7.82,0,0.344
1670629484,4,9,10,1.018,8.34,0,0.445
1670629485,4,10,11,0.318,2.6,48,0.335
1670629486,4,11,12,0.764,6.27,19,0.339
1670629487,4,12,13,0.509,4.17,0,0.376
1670629488,4,13,14,0.445,3.65,0,0.416
1670629489,4,14,15,0.0636,0.521,22,0.293
1670629490,4,15,16,0.891,7.3,0,0.298
1670629491,4,16,17,0.509,4.17,0,0.321
1670629492,4,17,18,0.445,3.65,0,0.339
1670629493,4,18,19,0.509,4.17,0,0.349
1670629494,4,19,20,0.445,3.65,0,0.354
1670629495,4,20,21,0.509,4.17,0,0.355
1670629496,4,21,22,0.445,3.65,0,0.356
1670629497,4,22,23,0.509,4.17,0,0.361
1670629498,4,23,24,0.445,3.65,0,0.372
1670629499,4,24,25,0.445,3.65,0,0.392
1670629500,4,25,26,0.318,2.6,6,0.369
1670629501,4,26,27,0.318,2.61,14,0.29
1670629502,4,27,28,0.827,6.78,0,0.317
1670629503,4,28,29,0.445,3.65,0,0.352
1670629504,4,29,30,0.509,4.17,0,0.38
1670629505,4,30,31,0.445,3.65,0,0.399
1670629506,4,31,32,0.0636,0.521,11,0.28
1670629507,4,32,33,0.891,7.3,0,0.287
1670629508,4,33,34,0.509,4.17,0,0.31
1670629509,4,34,35,0.509,4.17,0,0.327
1670629510,4,35,36,0.382,3.13,0,0.335
1670629511,4,36,37,0.318,2.6,0,0.339
1670629512,4,37,38,0.382,3.13,0,0.341
1670629513,4,38,39,0.445,3.65,0,0.342
1670629514,4,39,40,0.509,4.18,0,0.348
1670629515,4,40,41,0.445,3.65,0,0.359
1670629516,4,41,42,0.509,4.17,0,0.38
1670629517,4,42,43,0.445,3.65,0,0.414
1670629518,4,43,44,0.0636,0.522,22,0.291
1670629519,4,44,45,0.891,7.29,0,0.223
1670629520,4,45,46,0.573,4.69,0,0.219
