Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1670629475,5,0,1,0.209,1.71
1670629476,5,1,2,0.334,2.73
1670629477,5,2,3,0.264,2.17
1670629478,5,3,4,0.26,2.13
1670629479,5,4,5,0.441,3.61
1670629480,5,5,6,0.461,3.77
1670629481,5,6,7,0.486,3.99
1670629482,5,7,8,0.488,4
1670629483,5,8,9,0.474,3.88
1670629484,5,9,10,0.465,3.81
1670629485,5,10,11,0.148,1.22
1670629486,5,11,12,0.751,6.15
1670629487,5,12,13,0.469,3.85
1670629488,5,13,14,0.481,3.94
1670629489,5,14,15,0.106,0.869
1670629490,5,15,16,0.776,6.36
1670629491,5,16,17,0.478,3.92
1670629492,5,17,18,0.482,3.95
1670629493,5,18,19,0.468,3.83
1670629494,5,19,20,0.488,4
1670629495,5,20,21,0.481,3.94
1670629496,5,21,22,0.485,3.98
1670629497,5,22,23,0.465,3.81
1670629498,5,23,24,0.464,3.8
1670629499,5,24,25,0.472,3.87
1670629500,5,25,26,0.351,2.87
1670629501,5,26,27,0.349,2.86
1670629502,5,27,28,0.744,6.09
1670629503,5,28,29,0.469,3.85
1670629504,5,29,30,0.458,3.75
1670629505,5,30,31,0.482,3.95
1670629506,5,31,32,0.123,1.01
1670629507,5,32,33,0.843,6.9
1670629508,5,33,34,0.471,3.86
1670629509,5,34,35,0.465,3.81
1670629510,5,35,36,0.419,3.43
1670629511,5,36,37,0.349,2.86
1670629512,5,37,38,0.373,3.06
1670629513,5,38,39,0.455,3.73
1670629514,5,39,40,0.498,4.08
1670629515,5,40,41,0.468,3.83
1670629516,5,41,42,0.489,4.01
1670629517,5,42,43,0.485,3.97
1670629518,5,43,44,0.124,1.02
1670629519,5,44,45,0.805,6.59
1670629520,5,45,46,0.471,3.86
1670629521,5,46,47,0.452,3.71
1670629522,5,47,48,0.474,3.88
1670629523,5,48,49,0.486,3.98
1670629524,5,49,50,0.477,3.9
1670629525,5,50,51,0.464,3.8
1670629526,5,51,52,0.468,3.83
1670629527,5,52,53,0.484,3.96
1670629528,5,53,54,0.491,4.02
1670629529,5,54,55,0.464,3.8
1670629530,5,55,56,0.387,3.18
1670629531,5,56,57,0.363,2.98
1670629532,5,57,58,0.182,1.49
1670629533,5,58,59,0.212,1.74
1670629534,5,59,60,0.615,5.04
1670629535,5,60,61,0.348,2.85
1670629536,5,61,62,0.352,2.88
1670629537,5,62,63,0.41,3.36
1670629538,5,63,64,0.457,3.74
1670629539,5,64,65,0.451,3.7
1670629540,5,65,66,0.386,3.16
1670629541,5,66,67,0.349,2.85
1670629542,5,67,68,0.366,3.01
1670629543,5,68,69,0.462,3.79
1670629544,5,69,70,0.465,3.81
1670629545,5,70,71,0.471,3.85
1670629546,5,71,72,0.477,3.91
1670629547,5,72,73,0.0693,0.567
1670629548,5,73,74,0.844,6.92
1670629549,5,74,75,0.481,3.94
1670629550,5,75,76,0.461,3.78
1670629551,5,76,77,0.437,3.58
1670629552,5,77,78,0.192,1.58
1670629553,5,78,79,0.749,6.14
1670629554,5,79,80,0.468,3.83
1670629555,5,80,81,0.464,3.8
1670629556,5,81,82,0.474,3.88
1670629557,5,82,83,0.477,3.9
1670629558,5,83,84,0.454,3.72
1670629559,5,84,85,0.469,3.85
1670629560,5,85,86,0.486,3.98
1670629561,5,86,87,0.467,3.82
1670629562,5,87,88,0.474,3.88
1670629563,5,88,89,0.341,2.79
1670629564,5,89,90,0.287,2.35
1670629565,5,90,91,0.751,6.15
1670629566,5,91,92,0.462,3.79
1670629567,5,92,93,0.485,3.97
1670629568,5,93,94,0.471,3.86
1670629569,5,94,95,0.141,1.16
1670629570,5,95,96,0.737,6.04
1670629571,5,96,97,0.301,2.47
1670629572,5,97,98,0.366,3
1670629573,5,98,99,0.444,3.64
1670629574,5,99,100,0.471,3.86
1670629575,5,100,101,0.315,2.58
1670629576,5,101,102,0.301,2.47
1670629577,5,102,103,0.284,2.33
1670629578,5,103,104,0.283,2.32
1670629579,5,104,105,0.246,2.01
1670629580,5,105,106,0.322,2.64
1670629581,5,106,107,0.346,2.83
1670629582,5,107,108,0.452,3.71
1670629583,5,108,109,0.195,1.6
1670629584,5,109,110,0.74,6.06
1670629585,5,110,111,0.4,3.28
1670629586,5,111,112,0.349,2.86
1670629587,5,112,113,0.356,2.92
1670629588,5,113,114,0.107,0.88
1670629589,5,114,115,0.822,6.74
1670629590,5,115,116,0.474,3.88
1670629591,5,116,117,0.474,3.88
1670629592,5,117,118,0.492,4.03
1670629593,5,118,119,0.468,3.83
1670629594,5,119,120,0.471,3.86
1670629595,5,120,121,0.482,3.95
1670629596,5,121,122,0.461,3.78
1670629597,5,122,123,0.468,3.83
1670629598,5,123,124,0.488,4
1670629599,5,124,125,0.465,3.81
1670629600,5,125,126,0.461,3.78
1670629601,5,126,127,0.457,3.74
1670629602,5,127,128,0.115,0.938
1670629603,5,128,129,0.83,6.8
1670629604,5,129,130,0.479,3.93
1670629605,5,130,131,0.461,3.78
1670629606,5,131,132,0.366,3
1670629607,5,132,133,0.307,2.51
1670629608,5,133,134,0.758,6.21
1670629609,5,134,135,0.471,3.86
1670629610,5,135,136,0.477,3.9
1670629611,5,136,137,0.467,3.82
1670629612,5,137,138,0.481,3.94
1670629613,5,138,139,0.452,3.71
1670629614,5,139,140,0.477,3.9
1670629615,5,140,141,0.474,3.88
1670629616,5,141,142,0.467,3.82
1670629617,5,142,143,0.474,3.88
1670629618,5,143,144,0.161,1.32
1670629619,5,144,145,0.783,6.42
1670629620,5,145,146,0.344,2.81
1670629621,5,146,147,0.28,2.29
1670629622,5,147,148,0.291,2.39
1670629623,5,148,149,0.26,2.13
1670629624,5,149,150,0.293,2.4
1670629625,5,150,151,0.00848,0.0694
1670629626,5,151,152,0.666,5.46
1670629627,5,152,153,0.417,3.42
1670629628,5,153,154,0.468,3.83
1670629629,5,154,155,0.474,3.88
1670629630,5,155,156,0.399,3.27
1670629631,5,156,157,0.346,2.84
1670629632,5,157,158,0.337,2.76
1670629633,5,158,159,0.455,3.73
1670629634,5,159,160,0.45,3.68
1670629635,5,160,161,0.455,3.73
1670629636,5,161,162,0.486,3.98
1670629637,5,162,163,0.221,1.81
1670629638,5,163,164,0.693,5.68
1670629639,5,164,165,0.455,3.73
1670629640,5,165,166,0.458,3.75
1670629641,5,166,167,0.464,3.8
1670629642,5,167,168,0.359,2.94
1670629643,5,168,169,0.276,2.26
1670629644,5,169,170,0.732,6
1670629645,5,170,171,0.479,3.93
1670629646,5,171,172,0.462,3.79
1670629647,5,172,173,0.464,3.8
1670629648,5,173,174,0.475,3.89
1670629649,5,174,175,0.464,3.8
1670629650,5,175,176,0.468,3.83
1670629651,5,176,177,0.471,3.86
1670629652,5,177,178,0.45,3.68
1670629653,5,178,179,0.474,3.88
1670629654,5,179,180,0.382,3.13
1670629655,5,180,181,0.287,2.35
1670629656,5,181,182,0.731,5.99
1670629657,5,182,183,0.474,3.88
1670629658,5,183,184,0.452,3.71
1670629659,5,184,185,0.482,3.95
1670629660,5,185,186,0.137,1.12
1670629661,5,186,187,0.803,6.58
1670629662,5,187,188,0.474,3.88
1670629663,5,188,189,0.481,3.94
1670629664,5,189,190,0.458,3.75
1670629665,5,190,191,0.331,2.71
1670629666,5,191,192,0.27,2.21
1670629667,5,192,193,0.283,2.32
1670629668,5,193,194,0.273,2.24
1670629669,5,194,195,0.267,2.19
1670629670,5,195,196,0.264,2.17
1670629671,5,196,197,0.362,2.97
1670629672,5,197,198,0.197,1.61
1670629673,5,198,199,0.433,3.55
1670629674,5,199,200,0.697,5.71
1670629675,5,200,201,0.402,3.29
1670629676,5,201,202,0.331,2.71
1670629677,5,202,203,0.368,3.01
1670629678,5,203,204,0.0693,0.568
1670629679,5,204,205,0.831,6.81
1670629680,5,205,206,0.458,3.75
1670629681,5,206,207,0.481,3.94
1670629682,5,207,208,0.474,3.88
1670629683,5,208,209,0.437,3.58
1670629684,5,209,210,0.426,3.49
1670629685,5,210,211,0.445,3.65
1670629686,5,211,212,0.458,3.75
1670629687,5,212,213,0.457,3.74
1670629688,5,213,214,0.461,3.78
1670629689,5,214,215,0.392,3.21
1670629690,5,215,216,0.139,1.13
1670629691,5,216,217,0.682,5.59
1670629692,5,217,218,0.344,2.81
1670629693,5,218,219,0.472,3.87
1670629694,5,219,220,0.465,3.81
1670629695,5,220,221,0.328,2.69
1670629696,5,221,222,0.346,2.84
1670629697,5,222,223,0.738,6.05
1670629698,5,223,224,0.461,3.77
1670629699,5,224,225,0.477,3.89
1670629700,5,225,226,0.465,3.83
1670629701,5,226,227,0.479,3.93
1670629702,5,227,228,0.46,3.77
1670629703,5,228,229,0.467,3.82
