Time,Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Fix,Number of Satellites,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps],Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB],UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%],eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670653315,1,-78.6961085,35.7272775,0,12.587,100,6,10,4,12,13,0.0749,0.614,5,12,13,0.0919,0.753,0,0.0113,0,1,-80,80,-0.347,26,81,1,5.1,0,0,14,57,0.253,0,46,15,2,26,4,18,0,0,99.9,0,40,15,0.266,41,0,0,0
1670653316,2,-78.6961085,35.7272775,0,12.587,100,6,10,4,13,14,0.132,1.08,5,13,14,0.0947,0.776,0,0.0184,0,1,-80,80,-0.35,25,81,1,4.1,0,0,15,436,0.19,0,46,15,2,27,5.6,18,0,0,99.9,0,40,14,0.219,36,0,0,0
1670653317,3,-78.6961085,35.7272775,0.001,12.587,100,6,10,4,14,15,0.0778,0.637,5,14,15,0.0919,0.753,2,0.0156,0,1,-80,80,-0.351,26,81,1,3.8,0,0,14,54,0.194,0,46,15,0,27,3.4,13,0,0,99.9,0,40,14,0.206,25,0,0,0
1670653318,4,-78.6961085,35.7272775,0.001,12.587,100,6,10,4,15,16,0.103,0.846,5,15,16,0.0863,0.707,1,0.0141,0,1,-80,80,-0.343,26,81,1,4.6,0,0,14,744,0.224,0,46,15,2,26,4.6,19,0,0,99.9,0,40,14,0.28,39,0,0,0
1670653319,5,-78.6961085,35.7272775,0.001,12.587,100,6,10,4,16,17,0.0947,0.776,5,16,17,0.1,0.823,1,0.0127,0,1,-80,80,-0.438,22,81,0.9,3.8,19,0,15,148,0.197,19,46,15,2,23,4.4,20,2,9,99.9,0,40,15,0.197,30,0,0,256
1670653320,6,-78.6961085,35.7272775,0.001,12.587,100,6,10,4,17,18,0.0877,0.718,5,17,18,0.0863,0.707,2,0.0127,0,1,-78,78,-0.35,26,81,1,3.7,0,0,14,279,0.236,0,46,15,0,24,3.6,16,2,11,99.9,0,40,16,0.206,31,0,0,0
1670653321,7,-78.6961085,35.7272775,0.002,12.587,100,6,10,4,18,19,0.0792,0.648,5,18,19,0.082,0.672,1,0.0113,0,1,-76,76,-0.434,26,81,1,5.1,0,0,14,57,0.275,0,46,15,2,26,3.8,18,0,0,99.9,0,40,15,0.252,34,0,0,0
1670653322,8,-78.6961085,35.7272775,0.002,12.587,100,6,10,4,19,20,0.099,0.811,5,19,20,0.0919,0.753,0,0.017,0,1,-76,76,-0.31,22,81,0.9,4.4,19,0,14,57,0.192,19,46,15,0,23,4.6,17,4,19,99.9,0,40,14,0.198,33,0,0,0
1670653323,9,-78.6961085,35.7272775,0.001,12.489,99,6,10,4,20,21,0.109,0.892,5,20,21,0.171,1.4,2,0.017,0,1,-76,76,-0.289,21,81,0.9,3.3,16,0,15,0,0.154,16,46,15,2,27,4.4,18,0,0,99.9,0,40,14,0.229,33,0,0,0
1670653324,10,-78.6961085,35.7272775,0.062,12.143,99,6,10,4,21,22,0.0467,0.382,5,21,22,0,0,4,0.00707,0,1,-76,76,-0.4,21,81,0.8,2.5,33,0,15,0,0.11,33,46,15,2,19,2,10,4,28,99.9,0,40,16,0.162,19,0,0,0
