Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1670653303,4,0,1,0.024,0.197
1670653304,4,1,2,0.0481,0.394
1670653305,4,2,3,0.0226,0.185
1670653306,4,3,4,0.0339,0.278
1670653307,4,4,5,0.0382,0.313
1670653308,4,5,6,0.0523,0.428
1670653309,4,6,7,0.0382,0.313
1670653310,4,7,8,0.058,0.475
1670653311,4,8,9,0.0523,0.429
1670653312,4,9,10,0.0467,0.382
1670653313,4,10,11,0.0438,0.359
1670653314,4,11,12,0.0509,0.417
1670653315,4,12,13,0.0749,0.614
1670653316,4,13,14,0.132,1.08
1670653317,4,14,15,0.0778,0.637
1670653318,4,15,16,0.103,0.846
1670653319,4,16,17,0.0947,0.776
1670653320,4,17,18,0.0877,0.718
1670653321,4,18,19,0.0792,0.648
1670653322,4,19,20,0.099,0.811
1670653323,4,20,21,0.109,0.892
1670653324,4,21,22,0.0467,0.382
1670653325,4,22,23,0.058,0.475
1670653326,4,23,24,0.0608,0.498
1670653327,4,24,25,0.0947,0.776
1670653328,4,25,26,0.0707,0.579
1670653329,4,26,27,0.0749,0.614
1670653330,4,27,28,0.0863,0.706
1670653331,4,28,29,0.024,0.197
1670653332,4,29,30,0.058,0.475
1670653333,4,30,31,0.041,0.336
1670653334,4,31,32,0.0834,0.684
1670653335,4,32,33,0.0806,0.66
1670653336,4,33,34,0.0594,0.486
1670653337,4,34,35,0.0523,0.429
1670653338,4,35,36,0.0509,0.417
1670653339,4,36,37,0.0382,0.313
1670653340,4,37,38,0.0721,0.591
1670653341,4,38,39,0.041,0.336
1670653342,4,39,40,0.0933,0.765
1670653343,4,40,41,0.0792,0.649
1670653344,4,41,42,0.133,1.09
1670653345,4,42,43,0.0438,0.359
1670653346,4,43,44,0.0679,0.556
1670653347,4,44,45,0.0523,0.429
1670653348,4,45,46,0.0467,0.382
1670653349,4,46,47,0.0368,0.301
1670653350,4,47,48,0.0551,0.452
1670653351,4,48,49,0.041,0.336
1670653352,4,49,50,0.0452,0.371
1670653353,4,50,51,0.0495,0.405
1670653354,4,51,52,0.0467,0.382
1670653355,4,52,53,0.0495,0.405
1670653356,4,53,54,0.0339,0.278
1670653357,4,54,55,0.0495,0.405
1670653358,4,55,56,0.0396,0.324
1670653359,4,56,57,0.0396,0.324
1670653360,4,57,58,0.0537,0.44
1670653361,4,58,59,0.0495,0.405
1670653362,4,59,60,0.0467,0.382
1670653363,4,60,61,0.0396,0.324
1670653364,4,61,62,0.0933,0.765
1670653365,4,62,63,0.0523,0.429
1670653366,4,63,64,0.058,0.475
1670653367,4,64,65,0.041,0.336
1670653368,4,65,66,0.0467,0.383
