Time,eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670653299,46,15,0,3,0.018,12,0,0,96.4,0,40,15,0.124,7,0,0,0
1670653300,46,15,2,0,0.004,1,0,0,99.9,0,40,13,0.023,3,0,0,0
1670653301,46,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670653302,46,15,2,8,0.463,6,3,33,99.9,0,40,15,0.168,19,0,0,0
1670653303,46,15,0,14,1.9,8,8,50,99.9,0,40,14,0.127,12,0,0,0
1670653304,46,15,2,20,1.8,7,5,41,99.7,0,40,16,0.169,17,0,0,0
1670653305,46,15,0,27,2.5,4,0,0,99.8,0,40,16,0.21,8,0,0,0
1670653306,46,15,0,17,2.6,4,4,50,99.9,0,40,17,0.211,13,0,0,0
1670653307,46,15,2,27,1.9,7,0,0,99.9,0,40,16,0.152,15,0,0,0
1670653308,46,15,2,27,2.3,9,0,0,99.9,0,40,16,0.209,22,0,0,0
1670653309,46,15,0,27,2.1,8,0,0,99.9,0,40,17,0.182,18,0,0,0
1670653310,46,15,2,26,2.5,10,0,0,99.9,0,40,16,0.2,21,0,0,0
1670653311,46,15,2,20,2.4,9,4,30,99.9,0,40,16,0.199,22,0,0,0
1670653312,46,15,0,26,1.7,8,0,0,99.9,0,40,17,0.141,15,0,0,0
1670653313,46,15,2,27,2,8,0,0,99.9,0,40,17,0.177,18,0,0,0
1670653314,46,15,0,19,2.1,8,4,33,99.9,0,40,16,0.222,23,0,0,0
1670653315,46,15,2,26,4,18,0,0,99.9,0,40,15,0.266,41,0,0,0
1670653316,46,15,2,27,5.6,18,0,0,99.9,0,40,14,0.219,36,0,0,0
1670653317,46,15,0,27,3.4,13,0,0,99.9,0,40,14,0.206,25,0,0,0
1670653318,46,15,2,26,4.6,19,0,0,99.9,0,40,14,0.28,39,0,0,0
1670653319,46,15,2,23,4.4,20,2,9,99.9,0,40,15,0.197,30,0,0,256
1670653320,46,15,0,24,3.6,16,2,11,99.9,0,40,16,0.206,31,0,0,0
1670653321,46,15,2,26,3.8,18,0,0,99.9,0,40,15,0.252,34,0,0,0
1670653322,46,15,0,23,4.6,17,4,19,99.9,0,40,14,0.198,33,0,0,0
1670653323,46,15,2,27,4.4,18,0,0,99.9,0,40,14,0.229,33,0,0,0
1670653324,46,15,2,19,2,10,4,28,99.9,0,40,16,0.162,19,0,0,0
1670653325,46,15,0,17,2.5,8,4,33,99.9,0,40,17,0.192,21,0,0,0
1670653326,46,15,2,26,2.3,11,0,0,99.9,0,40,17,0.203,22,0,0,0
1670653327,46,15,2,26,4.5,19,0,0,99.9,0,40,14,0.278,43,0,0,0
1670653328,46,15,0,26,3.1,15,0,0,99.9,0,40,15,0.206,26,0,0,0
1670653329,46,15,2,26,3.5,18,0,0,99.9,0,40,15,0.233,34,0,0,0
1670653330,46,15,0,19,3.8,13,8,38,99.9,0,40,14,0.185,28,0,0,0
1670653331,46,15,2,16,1.5,4,4,50,99.8,0,40,15,0.14,10,0,0,14
1670653332,46,15,0,17,3,7,4,36,99.9,-99.9,40,16,0.215,20,0,0,0
1670653333,46,15,2,26,1.9,8,0,0,99.8,0,40,16,0.174,16,0,0,0
1670653334,46,15,2,26,3.5,17,0,0,99.9,0,40,15,0.269,39,0,0,0
1670653335,46,15,0,26,3.7,18,0,0,99.9,0,40,14,0.226,31,0,0,0
1670653336,46,15,2,26,2.4,12,0,0,99.9,0,40,15,0.192,26,0,0,0
1670653337,46,15,2,17,2.3,9,4,30,99.9,0,40,15,0.133,17,0,0,0
1670653338,46,15,0,27,2.3,9,0,0,99.9,0,40,16,0.185,21,0,0,0
1670653339,46,15,2,27,2.2,9,0,0,99.9,0,40,16,0.193,20,0,0,0
1670653340,46,15,0,19,2.6,9,4,30,99.9,0,40,17,0.188,22,0,0,0
1670653341,46,15,2,0,2.4,9,0,0,99.9,0,40,16,0.203,21,0,0,0
1670653342,46,15,2,26,3.9,19,0,0,99.9,0,40,15,0.314,42,0,0,0
1670653343,46,15,0,27,4.3,16,0,0,99.9,0,40,15,0.225,32,0,0,0
1670653344,46,15,2,27,4.8,17,0,0,99.9,0,40,14,0.261,37,0,0,0
1670653345,46,15,2,26,2.6,13,0,0,99.9,0,40,14,0.114,19,0,0,0
1670653346,46,15,0,19,2.5,10,4,28,99.7,0,40,16,0.225,23,0,0,0
1670653347,46,15,2,27,2.3,9,0,0,99.9,0,40,17,0.19,21,0,0,0
1670653348,46,15,2,18,1.7,7,4,36,99.9,0,40,16,0.146,16,0,0,0
1670653349,46,15,0,20,1.8,7,4,36,99.9,0,40,16,0.183,19,0,0,0
1670653350,46,15,2,26,2.1,9,0,0,99.9,0,40,17,0.209,21,0,0,0
1670653351,46,15,0,16,2.1,8,4,33,99.9,0,40,16,0.173,20,0,0,0
1670653352,46,15,2,18,2.1,9,4,30,99.7,0,40,17,0.218,22,0,0,0
1670653353,46,15,2,21,2.2,8,2,20,99.9,0,40,16,0.183,20,0,0,0
1670653354,46,15,0,22,1.8,10,2,16,99.9,0,40,16,0.168,18,0,0,0
1670653355,46,15,2,19,2.1,8,4,33,99.9,0,40,15,0.194,23,0,0,0
1670653356,46,15,2,26,1.6,8,0,0,99.9,0,40,16,0.145,15,0,0,0
1670653357,46,15,0,19,2.2,8,4,33,99.9,0,40,17,0.203,21,0,0,0
1670653358,46,15,2,19,1.9,9,4,30,99.9,0,40,16,0.19,20,0,0,0
1670653359,46,15,0,20,2,8,4,33,99.9,0,40,17,0.201,21,0,0,0
1670653360,46,15,2,26,2.2,9,0,0,99.9,0,40,17,0.204,21,0,0,0
1670653361,46,15,2,20,1.9,8,4,33,99.9,0,40,15,0.19,22,0,0,0
1670653362,46,15,0,19,2.1,8,4,33,99.9,0,40,17,0.196,21,0,0,0
1670653363,46,15,2,17,2.2,9,4,30,99.9,0,40,17,0.189,19,0,0,0
1670653364,46,15,0,26,3.9,19,0,0,99.9,95.6,40,14,0.247,43,0,0,0
1670653365,46,15,2,26,2.6,13,0,0,99.9,0,40,14,0.161,21,0,0,0
1670653366,46,15,2,26,2.1,8,0,0,99.9,0,40,16,0.19,22,0,0,0
1670653367,46,15,0,19,2.1,10,5,33,99.9,0,40,16,0.195,22,0,0,0
1670653368,46,15,2,15,2,8,6,42,99.9,0,40,16,0.198,21,0,0,0
1670653369,46,15,2,0,1.8,7,5,41,99.9,0,40,17,0.179,19,0,0,0
1670653370,46,15,0,26,1.6,8,0,0,99.9,0,40,15,0.133,14,0,0,0
1670653371,46,15,2,19,2.1,7,4,36,99.9,0,40,16,0.2,21,0,0,0
1670653372,46,15,0,18,1.7,10,4,28,99.9,0,40,16,0.184,19,0,0,0
1670653373,46,15,2,18,2,8,4,33,99.9,0,40,16,0.198,21,0,0,0
1670653374,46,15,2,18,1.9,8,4,33,99.9,0,40,16,0.197,21,0,0,0
1670653375,46,15,0,19,2.1,8,4,33,99.9,0,40,16,0.188,20,0,0,0
1670653376,46,15,2,19,2.1,8,4,33,99.9,0,40,17,0.218,22,0,0,0
1670653377,46,15,2,18,2.2,9,4,30,99.9,0,40,17,0.203,21,0,0,0
1670653378,46,15,0,17,2.2,9,4,30,99.9,0,40,17,0.186,21,0,0,0
1670653379,46,15,2,18,2.1,9,4,30,99.9,0,40,17,0.203,21,0,0,0
1670653380,46,15,0,20,2.1,8,2,20,99.9,0,40,16,0.173,20,0,0,0
1670653381,46,15,2,16,2.1,10,6,37,99.9,0,40,16,0.199,22,0,0,0
1670653382,46,15,2,24,1.6,9,0,0,99.9,0,40,16,0.143,16,0,0,0
1670653383,46,15,0,18,2.1,7,4,36,99.9,0,40,17,0.196,21,0,0,0
1670653384,46,15,2,25,1.8,9,0,0,99.9,0,40,15,0.175,18,0,0,0
1670653385,46,15,2,18,2.1,8,4,33,99.9,0,40,16,0.19,21,0,0,0
1670653386,46,15,0,25,2.1,9,0,0,99.9,0,40,16,0.198,21,0,0,0
1670653387,46,15,2,18,2,8,4,33,99.9,0,40,17,0.196,21,0,0,0
1670653388,46,15,0,18,2.3,10,4,28,99.9,0,40,17,0.203,22,0,0,0
1670653389,46,15,2,25,1.9,7,0,0,99.9,0,40,16,0.207,20,0,0,0
1670653390,46,15,2,24,4.7,18,0,0,99.9,0,40,14,0.249,38,0,0,0
1670653391,46,15,0,23,2.2,10,0,0,99.9,0,40,14,0.153,14,0,0,0
1670653392,46,15,2,24,2,8,0,0,99.8,0,40,17,0.174,14,0,0,0
1670653393,46,15,0,19,2,8,4,33,99.9,0,40,17,0.194,21,0,0,0
1670653394,46,15,2,18,2,10,4,28,99.9,0,40,16,0.191,22,0,0,0
1670653395,46,15,0,18,1.7,8,2,20,99.9,0,40,16,0.2,21,0,0,0
1670653396,46,15,2,20,1.4,9,2,18,99.9,0,40,15,0.137,17,0,0,0
1670653397,46,15,2,16,1.9,7,4,36,99.9,0,40,16,0.205,21,0,0,0
1670653398,46,15,0,22,1.6,9,0,0,99.9,0,40,16,0.157,17,0,0,0
1670653399,46,15,2,17,1.9,9,4,30,99.9,0,40,17,0.195,21,0,0,0
1670653400,46,15,2,22,1.7,9,0,0,99.9,0,40,17,0.2,21,0,0,0
1670653401,46,15,0,16,1.6,8,4,33,99.9,0,40,16,0.163,19,0,0,0
1670653402,46,15,2,17,1.8,8,4,33,99.9,0,40,16,0.191,21,0,0,0
1670653403,46,15,0,22,1.3,8,0,0,99.9,0,40,16,0.15,16,0,0,0
1670653404,46,15,2,22,2,10,0,0,99.9,0,40,16,0.188,22,0,0,0
1670653405,46,15,2,15,1.8,8,4,33,99.9,0,40,17,0.193,21,0,0,0
1670653406,46,15,0,15,1.8,8,4,33,99.9,0,40,17,0.189,21,0,0,0
1670653407,46,15,2,22,1.6,8,0,0,99.9,0,40,17,0.201,20,0,0,0
1670653408,46,15,2,17,1.9,10,4,28,99.9,0,40,16,0.172,22,0,0,0
1670653409,46,15,0,17,1.8,8,4,33,99.9,0,40,16,0.188,21,0,0,0
1670653410,46,15,2,22,1.3,8,0,0,99.9,0,40,16,0.134,14,0,0,0
1670653411,46,15,0,16,1.6,7,4,36,99.9,0,40,16,0.192,20,0,0,0
1670653412,46,15,2,22,1.9,10,0,0,99.9,0,40,16,0.195,23,0,0,0
1670653413,46,15,2,15,1.9,10,4,28,99.9,0,40,17,0.197,22,0,0,0
1670653414,46,15,0,15,1.7,8,4,33,99.9,0,40,16,0.182,21,0,0,0
1670653415,46,15,2,22,1.2,7,0,0,99.9,0,40,16,0.116,12,0,0,0
1670653416,46,15,2,17,1.7,8,4,33,99.9,0,40,17,0.207,22,0,0,0
1670653417,46,15,0,22,1.9,9,0,0,99.9,0,40,16,0.197,21,0,0,0
1670653418,46,15,2,17,1.9,9,4,30,99.9,0,40,16,0.19,21,0,0,0
1670653419,46,15,2,20,1.9,8,1,11,99.9,0,40,16,0.183,20,0,0,0
1670653420,46,15,0,16,1.3,8,3,27,99.9,0,40,16,0.133,15,0,0,0
1670653421,46,15,2,22,1.9,9,0,0,99.9,0,40,17,0.195,21,0,0,0
1670653422,46,15,0,17,1.8,8,4,33,99.9,0,40,17,0.187,21,0,0,0
1670653423,46,15,2,20,1.2,12,0,0,99.9,0,40,15,0.201,24,0,0,0
1670653424,46,15,2,21,1.9,15,0,0,99.9,0,40,15,0.181,29,0,0,0
1670653425,46,15,0,22,1.8,11,0,0,99.9,0,40,17,0.197,21,0,0,0
1670653426,46,15,2,18,3.3,18,3,14,99.9,0,40,13,0.192,38,0,0,0
1670653427,46,15,2,0,1,7,5,41,99.9,0,40,15,0.083,9,0,0,0
1670653428,46,15,0,20,0.729,5,0,0,99.9,0,40,15,0.114,14,0,0,0
1670653429,46,15,2,20,1.3,9,0,0,99.9,0,40,16,0.166,20,0,0,0
1670653430,46,15,0,20,1.5,9,0,0,99.9,0,40,18,0.202,21,0,0,0
1670653431,46,15,2,21,1.4,9,0,0,99.9,0,40,16,0.171,20,0,0,0
1670653432,46,15,2,22,1.7,9,0,0,99.9,0,40,17,0.209,22,0,0,0
1670653433,46,15,0,12,1.1,8,4,33,99.9,0,40,15,0.098,14,0,0,0
1670653434,46,15,2,20,1.4,9,0,0,99.9,0,40,16,0.183,21,0,0,0
1670653435,46,15,2,20,1.4,8,0,0,99.9,0,40,17,0.184,21,0,0,0
1670653436,46,15,0,13,1.2,8,4,33,99.9,0,40,16,0.15,17,0,0,0
1670653437,46,15,2,20,1.5,10,0,0,99.9,0,40,17,0.188,22,0,0,0
1670653438,46,15,0,20,1.3,9,0,0,99.9,0,40,17,0.199,23,0,0,0
