Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1670653303,5,0,1,0.107,0.88,4,0.0156
1670653304,5,1,2,0.0848,0.695,10,0.0113
1670653305,5,2,3,0,0,3,0.00707
1670653306,5,3,4,0,0,0,0.0113
1670653307,5,4,5,0.0877,0.719,2,0.0099
1670653308,5,5,6,0,0,1,0.0099
1670653309,5,6,7,0.0834,0.684,1,0.0099
1670653310,5,7,8,0,0,2,0.00707
1670653311,5,8,9,0.0834,0.684,1,0.00707
1670653312,5,9,10,0.0834,0.684,1,0.0099
1670653313,5,10,11,0,0,1,0.0099
1670653314,5,11,12,0.0834,0.684,2,0.00566
1670653315,5,12,13,0.0919,0.753,0,0.0113
1670653316,5,13,14,0.0947,0.776,0,0.0184
1670653317,5,14,15,0.0919,0.753,2,0.0156
1670653318,5,15,16,0.0863,0.707,1,0.0141
1670653319,5,16,17,0.1,0.823,1,0.0127
1670653320,5,17,18,0.0863,0.707,2,0.0127
1670653321,5,18,19,0.082,0.672,1,0.0113
1670653322,5,19,20,0.0919,0.753,0,0.017
1670653323,5,20,21,0.171,1.4,2,0.017
1670653324,5,21,22,0,0,4,0.00707
1670653325,5,22,23,0.082,0.672,2,0.00707
1670653326,5,23,24,0,0,1,0.00707
1670653327,5,24,25,0.154,1.26,0,0.0141
1670653328,5,25,26,0.0834,0.683,1,0.0127
1670653329,5,26,27,0,0,1,0.0113
1670653330,5,27,28,0.173,1.41,0,0.017
1670653331,5,28,29,0,0,6,0.0113
1670653332,5,29,30,0,0,2,0.0113
1670653333,5,30,31,0.0863,0.707,2,0.0099
1670653334,5,31,32,0.0735,0.603,1,0.0099
1670653335,5,32,33,0.082,0.672,1,0.0099
1670653336,5,33,34,0.0749,0.614,1,0.0099
1670653337,5,34,35,0,0,3,0.0099
1670653338,5,35,36,0.0806,0.66,1,0.0099
1670653339,5,36,37,0.0778,0.637,1,0.0099
1670653340,5,37,38,0.0792,0.649,1,0.0113
1670653341,5,38,39,0,0,2,0.0099
1670653342,5,39,40,0.0721,0.591,1,0.0113
1670653343,5,40,41,0.0792,0.649,0,0.017
1670653344,5,41,42,0.17,1.39,1,0.017
1670653345,5,42,43,0,0,2,0.0099
1670653346,5,43,44,0.0806,0.66,3,0.00848
1670653347,5,44,45,0.0764,0.626,1,0.00707
1670653348,5,45,46,0.0778,0.637,1,0.0099
1670653349,5,46,47,0,0,1,0.0099
1670653350,5,47,48,0.0764,0.626,3,0.00707
1670653351,5,48,49,0,0,2,0.00566
1670653352,5,49,50,0.0764,0.626,2,0.00707
1670653353,5,50,51,0,0,1,0.00707
1670653354,5,51,52,0.0721,0.591,2,0.00848
1670653355,5,52,53,0.0749,0.614,1,0.0099
1670653356,5,53,54,0,0,2,0.00848
1670653357,5,54,55,0.0749,0.614,1,0.0099
1670653358,5,55,56,0,0,2,0.0099
1670653359,5,56,57,0.0806,0.66,2,0.0099
1670653360,5,57,58,0,0,3,0.00566
1670653361,5,58,59,0.0792,0.649,2,0.00566
