[2022-12-09 15:38:39.273892] -----------------------------------------------------------
[2022-12-09 15:38:39.274023] Server listening on 5201
[2022-12-09 15:38:39.274064] -----------------------------------------------------------
[2022-12-09 15:38:57.764664] Accepted connection from 172.16.0.2, port 52298
[2022-12-09 15:38:57.908885] [  5] local 172.16.0.1 port 5201 connected to 172.16.0.2 port 53500
[2022-12-09 15:38:58.909022] [ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[2022-12-09 15:39:41.909154] [  5]  43.00-44.00  sec   128 KBytes  1.05 Mbits/sec  50.781 ms  0/16 (0%)  
[2022-12-09 15:39:42.908987] [  5]  44.00-45.00  sec   128 KBytes  1.05 Mbits/sec  71.432 ms  0/16 (0%)  
[2022-12-09 15:39:43.909080] [  5]  45.00-46.00  sec   136 KBytes  1.11 Mbits/sec  67.899 ms  0/17 (0%)  
[2022-12-09 15:39:44.909028] [  5]  46.00-47.00  sec   128 KBytes  1.05 Mbits/sec  56.334 ms  0/16 (0%)  
[2022-12-09 15:39:45.909027] [  5]  47.00-48.00  sec   136 KBytes  1.11 Mbits/sec  58.550 ms  0/17 (0%)  
[2022-12-09 15:39:46.909110] [  5]  48.00-49.00  sec   128 KBytes  1.05 Mbits/sec  53.931 ms  0/16 (0%)  
[2022-12-09 15:39:47.909086] [  5]  49.00-50.00  sec   112 KBytes   917 Kbits/sec  58.621 ms  0/14 (0%)  
[2022-12-09 15:39:48.909052] [  5]  50.00-51.00  sec   112 KBytes   918 Kbits/sec  51.158 ms  0/14 (0%)  
[2022-12-09 15:39:49.908961] [  5]  51.00-52.00  sec   144 KBytes  1.18 Mbits/sec  62.371 ms  0/18 (0%)  
[2022-12-09 15:39:50.908997] [  5]  52.00-53.00  sec   128 KBytes  1.05 Mbits/sec  53.563 ms  0/16 (0%)  
[2022-12-09 15:39:51.909080] [  5]  53.00-54.00  sec   128 KBytes  1.05 Mbits/sec  57.586 ms  0/16 (0%)  
[2022-12-09 15:39:52.909123] [  5]  54.00-55.00  sec   128 KBytes  1.05 Mbits/sec  64.151 ms  0/16 (0%)  
[2022-12-09 15:39:53.909156] [  5]  55.00-56.00  sec   120 KBytes   983 Kbits/sec  65.246 ms  0/15 (0%)  
[2022-12-09 15:39:54.909040] [  5]  56.00-57.00  sec   128 KBytes  1.05 Mbits/sec  49.386 ms  0/16 (0%)  
[2022-12-09 15:39:55.909145] [  5]  57.00-58.00  sec   128 KBytes  1.05 Mbits/sec  46.538 ms  0/16 (0%)  
[2022-12-09 15:39:56.909163] [  5]  58.00-59.00  sec   136 KBytes  1.11 Mbits/sec  53.726 ms  0/17 (0%)  
[2022-12-09 15:39:57.909687] [  5]  59.00-60.00  sec   128 KBytes  1.05 Mbits/sec  43.034 ms  0/16 (0%)  
[2022-12-09 15:39:58.909177] [  5]  60.00-61.00  sec   128 KBytes  1.05 Mbits/sec  51.776 ms  0/16 (0%)  
[2022-12-09 15:39:59.908982] [  5]  61.00-62.00  sec   128 KBytes  1.05 Mbits/sec  52.140 ms  0/16 (0%)  
[2022-12-09 15:40:00.908988] [  5]  62.00-63.00  sec   120 KBytes   983 Kbits/sec  48.874 ms  0/15 (0%)  
[2022-12-09 15:40:01.908994] [  5]  63.00-64.00  sec   128 KBytes  1.05 Mbits/sec  45.129 ms  0/16 (0%)  
[2022-12-09 15:40:02.909055] [  5]  64.00-65.00  sec   128 KBytes  1.05 Mbits/sec  50.408 ms  0/16 (0%)  
[2022-12-09 15:40:03.532569] iperf3: the client has unexpectedly closed the connection
[2022-12-09 15:40:03.533040] -----------------------------------------------------------
[2022-12-09 15:40:03.533152] Server listening on 5201
[2022-12-09 15:40:03.533267] -----------------------------------------------------------
