Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1669260830,5,0,1,0.303,2.48
1669260831,5,1,2,0.479,3.92
1669260832,5,2,3,0.46,3.77
1669260833,5,3,4,0.467,3.82
1669260834,5,4,5,0.458,3.75
1669260835,5,5,6,0.471,3.86
1669260836,5,6,7,0.465,3.81
1669260837,5,7,8,0.458,3.75
1669260838,5,8,9,0.468,3.84
1669260839,5,9,10,0.477,3.9
1669260840,5,10,11,0.099,0.81
1669260841,5,11,12,0.803,6.58
1669260842,5,12,13,0.382,3.13
1669260843,5,13,14,0.32,2.62
1669260844,5,14,15,0.233,1.91
1669260845,5,15,16,0,0
1669260846,5,16,17,0.775,6.35
1669260847,5,17,18,0.38,3.11
1669260848,5,18,19,0.366,3
1669260849,5,19,20,0.474,3.88
1669260850,5,20,21,0.444,3.64
1669260851,5,21,22,0.368,3.01
1669260852,5,22,23,0.389,3.19
1669260853,5,23,24,0.451,3.69
1669260854,5,24,25,0.475,3.89
1669260855,5,25,26,0.469,3.84
1669260856,5,26,27,0.31,2.54
1669260857,5,27,28,0.325,2.67
1669260858,5,28,29,0.744,6.09
1669260859,5,29,30,0.458,3.75
1669260860,5,30,31,0.471,3.86
1669260861,5,31,32,0.452,3.71
1669260862,5,32,33,0.184,1.51
1669260863,5,33,34,0.755,6.19
1669260864,5,34,35,0.477,3.9
1669260865,5,35,36,0.464,3.8
1669260866,5,36,37,0.462,3.79
1669260867,5,37,38,0.474,3.88
1669260868,5,38,39,0.477,3.91
1669260869,5,39,40,0.471,3.85
1669260870,5,40,41,0.455,3.73
1669260871,5,41,42,0.479,3.93
1669260872,5,42,43,0.462,3.79
1669260873,5,43,44,0.465,3.81
1669260874,5,44,45,0.187,1.53
1669260875,5,45,46,0.7,5.74
1669260876,5,46,47,0.448,3.67
1669260877,5,47,48,0.426,3.49
1669260878,5,48,49,0.413,3.38
1669260879,5,49,50,0.4,3.28
1669260880,5,50,51,0,0
1669260881,5,51,52,0.798,6.54
1669260882,5,52,53,0.397,3.26
1669260883,5,53,54,0.379,3.1
1669260884,5,54,55,0.346,2.84
1669260885,5,55,56,0.358,2.93
