Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Time,Fix,Number of Satellites
1,-78.6961095,35.7272786,0.001,12.587,100,1669915673,6,10
2,-78.6961095,35.7272786,0.001,12.587,100,1669915674,6,10
3,-78.6961095,35.7272786,0.001,12.587,100,1669915675,6,10
4,-78.6961095,35.7272786,0.002,12.587,100,1669915676,6,10
5,-78.6961095,35.7272786,0.002,12.587,100,1669915677,6,10
6,-78.6961095,35.7272786,0.002,12.587,100,1669915678,6,10
7,-78.6961095,35.7272786,0.002,12.587,100,1669915679,6,10
8,-78.6961095,35.7272786,0.002,12.587,100,1669915680,6,10
9,-78.6961095,35.7272786,0.002,12.489,99,1669915681,6,10
10,-78.6961095,35.7272786,0.06,12.143,99,1669915682,6,10
11,-78.6961099,35.7272789,1.253,12.143,99,1669915683,6,10
12,-78.6961105,35.7272793,3.189,12.193,99,1669915684,6,10
13,-78.6961104,35.7272793,5.375,12.193,99,1669915685,6,10
14,-78.6961101,35.727279,7.671,12.193,99,1669915686,6,10
15,-78.69611,35.727279,10.04,12.193,98,1669915687,6,10
16,-78.6961102,35.7272791,12.449,12.193,98,1669915688,6,10
17,-78.6961102,35.7272792,14.891,12.193,98,1669915689,6,10
18,-78.6961102,35.7272792,17.346,12.193,98,1669915690,6,10
19,-78.6961102,35.7272791,19.818,12.193,98,1669915691,6,10
20,-78.6961102,35.7272791,22.293,12.193,97,1669915692,6,10
21,-78.6961102,35.7272792,24.778,12.193,97,1669915693,6,10
22,-78.6961103,35.7272792,27.265,12.193,97,1669915694,6,10
23,-78.6961104,35.7272793,29.758,12.193,97,1669915695,6,10
24,-78.6961103,35.7272793,32.245,12.193,97,1669915696,6,10
25,-78.6961104,35.7272793,34.738,12.193,96,1669915697,6,10
26,-78.6961105,35.7272794,37.229,12.193,96,1669915698,6,10
27,-78.6961105,35.7272794,39.726,12.193,96,1669915699,6,10
28,-78.6961105,35.7272794,42.22,12.193,96,1669915700,6,10
29,-78.6961106,35.7272794,44.716,12.193,96,1669915701,6,10
30,-78.6961107,35.7272795,47.147,12.193,95,1669915702,6,10
31,-78.6961107,35.7272795,48.933,12.242,95,1669915703,6,10
32,-78.6961107,35.7272794,49.648,12.242,95,1669915704,6,10
33,-78.6961106,35.7272794,49.845,12.242,95,1669915705,6,10
34,-78.6961106,35.7272795,49.919,12.242,95,1669915706,6,10
35,-78.6961107,35.7272795,49.948,12.242,95,1669915707,6,10
36,-78.696111,35.7272795,49.961,12.242,94,1669915708,6,10
37,-78.6961166,35.7272791,49.968,12.242,94,1669915709,6,10
38,-78.6961304,35.7272781,49.97,12.242,94,1669915710,6,10
39,-78.6961533,35.7272764,49.971,12.242,94,1669915711,6,10
40,-78.6961859,35.7272741,49.974,12.193,94,1669915712,6,10
41,-78.6962255,35.7272713,49.976,12.193,93,1669915713,6,10
42,-78.6962698,35.7272683,49.979,12.193,93,1669915714,6,10
43,-78.6963169,35.7272652,49.984,12.193,93,1669915715,6,10
44,-78.6963662,35.7272619,49.989,12.193,93,1669915716,6,10
45,-78.6964164,35.7272586,49.995,12.193,93,1669915717,6,10
46,-78.6964644,35.7272553,50.001,12.242,93,1669915718,6,10
47,-78.6965052,35.7272525,50.004,12.242,92,1669915719,6,10
48,-78.6965341,35.7272502,50.005,12.242,92,1669915720,6,10
49,-78.6965468,35.727245,50.003,12.242,92,1669915721,6,10
50,-78.6965479,35.7272331,50.002,12.242,92,1669915722,6,10
51,-78.6965456,35.7272132,49.999,12.193,92,1669915723,6,10
52,-78.696543,35.7271855,50.002,12.193,92,1669915724,6,10
53,-78.6965408,35.7271525,50.001,12.193,91,1669915725,6,10
54,-78.6965391,35.727116,50.002,12.193,91,1669915726,6,10
55,-78.6965376,35.7270773,50.002,12.193,91,1669915727,6,10
56,-78.6965362,35.727037,49.999,12.193,91,1669915728,6,10
57,-78.6965346,35.7269957,49.997,12.193,91,1669915729,6,10
58,-78.6965329,35.7269537,49.996,12.193,90,1669915730,6,10
59,-78.6965311,35.726911,49.996,12.193,90,1669915731,6,10
60,-78.6965292,35.726868,49.995,12.193,90,1669915732,6,10
61,-78.6965273,35.7268245,49.997,12.193,90,1669915733,6,10
62,-78.6965253,35.7267807,49.997,12.193,90,1669915734,6,10
63,-78.6965233,35.7267367,49.997,12.193,90,1669915735,6,10
64,-78.6965213,35.7266926,49.998,12.193,89,1669915736,6,10
65,-78.6965192,35.7266483,50.001,12.193,89,1669915737,6,10
66,-78.6965171,35.7266043,50.001,12.193,89,1669915738,6,10
67,-78.696515,35.72656,50.001,12.193,89,1669915739,6,10
68,-78.6965129,35.7265159,50.001,12.193,89,1669915740,6,10
69,-78.6965109,35.7264717,50.001,12.193,88,1669915741,6,10
70,-78.6965089,35.7264276,50,12.193,88,1669915742,6,10
71,-78.6965069,35.7263834,50.001,12.193,88,1669915743,6,10
72,-78.6965049,35.7263392,50,12.193,88,1669915744,6,10
73,-78.6965029,35.726295,50,12.193,88,1669915745,6,10
74,-78.6965009,35.726251,50,12.193,88,1669915746,6,10
75,-78.6964988,35.7262068,50,12.193,87,1669915747,6,10
76,-78.6964968,35.7261627,49.998,12.193,87,1669915748,6,10
77,-78.6964947,35.7261185,49.997,12.193,87,1669915749,6,10
78,-78.6964927,35.7260743,49.996,12.193,87,1669915750,6,10
79,-78.6964907,35.7260302,49.996,12.193,87,1669915751,6,10
80,-78.6964887,35.7259861,49.997,12.193,86,1669915752,6,10
81,-78.6964866,35.725942,49.995,12.193,86,1669915753,6,10
82,-78.6964847,35.7258978,49.995,12.193,86,1669915754,6,10
83,-78.6964832,35.7258648,49.995,12.193,86,1669915755,6,10
84,-78.6964807,35.7258097,49.994,12.193,86,1669915756,6,10
85,-78.6964791,35.7257767,49.993,12.193,86,1669915757,6,10
86,-78.6964766,35.7257215,49.996,12.193,85,1669915758,6,10
87,-78.6964751,35.7256884,49.998,12.193,85,1669915759,6,10
88,-78.6964726,35.7256333,49.997,12.193,85,1669915760,6,10
89,-78.6964706,35.7255892,49.996,12.193,85,1669915761,6,10
90,-78.6964691,35.7255561,49.996,12.193,85,1669915762,6,10
91,-78.6964666,35.725501,49.994,12.193,84,1669915763,6,10
92,-78.6964651,35.7254679,49.995,12.193,84,1669915764,6,10
93,-78.6964631,35.7254239,49.997,12.193,84,1669915765,6,10
94,-78.6964611,35.7253797,49.997,12.193,84,1669915766,6,10
95,-78.6964585,35.7253247,49.997,12.193,84,1669915767,6,10
96,-78.6964569,35.7252916,49.997,12.193,84,1669915768,6,10
97,-78.6964549,35.7252476,49.997,12.193,83,1669915769,6,10
98,-78.6964524,35.7251925,49.995,12.193,83,1669915770,6,10
99,-78.6964504,35.7251484,49.995,12.193,83,1669915771,6,10
100,-78.6964489,35.7251153,49.995,12.193,83,1669915772,6,10
101,-78.696447,35.7250713,49.998,12.193,83,1669915773,6,10
102,-78.6964449,35.7250273,49.997,12.193,83,1669915774,6,10
103,-78.6964429,35.7249832,49.999,12.193,82,1669915775,6,10
104,-78.6964409,35.7249392,50,12.193,82,1669915776,6,10
105,-78.6964389,35.7248951,50.001,12.193,82,1669915777,6,10
106,-78.6964368,35.7248511,50.001,12.193,82,1669915778,6,10
107,-78.6964348,35.724807,50.001,12.193,82,1669915779,6,10
108,-78.6964328,35.724763,50.001,12.193,81,1669915780,6,10
109,-78.6964308,35.7247189,50.003,12.193,81,1669915781,6,10
110,-78.6964288,35.724675,50.003,12.193,81,1669915782,6,10
111,-78.6964269,35.7246309,50.001,12.193,81,1669915783,6,10
112,-78.6964249,35.7245869,50.003,12.193,81,1669915784,6,10
113,-78.6964229,35.7245429,50.003,12.193,81,1669915785,6,10
114,-78.6964209,35.724499,50.003,12.193,80,1669915786,6,10
115,-78.6964189,35.724455,50.003,12.193,80,1669915787,6,10
116,-78.6964168,35.7244111,50.002,12.193,80,1669915788,6,10
117,-78.6964148,35.7243671,50.002,12.193,80,1669915789,6,10
118,-78.6964128,35.7243231,50.003,12.193,80,1669915790,6,10
119,-78.6964108,35.7242792,50.001,12.193,79,1669915791,6,10
120,-78.6964087,35.7242353,50.001,12.193,79,1669915792,6,10
121,-78.6964068,35.7241914,50.001,12.193,79,1669915793,6,10
122,-78.6964048,35.7241474,50,12.193,79,1669915794,6,10
123,-78.6964029,35.7241034,50,12.193,79,1669915795,6,10
124,-78.6964009,35.7240594,49.998,12.193,79,1669915796,6,10
125,-78.6963988,35.7240155,49.997,12.193,78,1669915797,6,10
126,-78.6963968,35.7239716,49.995,12.193,78,1669915798,6,10
127,-78.6963948,35.7239277,49.996,12.193,78,1669915799,6,10
128,-78.6963928,35.7238838,49.996,12.193,78,1669915800,6,10
129,-78.6963908,35.7238398,49.994,12.193,78,1669915801,6,10
130,-78.6963888,35.7237959,49.995,12.193,77,1669915802,6,10
131,-78.6963868,35.723752,49.996,12.193,77,1669915803,6,10
132,-78.6963848,35.723708,49.997,12.193,77,1669915804,6,10
133,-78.6963828,35.7236642,49.997,12.193,77,1669915805,6,10
134,-78.6963808,35.7236202,49.998,12.193,77,1669915806,6,10
135,-78.6963788,35.7235764,49.999,12.193,77,1669915807,6,10
136,-78.6963768,35.7235325,50.002,12.193,76,1669915808,6,10
137,-78.6963748,35.7234886,50,12.193,76,1669915809,6,10
138,-78.6963728,35.7234447,50.001,12.193,76,1669915810,6,10
139,-78.6963708,35.7234008,50,12.193,76,1669915811,6,10
140,-78.6963688,35.7233569,50.002,12.193,76,1669915812,6,10
141,-78.6963668,35.723314,50.005,12.193,76,1669915813,6,10
142,-78.6963649,35.7232748,50.005,12.242,75,1669915814,6,10
143,-78.6963631,35.7232432,50.002,12.242,75,1669915815,6,10
144,-78.6963614,35.7232214,49.998,12.242,75,1669915816,6,10
145,-78.6963602,35.723212,49.993,12.242,75,1669915817,6,10
146,-78.69636,35.7232127,49.987,12.242,75,1669915818,6,10
147,-78.6963608,35.7232217,49.981,12.242,74,1669915819,6,10
148,-78.6963624,35.7232375,49.978,12.242,74,1669915820,6,10
149,-78.6963649,35.723261,49.975,12.193,74,1669915821,6,10
150,-78.696368,35.7232912,49.977,12.193,74,1669915822,6,10
151,-78.6963714,35.7233257,49.981,12.193,74,1669915823,6,10
152,-78.6963749,35.7233632,49.984,12.193,74,1669915824,6,10
153,-78.6963785,35.7234027,49.987,12.193,73,1669915825,6,10
154,-78.6963822,35.7234434,49.99,12.193,73,1669915826,6,10
155,-78.6963861,35.7234852,49.994,12.193,73,1669915827,6,10
156,-78.6963911,35.7235382,49.996,12.193,73,1669915828,6,10
157,-78.6963942,35.7235705,49.997,12.193,73,1669915829,6,10
158,-78.6963984,35.7236139,49.997,12.193,72,1669915830,6,10
159,-78.6964026,35.7236576,49.997,12.193,72,1669915831,6,10
160,-78.6964068,35.7237014,49.997,12.193,72,1669915832,6,10
161,-78.6964111,35.7237456,49.997,12.193,72,1669915833,6,10
162,-78.6964154,35.7237898,49.995,12.193,72,1669915834,6,10
163,-78.6964197,35.7238342,49.994,12.193,72,1669915835,6,10
164,-78.6964239,35.7238786,49.994,12.193,71,1669915836,6,10
165,-78.6964282,35.7239233,49.994,12.193,71,1669915837,6,10
166,-78.6964324,35.7239679,49.995,12.193,71,1669915838,6,10
167,-78.6964366,35.7240127,49.995,12.193,71,1669915839,6,10
168,-78.6964409,35.7240574,49.994,12.193,71,1669915840,6,10
169,-78.6964451,35.7241022,49.995,12.193,71,1669915841,6,10
170,-78.6964494,35.7241469,49.997,12.193,70,1669915842,6,10
171,-78.6964536,35.7241916,49.998,12.193,70,1669915843,6,10
172,-78.6964578,35.7242363,49.999,12.193,70,1669915844,6,10
173,-78.696462,35.7242812,50,12.193,70,1669915845,6,10
174,-78.6964662,35.724326,49.998,12.193,70,1669915846,6,10
175,-78.6964705,35.7243708,49.997,12.193,69,1669915847,6,10
