[2022-12-01 12:27:47.590028] Connecting to host 172.16.0.1, port 5201
[2022-12-01 12:27:47.885189] [  4] local 172.16.0.2 port 38218 connected to 172.16.0.1 port 5201
[2022-12-01 12:27:48.954547] [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[2022-12-01 12:27:48.954689] [  4]   0.00-1.00   sec   922 KBytes  7.55 Mbits/sec    0   77.8 KBytes       
[2022-12-01 12:27:49.954975] [  4]   1.00-2.00   sec   827 KBytes  6.77 Mbits/sec    0    110 KBytes       
[2022-12-01 12:27:50.954952] [  4]   2.00-3.00   sec   827 KBytes  6.78 Mbits/sec    0    143 KBytes       
[2022-12-01 12:27:51.954645] [  4]   3.00-4.00   sec   827 KBytes  6.78 Mbits/sec    0    175 KBytes       
[2022-12-01 12:27:52.954666] [  4]   4.00-5.00   sec   891 KBytes  7.30 Mbits/sec    0    209 KBytes       
[2022-12-01 12:27:53.954938] [  4]   5.00-6.00   sec   827 KBytes  6.77 Mbits/sec    0    240 KBytes       
[2022-12-01 12:27:54.954799] [  4]   6.00-7.00   sec   764 KBytes  6.26 Mbits/sec    0    273 KBytes       
[2022-12-01 12:27:55.954912] [  4]   7.00-8.00   sec   827 KBytes  6.78 Mbits/sec    0    305 KBytes       
[2022-12-01 12:27:56.954943] [  4]   8.00-9.00   sec  1.06 MBytes  8.86 Mbits/sec    0    376 KBytes       
[2022-12-01 12:27:57.955612] [  4]   9.00-10.00  sec   827 KBytes  6.77 Mbits/sec   23    366 KBytes       
[2022-12-01 12:27:58.955511] [  4]  10.00-11.00  sec   891 KBytes  7.30 Mbits/sec   25    322 KBytes       
[2022-12-01 12:27:59.955390] [  4]  11.00-12.00  sec   636 KBytes  5.21 Mbits/sec    0    363 KBytes       
[2022-12-01 12:28:00.956069] [  4]  12.00-13.00  sec   700 KBytes  5.73 Mbits/sec    0    402 KBytes       
[2022-12-01 12:28:01.955653] [  4]  13.00-14.00  sec   255 KBytes  2.09 Mbits/sec   15    286 KBytes       
[2022-12-01 12:28:02.954820] [  4]  14.00-15.00  sec  1.06 MBytes  8.87 Mbits/sec    0    300 KBytes       
[2022-12-01 12:28:03.955701] [  4]  15.00-16.00  sec   636 KBytes  5.21 Mbits/sec    0    324 KBytes       
[2022-12-01 12:28:04.957455] [  4]  16.00-17.00  sec   636 KBytes  5.20 Mbits/sec    0    338 KBytes       
[2022-12-01 12:28:05.961671] [  4]  17.00-18.01  sec   636 KBytes  5.19 Mbits/sec    0    345 KBytes       
[2022-12-01 12:28:06.955613] [  4]  18.01-19.00  sec   636 KBytes  5.24 Mbits/sec    0    346 KBytes       
[2022-12-01 12:28:07.955357] [  4]  19.00-20.00  sec   700 KBytes  5.74 Mbits/sec    0    346 KBytes       
[2022-12-01 12:28:08.956012] [  4]  20.00-21.00  sec   636 KBytes  5.21 Mbits/sec    0    349 KBytes       
[2022-12-01 12:28:09.955367] [  4]  21.00-22.00  sec   636 KBytes  5.22 Mbits/sec    0    356 KBytes       
[2022-12-01 12:28:10.955401] [  4]  22.00-23.00  sec   509 KBytes  4.17 Mbits/sec    0    370 KBytes       
[2022-12-01 12:28:11.956559] [  4]  23.00-24.00  sec   573 KBytes  4.69 Mbits/sec    0    397 KBytes       
[2022-12-01 12:28:12.955305] [  4]  24.00-25.00  sec   191 KBytes  1.57 Mbits/sec   15    286 KBytes       
[2022-12-01 12:28:13.955056] [  4]  25.00-26.00  sec  1.12 MBytes  9.39 Mbits/sec    0    305 KBytes       
[2022-12-01 12:28:14.955364] [  4]  26.00-27.00  sec   636 KBytes  5.21 Mbits/sec    0    345 KBytes       
