Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1669915796,4,128,129,0,0,7,0.0834
1669915797,4,129,130,0,0,0,0.0834
1669915798,4,130,131,0,0,1,0.0481
1669915799,4,131,132,0,0,2,0.041
1669915800,4,132,133,0,0,1,0.0339
1669915801,4,133,134,0,0,0,0.0339
1669915802,4,134,135,0,0,0,0.0339
1669915803,4,135,136,0,0,0,0.0339
1669915804,4,136,137,0,0,0,0.0339
1669915805,4,137,138,0,0,0,0.0339
1669915806,4,138,139,0,0,0,0.0339
1669915807,4,139,140,0,0,0,0.0339
1669915808,4,140,141,0,0,0,0.0339
1669915809,4,141,142,0,0,0,0.0339
1669915810,4,142,143,0,0,0,0.0339
1669915811,4,143,144,0,0,0,0.0339
1669915812,4,144,145,0,0,0,0.0339
1669915813,4,145,146,0,0,0,0.0339
1669915814,4,146,147,0,0,0,0.0339
1669915815,4,147,148,0,0,0,0.0339
1669915816,4,148,149,0.0636,0.522,3,0.00283
1669915817,4,149,150,0,0,0,0.00283
1669915818,4,150,151,0,0,0,0.00283
1669915819,4,151,152,0,0,0,0.00283
1669915820,4,152,153,0,0,0,0.00283
1669915821,4,153,154,0,0,0,0.00283
1669915822,4,154,155,0,0,0,0.00283
1669915823,4,155,156,0,0,0,0.00283
1669915824,4,156,157,0,0,0,0.00283
1669915825,4,157,158,0,0,0,0.00283
1669915826,4,158,159,0,0,0,0.00283
1669915827,4,159,160,0,0,0,0.00283
1669915828,4,160,161,0,0,0,0.00283
1669915829,4,161,162,0,0,0,0.00283
1669915830,4,162,163,0,0,0,0.00283
1669915831,4,163,164,0,0,0,0.00283
1669915832,4,164,165,0.0636,0.521,3,0.00283
1669915833,4,165,166,0,0,0,0.00283
1669915834,4,166,167,0,0,0,0.00283
1669915835,4,167,168,0,0,0,0.00283
1669915836,4,168,169,0,0,0,0.00283
1669915837,4,169,170,0,0,0,0.00283
1669915838,4,170,171,0,0,0,0.00283
1669915839,4,171,172,0,0,0,0.00283
1669915840,4,172,173,0,0,0,0.00283
1669915841,4,173,174,0,0,0,0.00283
1669915842,4,174,175,0,0,0,0.00283
1669915843,4,175,176,0,0,0,0.00283
1669915844,4,176,177,0,0,0,0.00283
1669915845,4,177,178,0,0,3,0.00283
1669915846,4,178,179,0,0,0,0.00283
1669915847,4,179,180,0,0,0,0.00283
1669915848,4,180,181,0,0,0,0.00283
1669915849,4,181,182,0,0,0,0.00283
1669915850,4,182,183,0,0,0,0.00283
1669915851,4,183,184,0,0,0,0.00283
1669915852,4,184,185,0,0,0,0.00283
1669915853,4,185,186,0,0,0,0.00283
1669915854,4,186,187,0,0,0,0.00283
1669915855,4,187,188,0,0,0,0.00283
1669915856,4,188,189,0,0,0,0.00283
1669915857,4,189,190,0,0,0,0.00283
1669915858,4,190,191,0,0,0,0.00283
1669915859,4,191,192,0,0,3,0.00283
1669915860,4,192,193,0,0,0,0.00283
1669915861,4,193,194,0,0,0,0.00283
1669915862,4,194,195,0,0,0,0.00283
1669915863,4,195,196,0,0,0,0.00283
1669915864,4,196,197,0,0,0,0.00283
1669915865,4,197,198,0,0,0,0.00283
1669915866,4,198,199,0,0,0,0.00283
1669915867,4,199,200,0,0,0,0.00283
1669915868,4,200,201,0,0,0,0.00283
1669915869,4,201,202,0,0,0,0.00283
1669915870,4,202,203,0,0,0,0.00283
1669915871,4,203,204,0,0,1,0.00141
1669915872,4,204,205,0.127,1.04,10,0.00424
1669915873,4,205,206,0.0636,0.521,13,0.00424
1669915874,4,206,207,0.0636,0.522,2,0.00283
1669915875,4,207,208,0,0,0,0.00283
1669915876,4,208,209,0,0,0,0.00283
1669915877,4,209,210,0,0,0,0.00283
1669915878,4,210,211,0,0,0,0.00283
1669915879,4,211,212,0,0,0,0.00283
1669915880,4,212,213,0,0,0,0.00283
1669915881,4,213,214,0,0,0,0.00283
1669915882,4,214,215,0,0,0,0.00283
1669915883,4,215,216,0,0,3,0.00283
1669915884,4,216,217,0,0,0,0.00283
1669915885,4,217,218,0,0,0,0.00283
1669915886,4,218,219,0,0,0,0.00283
1669915887,4,219,220,0,0,0,0.00283
1669915888,4,220,221,0,0,0,0.00283
1669915889,4,221,222,0,0,0,0.00283
1669915890,4,222,223,0,0,0,0.00283
1669915891,4,223,224,0,0,0,0.00283
1669915892,4,224,225,0,0,1,0.00141
1669915893,4,225,226,0.127,1.04,14,0.00566
1669915894,4,226,227,0.0636,0.521,19,0.00424
1669915895,4,227,228,0,0,0,0.00424
1669915896,4,228,229,0,0,0,0.00424
1669915897,4,229,230,0,0,0,0.00424
1669915898,4,230,231,0,0,0,0.00424
1669915899,4,231,232,0,0,0,0.00424
1669915900,4,232,233,0,0,0,0.00424
1669915901,4,233,234,0,0,0,0.00424
1669915902,4,234,235,0,0,0,0.00424
1669915903,4,235,236,0.0636,0.521,17,0.00566
1669915904,4,236,237,0.191,1.56,46,0.0113
1669915905,4,237,238,0.0636,0.521,0,0.0156
1669915906,4,238,239,0.127,1.04,0,0.024
1669915907,4,239,240,0.191,1.56,0,0.0467
1669915908,4,240,241,0.255,2.09,0,0.0792
1669915909,4,241,242,0.255,2.09,0,0.129
1669915910,4,242,243,0.255,2.08,0,0.191
1669915911,4,243,244,0.255,2.08,0,0.266
1669915912,4,244,245,0.191,1.56,0,0.354
1669915913,4,245,246,0.255,2.08,0,0.462
1669915914,4,246,247,0.7,5.74,21,0.522
1669915915,4,247,248,0,0,80,0.356
1669915916,4,248,249,0.318,2.61,36,0.385
1669915917,4,249,250,0.382,3.13,0,0.387
1669915918,4,250,251,0.0636,0.522,10,0.31
1669915919,4,251,252,0.127,1.04,2,0.27
1669915920,4,252,253,0.636,5.21,0,0.273
1669915921,4,253,254,0.0636,0.521,2,0.205
1669915922,4,254,255,0.509,4.17,0,0.199
1669915923,4,255,256,0.191,1.56,0,0.214
1669915924,4,256,257,0.191,1.56,0,0.223
1669915925,4,257,258,0.191,1.56,0,0.228
1669915926,4,258,259,0.127,1.04,0,0.229
1669915927,4,259,260,0,0,1,0.178
1669915928,4,260,261,0.382,3.13,2,0.161
1669915929,4,261,262,0.191,1.56,0,0.171
1669915930,4,262,263,0.127,1.04,0,0.182
1669915931,4,263,264,0.191,1.56,0,0.189
1669915932,4,264,265,0.127,1.04,0,0.192
1669915933,4,265,266,0.0636,0.521,0,0.194
1669915934,4,266,267,0.127,1.04,0,0.195
1669915935,4,267,268,0.0636,0.521,0,0.199
1669915936,4,268,269,0.127,1.04,0,0.209
1669915937,4,269,270,0.0636,0.521,0,0.228
1669915938,4,270,271,0.127,1.04,0,0.253
1669915939,4,271,272,0.0636,0.521,0,0.291
1669915940,4,272,273,0,0,0,0.317
1669915941,4,273,274,0.0636,0.521,0,0.352
1669915942,4,274,275,0.0636,0.521,0,0.375
1669915943,4,275,276,0,0,0,0.396
1669915944,4,276,277,0.0636,0.521,0,0.421
1669915945,4,277,278,0,0,0,0.443
1669915946,4,278,279,0.0636,0.521,2,0.454
1669915947,4,279,280,0,0,0,0.443
1669915948,4,280,281,0,0,3,0.421
1669915949,4,281,282,0,0,0,0.41
1669915950,4,282,283,0,0,2,0.393
1669915951,4,283,284,0,0,17,0.356
1669915952,4,284,285,0,0,10,0.335
1669915953,4,285,286,0,0,13,0.307
1669915954,4,286,287,0,0,12,0.291
1669915955,4,287,288,0,0,16,0.321
1669915956,4,288,289,0,0,3,0.317
1669915957,4,289,290,0,0,1,0.315
1669915958,4,290,291,0,0,3,0.313
1669915959,4,291,292,0,0,2,0.31
1669915960,4,292,293,0,0,4,0.304
1669915961,4,293,294,0,0,1,0.303
1669915962,4,294,295,0,0,7,0.297
1669915963,4,295,296,0,0,3,0.294
1669915964,4,296,297,0,0,2,0.294
1669915965,4,297,298,0,0,6,0.286
1669915966,4,298,299,0,0,5,0.281
1669915967,4,299,300,0,0,4,0.281
1669915968,4,300,301,0,0,9,0.284
1669915969,4,301,302,0,0,5,0.276
1669915970,4,302,303,0,0,4,0.262
1669915971,4,303,304,0,0,8,0.253
1669915972,4,304,305,0.127,1.04,4,0.242
1669915973,4,305,306,0,0,8,0.23
1669915974,4,306,307,0,0,1,0.222
1669915975,4,307,308,0,0,4,0.206
1669915976,4,308,309,0,0,6,0.197
1669915977,4,309,310,0,0,3,0.185
1669915978,4,310,311,0,0,2,0.18
1669915979,4,311,312,0,0,1,0.154
1669915980,4,312,313,0,0,3,0.139
1669915981,4,313,314,0,0,5,0.126
1669915982,4,314,315,0,0,2,0.112
1669915983,4,315,316,0,0,2,0.1
1669915984,4,316,317,0,0,1,0.0848
1669915985,4,317,318,0,0,2,0.0834
1669915986,4,318,319,0,0,3,0.0622
1669915987,4,319,320,0,0,6,0.0551
1669915988,4,320,321,0,0,0,0.0551
1669915989,4,321,322,0,0,1,0.0184
1669915990,4,322,323,0.0636,0.521,3,0.0113
1669915991,4,323,324,0,0,2,0.00848
1669915992,4,324,325,0,0,0,0.00848
1669915993,4,325,326,0,0,0,0.00848
1669915994,4,326,327,0,0,0,0.00848
1669915995,4,327,328,0,0,0,0.00848
1669915996,4,328,329.01,0,0,0,0.00848
1669915997,4,329.01,330,0,0,0,0.00848
1669915998,4,330,331,0,0,0,0.00848
1669915999,4,331,332,0,0,0,0.00848
1669916000,4,332,333,0,0,0,0.00848
1669916001,4,333,334,0,0,0,0.00848
1669916002,4,334,335,0,0,0,0.00848
1669916003,4,335,336,0,0,0,0.00848
1669916004,4,336,337,0,0,0,0.00848
1669916005,4,337,338,0,0,0,0.00848
1669916006,4,338,339,0,0,0,0.00848
1669916007,4,339,340,0,0,0,0.00848
1669916008,4,340,341,0,0,0,0.00848
1669916009,4,341,342,0.0636,0.521,9,0.00566
1669916010,4,342,343,0.191,1.56,10,0.00283
