Time,eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1669915665,46,15,0,2,0.012,10,0,0,52.3,31.9,40,13,0.131,6,0,0,0
1669915666,46,15,2,10,0.0097,5,0,0,49.7,18.2,40,18,0.06,6,0,0,0
1669915667,46,15,2,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0
1669915668,46,15,2,13,0.067,25,0,0,42.8,30.7,40,20,2.4,54,0,0,11.7
1669915669,46,15,0,11,0.526,216,0,0,39.4,0,40,23,23,242,0,0,45.8
1669915670,46,15,2,11,0.471,215,0,0,41.1,0,40,23,23,246,0,0,88.5
1669915671,46,15,2,11,0.484,214,0,0,39.4,0,40,23,22,246,1,0,131
1669915672,46,15,2,11,0.478,211,0,0,40,0,40,23,22,252,2,0,129
1669915673,46,15,0,11,0.496,216,0,0,39.5,0,40,23,22,246,1,0,131
1669915674,46,15,2,11,0.443,185,0,0,40.4,0,40,23,22,235,4,1,131
1669915675,46,15,2,11,0.499,217,0,0,41.1,0,40,23,22,248,1,0,128
1669915676,46,15,2,11,0.479,217,0,0,40.6,0,40,23,22,251,1,0,131
1669915677,46,15,2,11,0.483,201,0,0,39.7,36.9,40,23,22,243,1,0,132
1669915678,46,15,0,17,0.997,204,0,0,39.9,0,40,23,22,247,4,1,130
1669915679,46,15,2,18,1.1,214,0,0,39.4,0,40,23,22,245,1,0,132
1669915680,46,15,2,16,0.912,231,0,0,40.7,0,40,23,23,246,0,0,128
1669915681,46,15,2,12,0.573,205,0,0,39.9,33.4,40,23,22,243,1,0,129
1669915682,46,15,0,19,1.3,214,0,0,39.4,0,40,23,22,243,2,0,131
1669915683,46,15,2,11,0.437,197,0,0,39.5,0,40,23,22,245,1,0,132
1669915684,46,15,2,11,0.438,205,0,0,40.4,0,40,23,23,247,0,0,129
1669915685,46,15,2,11,0.434,196,0,0,39.9,0,40,23,22,244,1,0,130
1669915686,46,15,0,11,0.438,209,0,0,39.8,0,40,23,23,250,0,0,128
1669915687,46,15,2,11,0.423,194,0,0,39.8,0,40,23,22,246,2,0,129
1669915688,46,15,2,11,0.428,193,0,0,39.7,0,40,23,22,246,2,0,132
1669915689,46,15,2,11,0.423,176,0,0,39.9,0,40,23,22,240,4,1,128
1669915690,46,15,0,11,0.424,183,0,0,39.8,0,40,23,22,231,2,0,131
1669915691,46,15,2,11,0.43,162,0,0,39.1,0,40,23,22,207,2,0,128
1669915692,46,15,2,11,0.402,171,0,0,40.3,0,40,23,22,225,2,0,130
