1,-78.6961117,35.72728,0.001,12.587,100,2022-11-08 10:40:50.637075,6,10
2,-78.6961117,35.72728,0.001,12.587,100,2022-11-08 10:40:51.637995,6,10
3,-78.6961116,35.72728,0.001,12.587,100,2022-11-08 10:40:52.638598,6,10
4,-78.6961116,35.72728,0.002,12.587,100,2022-11-08 10:40:53.639163,6,10
5,-78.6961116,35.72728,0.002,12.587,100,2022-11-08 10:40:54.639776,6,10
6,-78.6961116,35.72728,0.002,12.587,100,2022-11-08 10:40:55.641213,6,10
7,-78.6961116,35.72728,0.002,12.587,100,2022-11-08 10:40:56.642197,6,10
8,-78.6961115,35.7272799,0.002,12.587,100,2022-11-08 10:40:57.642446,6,10
9,-78.6961115,35.7272799,0.002,12.439,99,2022-11-08 10:40:58.643208,6,10
10,-78.6961115,35.7272799,0.075,12.094,99,2022-11-08 10:40:59.643706,6,10
11,-78.6961099,35.7272789,1.345,12.193,99,2022-11-08 10:41:00.645534,6,10
12,-78.6961083,35.7272777,3.304,12.193,99,2022-11-08 10:41:01.646438,6,10
13,-78.6961086,35.727278,5.495,12.193,99,2022-11-08 10:41:02.647365,6,10
14,-78.6961092,35.7272785,7.797,12.193,99,2022-11-08 10:41:03.648078,6,10
15,-78.6961093,35.7272784,10.169,12.193,98,2022-11-08 10:41:04.648589,6,10
16,-78.6961089,35.7272781,12.583,12.193,98,2022-11-08 10:41:05.649290,6,10
17,-78.6961087,35.7272779,15.025,12.193,98,2022-11-08 10:41:06.651156,6,10
18,-78.6961087,35.7272779,17.486,12.193,98,2022-11-08 10:41:07.651341,6,10
19,-78.6961087,35.727278,19.958,12.193,98,2022-11-08 10:41:08.651895,6,10
20,-78.6961087,35.727278,22.359,12.193,97,2022-11-08 10:41:09.652292,6,10
21,-78.6961086,35.7272779,24.066,12.242,97,2022-11-08 10:41:10.653255,6,10
22,-78.6961085,35.7272779,24.702,12.242,97,2022-11-08 10:41:11.654363,6,10
23,-78.6961086,35.7272779,24.876,12.242,97,2022-11-08 10:41:12.655470,6,10
24,-78.6961085,35.7272779,24.938,12.242,97,2022-11-08 10:41:13.656584,6,10
25,-78.6961084,35.7272779,24.962,12.242,96,2022-11-08 10:41:14.657698,6,10
26,-78.6961084,35.7272779,24.972,12.242,96,2022-11-08 10:41:15.658315,6,10
27,-78.6961089,35.7272786,24.978,12.242,96,2022-11-08 10:41:16.659118,6,10
28,-78.6961128,35.7272849,24.982,12.242,96,2022-11-08 10:41:17.660128,6,10
29,-78.6961208,35.7272983,24.984,12.242,96,2022-11-08 10:41:18.660847,6,10
30,-78.6961335,35.7273191,24.989,12.193,96,2022-11-08 10:41:19.660963,6,10
31,-78.6961499,35.7273457,24.993,12.193,95,2022-11-08 10:41:20.661480,6,10
32,-78.696168,35.7273742,24.997,12.242,95,2022-11-08 10:41:21.661781,6,10
33,-78.6961852,35.7274,25.0,12.242,95,2022-11-08 10:41:22.663468,6,10
34,-78.6961985,35.7274185,24.995,12.242,95,2022-11-08 10:41:23.664209,6,10
35,-78.6962115,35.7274277,24.984,12.242,95,2022-11-08 10:41:24.665264,6,10
36,-78.6962335,35.7274314,24.981,12.193,95,2022-11-08 10:41:25.666893,6,10
37,-78.6962644,35.7274344,24.988,12.242,94,2022-11-08 10:41:26.667150,6,10
38,-78.6962978,35.7274376,25.0,12.242,94,2022-11-08 10:41:27.668211,6,10
39,-78.6963263,35.7274402,25.007,12.242,94,2022-11-08 10:41:28.669132,6,10
40,-78.6963499,35.7274413,24.999,12.242,94,2022-11-08 10:41:29.669633,6,10
41,-78.6963787,35.7274412,24.996,12.193,94,2022-11-08 10:41:30.670458,6,10
42,-78.6964144,35.7274409,24.998,12.193,94,2022-11-08 10:41:31.670763,6,10
43,-78.6964556,35.7274405,25.0,12.193,93,2022-11-08 10:41:32.671510,6,10
44,-78.6964998,35.7274401,25.004,12.242,93,2022-11-08 10:41:33.672121,6,10
45,-78.6965423,35.7274395,25.005,12.242,93,2022-11-08 10:41:34.672993,6,10
46,-78.6965778,35.7274388,25.002,12.242,93,2022-11-08 10:41:35.674061,6,10
47,-78.6966015,35.7274382,24.998,12.242,93,2022-11-08 10:41:36.674999,6,10
48,-78.696622,35.7274373,24.989,12.242,92,2022-11-08 10:41:37.675557,6,10
49,-78.6966498,35.7274363,24.989,12.193,92,2022-11-08 10:41:38.676557,6,10
50,-78.6966854,35.7274353,24.996,12.193,92,2022-11-08 10:41:39.676978,6,10
51,-78.6967268,35.7274342,24.999,12.193,92,2022-11-08 10:41:40.677982,6,10
52,-78.6967722,35.7274327,25.002,12.193,92,2022-11-08 10:41:41.679084,6,10
53,-78.6968202,35.727431,25.002,12.193,92,2022-11-08 10:41:42.680060,6,10
54,-78.69687,35.727429,25.004,12.193,91,2022-11-08 10:41:43.681640,6,10
55,-78.6969193,35.7274268,25.007,12.242,91,2022-11-08 10:41:44.682038,6,10
56,-78.6969638,35.7274247,25.008,12.242,91,2022-11-08 10:41:45.682557,6,10
57,-78.6969985,35.7274229,25.005,12.242,91,2022-11-08 10:41:46.683559,6,10
58,-78.6970215,35.7274218,24.999,12.242,91,2022-11-08 10:41:47.684086,6,10
59,-78.6970448,35.7274204,24.989,12.242,91,2022-11-08 10:41:48.684623,6,10
60,-78.6970757,35.7274187,24.988,12.193,90,2022-11-08 10:41:49.685489,6,10
61,-78.6971137,35.7274168,24.992,12.193,90,2022-11-08 10:41:50.685751,6,10
62,-78.6971566,35.7274146,24.996,12.193,90,2022-11-08 10:41:51.686609,6,10
