num,Longitude,Latitude,Altitude,Volt,Battery Level,time,Fix,Number of Satellite,thoughput
106,-78.6984563,35.7282225,24.998,12.193,82,42:35.7,6,10,.070
107,-78.6984794,35.7282632,24.995,12.193,82,42:36.7,6,10,.046
108,-78.6985026,35.728304,24.995,12.193,82,42:37.7,6,10,.012
109,-78.6985257,35.7283447,24.997,12.193,82,42:38.7,6,10,.035
110,-78.698549,35.7283855,24.999,12.193,81,42:39.7,6,10,.023
111,-78.6985722,35.7284262,24.999,12.193,81,42:40.7,6,10,.035
112,-78.6985954,35.728467,25,12.193,81,42:41.7,6,10,.023
113,-78.6986185,35.7285078,24.999,12.193,81,42:42.7,6,10,.035
114,-78.6986417,35.7285486,24.999,12.193,81,42:43.7,6,10,.012
115,-78.6986648,35.7285894,24.998,12.193,80,42:44.7,6,10,0.00
116,-78.698688,35.7286302,24.995,12.193,80,42:45.7,6,10,.023
117,-78.6987112,35.728671,24.994,12.193,80,42:46.7,6,10,.035
118,-78.6987345,35.7287119,24.995,12.193,80,42:47.7,6,10,.012
119,-78.6987577,35.7287527,24.997,12.193,80,42:48.7,6,10,0.00
120,-78.6987809,35.7287935,24.998,12.193,80,42:49.7,6,10,0.00
121,-78.6988041,35.7288343,24.999,12.193,79,42:50.7,6,10,0.00
122,-78.6988274,35.7288751,24.995,12.193,79,42:51.7,6,10,0.00
123,-78.6988505,35.7289159,24.994,12.193,79,42:52.7,6,10,0.00
124,-78.6988737,35.7289568,24.994,12.193,79,42:53.7,6,10,0.00
125,-78.6988969,35.7289977,24.992,12.193,79,42:54.7,6,10,0.00
126,-78.6989202,35.7290386,24.991,12.193,79,42:55.7,6,10,0.00
127,-78.6989433,35.7290794,24.99,12.193,78,42:56.7,6,10,0.00
128,-78.6989666,35.7291203,24.992,12.193,78,42:57.7,6,10,0.00
129,-78.6989897,35.7291611,24.991,12.193,78,42:58.7,6,10,0.00
130,-78.6990129,35.729202,24.991,12.193,78,42:59.7,6,10,0.00
131,-78.699036,35.7292427,24.993,12.193,78,43:00.7,6,10,0.00
132,-78.6990593,35.7292835,24.994,12.193,77,43:01.7,6,10,0.00
133,-78.6990826,35.7293244,24.995,12.193,77,43:02.7,6,10,0.00
134,-78.6991058,35.7293652,24.996,12.193,77,43:03.7,6,10,0.00
135,-78.6991291,35.729406,24.997,12.193,77,43:04.7,6,10,0.00
136,-78.6991523,35.7294468,24.998,12.193,77,43:05.7,6,10,0.00
137,-78.6991814,35.7294979,24.999,12.193,76,43:06.7,6,10,.023
138,-78.6992046,35.7295388,24.999,12.193,76,43:07.7,6,10,0.00
139,-78.6992277,35.7295797,24.998,12.193,76,43:08.7,6,10,.046
140,-78.6992509,35.7296206,24.999,12.193,76,43:09.7,6,10,.035
141,-78.6992741,35.7296614,24.998,12.193,76,43:10.7,6,10,.023
142,-78.6992972,35.7297022,24.997,12.193,76,43:11.7,6,10,.035
143,-78.6993147,35.7297328,24.996,12.193,75,43:12.7,6,10,.035
144,-78.6993379,35.7297736,24.998,12.193,75,43:13.7,6,10,.023
145,-78.6993612,35.7298144,24.998,12.193,75,43:14.7,6,10,.035
146,-78.6993845,35.7298552,24.996,12.193,75,43:15.7,6,10,.035
147,-78.6994078,35.729896,24.996,12.193,75,43:16.7,6,10,.023
148,-78.6994309,35.7299369,24.995,12.193,75,43:17.7,6,10,.035
149,-78.6994542,35.7299777,24.995,12.193,74,43:18.7,6,10,.035
150,-78.6994775,35.7300185,24.995,12.193,74,43:19.7,6,10,.023
151,-78.6995007,35.7300593,24.995,12.193,74,43:20.7,6,10,.035
152,-78.6995239,35.7301001,24.995,12.193,74,43:21.7,6,10,.023
153,-78.6995471,35.730141,24.996,12.193,74,43:22.7,6,10,.035
154,-78.6995702,35.7301818,24.999,12.193,73,43:23.7,6,10,.023
155,-78.6995934,35.7302226,24.998,12.193,73,43:24.8,6,10,.035
156,-78.6996163,35.730263,25,12.193,73,43:25.8,6,10,.023
157,-78.6996378,35.7303008,25.003,12.242,73,43:26.8,6,10,.035
158,-78.6996559,35.7303327,25.004,12.242,73,43:27.8,6,10,.023
159,-78.699669,35.7303554,25.004,12.242,73,43:28.8,6,10,.035
160,-78.6996751,35.7303663,25.002,12.242,72,43:29.8,6,10,.046
161,-78.6996714,35.7303672,25.002,12.242,72,43:30.8,6,10,.046
162,-78.6996579,35.7303645,24.999,12.242,72,43:31.8,6,10,.035
163,-78.6996345,35.7303611,24.998,12.193,72,43:32.8,6,10,.023
164,-78.6996013,35.7303573,24.998,12.193,72,43:33.8,6,10,0.00
165,-78.6995614,35.7303532,24.999,12.193,72,43:34.8,6,10,0.00
166,-78.6995171,35.7303489,25,12.193,71,43:35.8,6,10,0.00
167,-78.69947,35.7303445,25.002,12.193,71,43:36.8,6,10,0.00
168,-78.699421,35.7303398,25.002,12.193,71,43:37.8,6,10,0.00
169,-78.6993708,35.7303348,25.002,12.193,71,43:38.8,6,10,0.00
170,-78.6993197,35.7303296,25.002,12.193,71,43:39.8,6,10,0.00
171,-78.6992679,35.7303243,25.003,12.193,70,43:40.8,6,10,0.00
172,-78.6992155,35.7303189,25.002,12.193,70,43:41.8,6,10,0.00
173,-78.6991625,35.7303134,25.001,12.193,70,43:42.8,6,10,0.00
174,-78.6991091,35.7303078,25.001,12.193,70,43:43.8,6,10,0.00
175,-78.6990554,35.7303022,25.002,12.193,70,43:44.8,6,10,0.00
176,-78.6990015,35.7302966,25.001,12.193,70,43:45.8,6,10,0.00
177,-78.6989476,35.730291,25.001,12.193,69,43:46.8,6,10,0.00
178,-78.6988936,35.7302854,25.001,12.193,69,43:47.8,6,10,0.00
179,-78.6988396,35.7302799,25,12.193,69,43:48.8,6,10,0.00
180,-78.6987722,35.7302729,24.999,12.193,69,43:49.8,6,10,0.00
181,-78.6987183,35.7302673,25.001,12.193,69,43:50.8,6,10,0.00
182,-78.6986643,35.7302618,25.001,12.193,68,43:51.8,6,10,0.00
183,-78.6986104,35.7302562,25.001,12.193,68,43:52.8,6,10,0.00
184,-78.6985565,35.7302506,25.001,12.193,68,43:53.8,6,10,0.00
185,-78.6985026,35.7302451,24.999,12.193,68,43:54.8,6,10,0.00
186,-78.6984486,35.7302395,24.999,12.193,68,43:55.8,6,10,0.00
187,-78.6983947,35.7302339,25,12.193,67,43:56.8,6,10,0.00
188,-78.6983408,35.7302283,25.001,12.193,67,43:57.8,6,10,0.00
189,-78.698287,35.7302228,24.999,12.193,67,43:58.8,6,10,0.00
190,-78.6982331,35.7302173,25,12.193,67,43:59.8,6,10,0.00
191,-78.6981792,35.7302117,25.001,12.193,67,44:00.8,6,10,0.00
192,-78.6981255,35.7302062,24.999,12.193,67,44:01.8,6,10,0.00
193,-78.6980717,35.7302007,25.001,12.193,66,44:02.8,6,10,0.00
194,-78.6980179,35.7301951,25.002,12.193,66,44:03.8,6,10,0.00
195,-78.6979642,35.7301896,25.001,12.193,66,44:04.8,6,10,0.00
196,-78.6979105,35.7301841,24.999,12.193,66,44:05.8,6,10,0.00
197,-78.6978568,35.7301785,24.998,12.193,66,44:06.8,6,10,0.00
198,-78.6978031,35.7301729,24.999,12.193,65,44:07.8,6,10,0.00
199,-78.6977493,35.7301673,24.998,12.193,65,44:08.8,6,10,0.00
200,-78.6976956,35.7301618,25,12.193,65,44:09.8,6,10,0.00
201,-78.6976419,35.7301563,25,12.193,65,44:10.8,6,10,0.00
202,-78.6975882,35.7301508,25,12.193,65,44:11.8,6,10,0.00
203,-78.6975345,35.7301454,24.998,12.193,65,44:12.8,6,10,0.00
204,-78.6974808,35.7301398,24.996,12.193,64,44:13.8,6,10,0.00
205,-78.6974271,35.7301343,24.996,12.193,64,44:14.8,6,10,0.00
206,-78.6973735,35.7301288,24.995,12.193,64,44:15.8,6,10,0.00
207,-78.6973198,35.7301233,24.995,12.193,64,44:16.8,6,10,0.00
208,-78.6972663,35.7301178,24.998,12.193,64,44:17.8,6,10,0.00
209,-78.6972127,35.7301122,25,12.193,64,44:18.8,6,10,0.00
210,-78.6971592,35.7301067,25,12.193,63,44:19.8,6,10,0.00
211,-78.6971057,35.7301012,25.001,12.193,63,44:20.8,6,10,0.00
212,-78.6970521,35.7300958,25.001,12.193,63,44:21.8,6,10,0.00
213,-78.6969985,35.7300903,25.003,12.193,63,44:22.8,6,10,0.00
214,-78.6969451,35.7300848,25.005,12.193,63,44:23.8,6,10,0.00
215,-78.6968922,35.7300793,25.006,12.193,62,44:24.8,6,10,0.00
216,-78.6968428,35.7300742,25.007,12.242,62,44:25.8,6,10,0.00
217,-78.6968014,35.7300696,25.005,12.242,62,44:26.8,6,10,0.00
218,-78.6967715,35.7300662,25.001,12.242,62,44:27.8,6,10,0.00
219,-78.6967557,35.7300612,24.992,12.242,62,44:28.8,6,10,0.00
220,-78.6967514,35.7300492,24.986,12.242,62,44:29.8,6,10,0.00
221,-78.6967505,35.7300291,24.986,12.193,61,44:30.8,6,10,0.00
222,-78.6967493,35.7300016,24.992,12.193,61,44:31.8,6,10,0.00
223,-78.6967471,35.7299689,24.997,12.193,61,44:32.8,6,10,0.00
224,-78.6967441,35.7299328,25.001,12.193,61,44:33.8,6,10,0.00
225,-78.6967406,35.7298945,25.005,12.193,61,44:34.8,6,10,0.00
226,-78.6967377,35.7298647,25.006,12.193,61,44:35.8,6,10,0.00
227,-78.6967336,35.729824,25.006,12.193,60,44:36.8,6,10,0.00
228,-78.6967284,35.7297719,25.007,12.193,60,44:37.8,6,10,0.00
229,-78.6967253,35.7297401,25.005,12.193,60,44:38.8,6,10,0.00
230,-78.696721,35.7296973,25.003,12.193,60,44:39.8,6,10,0.00
231,-78.6967167,35.7296542,25.004,12.193,60,44:40.8,6,10,0.00
232,-78.6967113,35.7295998,25.003,12.193,59,44:41.8,6,10,0.00
233,-78.6967069,35.7295563,25.001,12.193,59,44:42.8,6,10,0.00
234,-78.6967026,35.7295126,25.002,12.193,59,44:43.8,6,10,0.00
235,-78.6966981,35.729469,25.002,12.193,59,44:44.8,6,10,.012
236,-78.6966937,35.7294253,25.001,12.193,59,44:45.8,6,10,.162
237,-78.6966892,35.7293817,25,12.193,59,44:46.8,6,10,.046
238,-78.6966848,35.729338,25,12.193,58,44:47.8,6,10,.035
239,-78.6966803,35.7292944,25,12.193,58,44:48.8,6,10,.463
240,-78.6966759,35.7292508,25.003,12.193,58,44:49.8,6,10,.695
241,-78.6966714,35.7292072,25.003,12.193,58,44:50.8,6,10,.139
242,-78.696667,35.7291636,25.002,12.193,58,44:51.8,6,10,.266
243,-78.6966626,35.72912,25.002,12.193,57,44:52.8,6,10,.579
244,-78.6966581,35.7290764,25.001,12.193,57,44:53.8,6,10,.290
245,-78.6966536,35.7290328,25.001,12.193,57,44:54.8,6,10,.510
246,-78.6966492,35.7289891,25.001,12.193,57,44:55.8,6,10,.892
247,-78.6966447,35.7289455,25,12.193,57,44:56.8,6,10,.950
248,-78.6966403,35.728902,25.001,12.193,57,44:57.8,6,10,1.07
249,-78.6966358,35.7288585,25.002,12.193,56,44:58.8,6,10,1.14
250,-78.6966314,35.7288149,25.002,12.193,56,44:59.8,6,10,1.05
251,-78.6966269,35.7287714,25.002,12.193,56,45:00.8,6,10,1.14
252,-78.6966225,35.7287278,25.002,12.193,56,45:01.8,6,10,.985
253,-78.696618,35.7286842,25.003,12.193,56,45:02.8,6,10,.672
254,-78.6966136,35.7286407,25.002,12.193,55,45:03.8,6,10,.846
255,-78.6966091,35.7285971,25,12.193,55,45:04.8,6,10,1.62
256,-78.6966047,35.7285535,25.001,12.193,55,45:05.8,6,10,1.95
257,-78.6966002,35.7285099,24.999,12.193,55,45:06.8,6,10,2.34
258,-78.6965958,35.7284664,24.999,12.193,55,45:07.8,6,10,2.07
259,-78.6965914,35.7284229,24.999,12.193,55,45:08.8,6,10,2.50
260,-78.6965869,35.7283794,24.997,12.193,54,45:09.8,6,10,2.69
261,-78.6965825,35.7283359,24.996,12.193,54,45:10.8,6,10,3.08
262,-78.6965781,35.7282925,24.996,12.193,54,45:11.8,6,10,3.30
263,-78.6965736,35.7282489,24.996,12.193,54,45:12.8,6,10,3.37
264,-78.6965692,35.7282054,24.996,12.193,54,45:13.8,6,10,4.07
265,-78.6965648,35.728162,24.997,12.193,53,45:14.8,6,10,3.13
266,-78.6965603,35.7281185,24.995,12.193,53,45:15.8,6,10,0.00
267,-78.6965559,35.7280751,24.995,12.193,53,45:16.8,6,10,9.94
268,-78.6965514,35.7280316,24.997,12.193,53,45:17.8,6,10,5.24
269,-78.696547,35.7279881,24.997,12.193,53,45:18.8,6,10,3.60
270,-78.6965425,35.7279447,24.997,12.193,53,45:19.8,6,10,7.62
271,-78.6965381,35.7279013,24.998,12.193,52,45:20.8,6,10,6.24
272,-78.6965338,35.7278579,24.997,12.193,52,45:21.8,6,10,7.37
273,-78.6965293,35.7278144,24.996,12.193,52,45:22.8,6,10,6.85
274,-78.6965248,35.727771,24.996,12.193,52,45:23.8,6,10,8.41
275,-78.6965204,35.7277276,24.996,12.193,52,45:24.8,6,10,7.77
276,-78.6965159,35.7276842,24.996,12.193,51,45:25.8,6,10,8.95
277,-78.6965115,35.7276408,24.995,12.193,51,45:26.8,6,10,9.14
278,-78.6965071,35.7275974,24.996,12.193,51,45:27.8,6,10,9.59
279,-78.6965027,35.727554,24.996,12.193,51,45:28.8,6,10,10.1
280,-78.6964983,35.7275106,24.996,12.193,51,45:29.8,6,10,10.1
281,-78.6964939,35.7274673,24.997,12.193,51,45:30.8,6,10,10.6
282,-78.6964895,35.7274239,25.001,12.193,50,45:31.8,6,10,10.7
283,-78.696485,35.7273806,25.003,12.193,50,45:32.8,6,10,11.2
284,-78.6964806,35.7273373,25.003,12.193,50,45:33.8,6,10,10.9
285,-78.6964761,35.7272939,25.004,12.193,50,45:34.8,6,10,9.32
286,-78.6964717,35.7272506,25.004,12.193,50,45:35.8,6,10,14.1
287,-78.6964672,35.7272073,25.003,12.193,49,45:36.8,6,10,11.1
288,-78.6964628,35.727164,25.001,12.193,49,45:37.8,6,10,12.2
