Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Time,Fix,Number of Satellites
1,-78.6961105,35.7272793,0.006,12.587,100,1670626492,6,10
2,-78.6961105,35.7272793,0.006,12.587,100,1670626493,6,10
3,-78.6961105,35.7272793,0.006,12.587,100,1670626494,6,10
4,-78.6961105,35.7272792,0.006,12.587,100,1670626495,6,10
5,-78.6961105,35.7272792,0.006,12.587,100,1670626496,6,10
6,-78.6961104,35.7272792,0.006,12.587,100,1670626497,6,10
7,-78.6961104,35.7272792,0.006,12.587,100,1670626498,6,10
8,-78.6961104,35.7272792,0.006,12.587,100,1670626499,6,10
9,-78.6961104,35.7272792,0.006,12.489,99,1670626500,6,10
10,-78.6961104,35.7272792,0.069,12.094,99,1670626501,6,10
11,-78.6961099,35.7272789,1.286,12.143,99,1670626502,6,10
12,-78.6961095,35.7272787,3.234,12.193,99,1670626503,6,10
13,-78.6961096,35.7272787,5.417,12.193,99,1670626504,6,10
14,-78.6961099,35.7272789,7.716,12.193,99,1670626505,6,10
15,-78.6961099,35.7272789,10.08,12.193,98,1670626506,6,10
16,-78.6961098,35.7272789,12.493,12.193,98,1670626507,6,10
17,-78.6961097,35.7272788,14.932,12.193,98,1670626508,6,10
18,-78.6961098,35.7272788,17.392,12.193,98,1670626509,6,10
19,-78.6961098,35.7272788,19.867,12.193,98,1670626510,6,10
20,-78.6961099,35.7272788,22.34,12.193,97,1670626511,6,10
21,-78.6961099,35.7272789,24.209,12.193,97,1670626512,6,10
22,-78.6961099,35.7272788,27.314,12.193,97,1670626513,6,10
23,-78.6961099,35.7272788,29.808,12.193,97,1670626514,6,10
24,-78.6961098,35.7272788,31.672,12.193,97,1670626515,6,10
25,-78.6961098,35.7272788,34.169,12.193,96,1670626516,6,10
26,-78.6961097,35.7272789,36.66,12.193,96,1670626517,6,10
27,-78.6961097,35.7272788,39.158,12.193,96,1670626518,6,10
28,-78.6961097,35.7272788,41.648,12.193,96,1670626519,6,10
29,-78.6961097,35.7272788,44.148,12.193,96,1670626520,6,10
30,-78.6961097,35.7272788,46.616,12.193,95,1670626521,6,10
31,-78.6961096,35.7272788,48.627,12.242,95,1670626522,6,10
32,-78.6961097,35.7272788,49.661,12.242,95,1670626523,6,10
33,-78.6961097,35.7272789,49.823,12.242,95,1670626524,6,10
34,-78.6961097,35.7272789,49.912,12.242,95,1670626525,6,10
35,-78.6961097,35.7272789,49.947,12.242,95,1670626526,6,10
36,-78.6961097,35.7272788,49.962,12.242,94,1670626527,6,10
37,-78.6961135,35.7272785,49.968,12.242,94,1670626528,6,10
38,-78.6961261,35.7272777,49.972,12.242,94,1670626529,6,10
39,-78.6961479,35.7272763,49.973,12.242,94,1670626530,6,10
40,-78.6961796,35.7272742,49.977,12.193,94,1670626531,6,10
41,-78.6962186,35.7272715,49.98,12.193,94,1670626532,6,10
42,-78.6962624,35.7272684,49.982,12.193,93,1670626533,6,10
43,-78.6963092,35.727265,49.986,12.193,93,1670626534,6,10
44,-78.6963583,35.7272614,49.989,12.193,93,1670626535,6,10
45,-78.6964084,35.7272577,49.994,12.193,93,1670626536,6,10
46,-78.6964569,35.7272541,49.999,12.242,93,1670626537,6,10
47,-78.6964987,35.727251,50.003,12.242,92,1670626538,6,10
48,-78.6965293,35.7272487,50.004,12.242,92,1670626539,6,10
49,-78.6965447,35.7272461,50.001,12.242,92,1670626540,6,10
50,-78.6965472,35.7272379,49.997,12.242,92,1670626541,6,10
51,-78.6965451,35.727223,49.992,12.242,92,1670626542,6,10
52,-78.6965426,35.7272001,49.99,12.193,92,1670626543,6,10
53,-78.6965407,35.7271706,49.995,12.193,91,1670626544,6,10
54,-78.6965389,35.7271364,49.999,12.193,91,1670626545,6,10
55,-78.6965373,35.7270994,50,12.193,91,1670626546,6,10
56,-78.6965355,35.7270602,50,12.193,91,1670626547,6,10
57,-78.6965337,35.7270197,49.998,12.193,91,1670626548,6,10
58,-78.6965318,35.7269781,49.998,12.193,90,1670626549,6,10
59,-78.6965298,35.7269359,49.998,12.193,90,1670626550,6,10
60,-78.6965283,35.7269038,49.997,12.193,90,1670626551,6,10
61,-78.6965263,35.7268606,49.996,12.193,90,1670626552,6,10
62,-78.6965237,35.7268062,49.996,12.193,90,1670626553,6,10
63,-78.6965216,35.7267622,49.997,12.193,90,1670626554,6,10
64,-78.6965196,35.7267182,49.995,12.193,89,1670626555,6,10
