Time,eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670626479,46,15,0,4,0.018,10,0,0,53.1,32.5,40,14,0.128,6,0,0,0
1670626480,46,15,2,0,0.0037,2,0,0,47.7,15.4,40,15,0.043,4,0,0,0
1670626481,46,15,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0
1670626482,46,15,2,0,0.0044,1,0,0,46.4,12.4,40,14,0.023,3,0,0,0
1670626483,46,15,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0
1670626484,46,15,2,11,0.023,6,0,0,49.1,33.9,40,17,1,28,0,0,0
1670626485,46,15,0,0,0,0,0,0,58.5,28.6,40,22,8.3,66,0,0,197
1670626486,46,15,2,0,0,0,0,0,57.9,29.7,40,22,6.5,51,0,0,0
1670626487,46,15,0,0,0,0,0,0,58.9,35.5,40,23,12,48,0,0,28.7
1670626488,46,15,2,0,0,0,0,0,58.9,36.4,40,23,13,93,0,0,0
1670626489,46,15,0,0,0,0,0,0,58.6,30.3,40,22,8.9,81,0,0,0
1670626490,46,15,2,0,0,0,0,0,59,30.4,40,23,7.9,68,0,0,5.84
1670626491,46,15,0,0,0,0,0,0,58.4,28.2,40,23,8.4,78,0,0,0
1670626492,46,15,2,0,0,0,0,0,58.7,30.9,40,22,7.9,77,0,0,0
1670626493,46,15,2,0,0,0,0,0,58.8,29.3,40,23,7.8,70,0,0,5.08
1670626494,46,15,0,0,0,0,0,0,58.7,21.7,40,23,7.3,68,0,0,6.92
1670626495,46,15,2,0,0,0,0,0,58.2,29.6,40,22,7,68,0,0,0
1670626496,46,15,0,0,0,0,0,0,58.5,35.5,40,23,9,83,0,0,0
1670626497,46,15,2,0,0,0,0,0,58.7,30.8,40,22,9,76,0,0,0
1670626498,46,15,2,0,0,0,0,0,58,24.5,40,22,6.9,67,0,0,4.56
1670626499,46,15,0,0,0,0,0,0,58.6,23.7,40,23,7.9,73,0,0,0
1670626500,46,15,2,0,0,0,0,0,58.9,35.3,40,23,8.5,75,0,0,0
1670626501,46,15,0,0,0,0,0,0,58.9,35.1,40,23,9.7,80,0,0,0
1670626502,46,15,2,0,0,0,0,0,58.7,21.4,40,22,8.1,71,0,0,0
1670626503,46,15,0,0,0,0,0,0,58.4,19.8,40,22,7.6,75,0,0,0
1670626504,46,15,2,0,0,0,0,0,58.9,29,40,23,8.5,77,0,0,0
1670626505,46,15,2,0,0,0,0,0,58.7,31.5,40,22,8.1,74,0,0,0
1670626506,46,15,0,0,0,0,0,0,58.4,27,40,22,9.3,87,0,0,0
1670626507,46,15,2,0,0,0,0,0,58.8,31,40,22,8.7,78,0,0,0
1670626508,46,15,0,0,0,0,0,0,58.4,0,40,23,8.9,86,0,0,0
1670626509,46,15,2,0,0,0,0,0,58.8,30.2,40,22,7.9,69,0,0,0
