Time,Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Fix,Number of Satellites,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%],eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670626517,26,-78.6961097,35.7272789,36.66,12.193,96,6,10,0,1,-87,87,6,0,40,0,0,0,2.6,22,0,7.6,0,46,15,0,0,0,0,0,0,58.1,23.7,40,22,7.3,70,0,0,0
1670626518,27,-78.6961097,35.7272788,39.158,12.193,96,6,10,0,1,-87,87,6.2,0,40,0,0,0,2.6,23,0,7.6,0,46,15,2,0,0,0,0,0,58.8,35.6,40,23,7.9,72,0,0,0
1670626519,28,-78.6961097,35.7272788,41.648,12.193,96,6,10,0,1,-87,87,5.4,0,40,0,0,0,2.6,22,17,9,0,46,15,2,0,0,0,0,0,58.7,28.2,40,22,8.5,75,0,0,0
1670626520,29,-78.6961097,35.7272788,44.148,12.193,96,6,10,0,1,-87,87,5.6,0,40,0,0,0,2.6,22,17,8.1,0,46,15,0,0,0,0,0,0,58.8,29.5,40,23,8.5,78,0,0,0
1670626521,30,-78.6961097,35.7272788,46.616,12.193,95,6,10,0,1,-87,87,5.8,0,40,0,0,0,2.6,22,0,7.2,0,46,15,2,0,0,0,0,0,58.5,29.9,40,22,7.8,73,0,0,0
1670626522,31,-78.6961096,35.7272788,48.627,12.242,95,6,10,0,1,-87,87,5.3,0,40,0,0,0,2.6,22,0,7.9,0,46,15,0,0,0,0,0,0,58.6,24,40,22,7.3,70,0,0,0
1670626523,32,-78.6961097,35.7272788,49.661,12.242,95,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,23,17,8.4,0,46,15,2,0,0,0,0,0,58.5,35.8,40,23,8.5,82,0,0,0
1670626524,33,-78.6961097,35.7272789,49.823,12.242,95,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,23,0,8.3,0,46,15,2,0,0,0,0,0,58.9,23.5,40,23,8.1,76,0,0,0
1670626525,34,-78.6961097,35.7272789,49.912,12.242,95,6,10,0,1,-87,87,6.4,0,40,0,0,0,2.6,22,17,7.1,0,46,15,0,0,0,0,0,0,58.7,24.3,40,22,6.6,60,0,0,4.05
1670626526,35,-78.6961097,35.7272789,49.947,12.242,95,6,10,0,1,-87,87,6.8,0,40,0,0,0,2.6,22,17,6.3,0,46,15,2,0,0,0,0,0,58.5,30.6,40,22,8.7,82,0,0,0
1670626527,36,-78.6961097,35.7272788,49.962,12.242,94,6,10,0,1,-87,87,5.7,0,40,0,0,0,2.6,22,0,9,0,46,15,0,0,0,0,0,0,58.6,23.8,40,22,7.9,72,0,0,0
1670626528,37,-78.6961135,35.7272785,49.968,12.242,94,6,10,0,1,-87,87,6,0,40,0,0,0,2.6,23,17,8.7,0,46,15,2,0,0,0,0,0,58.6,30.6,40,22,7.5,69,0,0,0
1670626529,38,-78.6961261,35.7272777,49.972,12.242,94,6,10,0,1,-87,87,6.6,0,40,0,0,0,2.6,22,17,8.6,0,46,15,2,0,0,0,0,0,58.6,29.8,40,23,9.2,83,0,0,0
1670626530,39,-78.6961479,35.7272763,49.973,12.242,94,6,10,0,1,-87,87,6.9,0,40,0,0,0,2.6,22,17,7.4,0,46,15,0,0,0,0,0,0,58.4,35.2,40,22,9,85,0,0,0
1670626531,40,-78.6961796,35.7272742,49.977,12.193,94,6,10,0,1,-87,87,6.3,0,40,0,0,0,2.6,23,11,8,0,46,15,2,0,0,0,0,0,58.5,36.2,40,23,7.6,70,0,0,0
1670626532,41,-78.6962186,35.7272715,49.98,12.193,94,6,10,0,1,-87,87,6.4,0,40,0,0,0,2.6,22,17,8.9,0,46,15,0,0,0,0,0,0,58.5,30.4,40,22,9.1,85,0,0,0
1670626533,42,-78.6962624,35.7272684,49.982,12.193,93,6,10,0,1,-87,87,6.2,0,40,0,0,0,2.6,23,22,8.1,0,46,15,2,0,0,0,0,0,58.6,35.5,40,23,8.5,78,0,0,0
1670626534,43,-78.6963092,35.727265,49.986,12.193,93,6,10,0,1,-87,87,6.6,0,40,0,0,0,2.6,22,8.3,8.9,0,46,15,2,0,0,0,0,0,57.9,26.4,40,22,6.8,67,0,0,0
1670626535,44,-78.6963583,35.7272614,49.989,12.193,93,6,10,0,1,-87,87,5.5,0,40,0,0,0,2.6,22,0,8.1,0,46,15,0,0,0,0,0,0,58.9,26.1,40,23,9.1,81,0,0,0
1670626536,45,-78.6964084,35.7272577,49.994,12.193,93,6,10,0,1,-87,87,7,0,40,0,0,0,2.6,23,19,6.7,0,46,15,2,0,0,0,0,0,58.6,35.4,40,22,7.7,74,0,0,0
1670626537,46,-78.6964569,35.7272541,49.999,12.242,93,6,10,0,1,-87,87,6.5,0,40,0,0,0,2.6,23,41,8,0,46,15,0,0,0,0,0,0,58.5,29.6,40,23,8.3,73,0,0,0
1670626538,47,-78.6964987,35.727251,50.003,12.242,92,6,10,0,1,-87,87,6.2,0,40,0,0,0,2.6,22,25,7.8,0,46,15,2,0,0,0,0,0,58.2,28.6,40,22,7.7,74,0,0,0
1670626539,48,-78.6965293,35.7272487,50.004,12.242,92,6,10,0,1,-87,87,6,0,40,0,0,0,2.6,23,17,9.2,0,46,15,2,0,0,0,0,0,58.3,27.1,40,23,7.3,69,0,0,0
1670626540,49,-78.6965447,35.7272461,50.001,12.242,92,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,22,19,7.3,0,46,15,0,0,0,0,0,0,58.2,31,40,22,8.4,81,0,0,0
1670626541,50,-78.6965472,35.7272379,49.997,12.242,92,6,10,0,1,-87,87,5.6,0,40,0,0,0,2.6,22,25,8.7,0,46,15,2,0,0,0,0,0,58.1,18.1,40,23,8.2,78,0,0,0
1670626542,51,-78.6965451,35.727223,49.992,12.242,92,6,10,0,1,-87,87,6.2,0,40,0,0,0,2.6,22,17,7.2,0,46,15,0,0,0,0,0,0,57.5,36.2,40,22,7.2,73,0,0,0
1670626543,52,-78.6965426,35.7272001,49.99,12.193,92,6,10,0,1,-87,87,6.3,0,40,0,0,0,2.6,22,25,6.7,0,46,15,2,0,0,0,0,0,57.9,16.9,40,22,7.1,68,0,0,0
1670626544,53,-78.6965407,35.7271706,49.995,12.193,91,6,10,0,1,-87,87,6.3,0,40,0,0,0,2.6,22,8.3,8.8,0,46,15,2,0,0,0,0,0,58,34.8,40,22,8.1,78,0,0,0
1670626545,54,-78.6965389,35.7271364,49.999,12.193,91,6,10,0,1,-87,87,6.2,0,40,0,0,0,2.6,23,0,8,0,46,15,0,0,0,0,0,0,58.5,30.6,40,22,9.1,82,0,0,0
1670626546,55,-78.6965373,35.7270994,50,12.193,91,6,10,0,1,-87,87,5.6,0,40,0,0,0,2.6,22,0,8.7,0,46,15,2,0,0,0,0,0,58.6,26.4,40,22,7.5,67,0,0,0
1670626547,56,-78.6965355,35.7270602,50,12.193,91,6,10,0,1,-87,87,5.6,0,40,0,0,0,2.6,22,17,7.8,0,46,15,0,0,0,0,0,0,58.6,27.8,40,22,8.8,78,0,0,0
1670626548,57,-78.6965337,35.7270197,49.998,12.193,91,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,22,0,7.8,0,46,15,2,0,0,0,0,0,58.7,35.8,40,22,7.9,73,0,0,0
1670626549,58,-78.6965318,35.7269781,49.998,12.193,90,6,10,0,1,-87,87,6.5,0,40,0,0,0,2.6,22,25,8.5,0,46,15,0,0,0,0,0,0,57.7,28.9,40,22,8.1,83,0,0,0
