Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1669413196,0,1,-82,82,3.6,3,40,1,0.0029,0,2.6,0,42,0.000223,0
1669413197,0,1,-87,87,2.4,4,41,1,0.0093,0,2.6,19,0,0.081,0
1669413198,0,1,-87,87,2.7,0,41,0,0,0,2.6,0,0,0,0
1669413199,0,1,-87,87,1.9,15,41,1,0.103,0,2.6,21,33,2.7,0
1669413200,0,1,-87,87,-1.7,11,41,1,0.478,0,2.6,23,90,23,0
1669413201,0,1,-87,87,-3.8,11,41,1,0.484,0,2.6,23,139,22,0
1669413202,0,1,-87,87,-4.8,11,41,1,0.489,0,2.6,23,188,23,0
1669413203,0,1,-87,87,-5.3,11,41,1,0.471,0,2.6,23,221,22,0
1669413204,0,1,-87,87,-5.2,12,41,1,0.482,0,2.6,23,289,22,0
1669413205,0,1,-87,87,-4.8,11,41,1,0.492,0,2.6,23,336,22,0
1669413206,0,1,-87,87,-3.6,11,41,1,0.485,0,2.6,23,386,22,0
1669413207,0,1,-87,87,4.8,17,41,1,1,0,2.6,23,276,22,0
1669413208,0,1,-87,87,4.6,17,41,1,0.91,0,2.6,23,316,22,0
1669413209,0,1,-87,87,-2.8,12,41,1,0.506,0,2.6,23,355,22,0
1669413210,0,1,-87,87,-1.6,11,41,1,0.464,0,2.6,23,381,22,0
1669413211,0,1,-87,87,0.447,15,41,1,0.866,0,2.6,23,263,22,0
1669413212,0,1,-87,87,-2,12,41,1,0.564,0,2.6,23,287,23,0
1669413213,0,1,-87,87,-5.6,11,41,1,0.424,0,2.6,23,308,22,0
1669413214,0,1,-87,87,-3.6,11,41,1,0.428,0,2.6,23,321,22,0
1669413215,0,1,-87,87,-5,11,41,1,0.433,0,2.6,23,329,22,0
1669413216,0,1,-87,87,-0.611,11,41,1,0.43,0,2.6,23,329,22,0
1669413217,0,1,-87,87,-0.816,11,41,1,0.443,0,2.6,23,328,23,0
1669413218,0,1,-87,87,-1.8,11,41,1,0.443,0,2.6,23,332,23,0
1669413219,0,1,-87,87,-1,11,41,1,0.438,0,2.6,23,341,22,0
1669413220,0,1,-87,87,-0.393,11,41,1,0.424,0,2.6,23,348,22,0
1669413221,0,1,-87,87,-2,11,41,1,0.414,0,2.6,23,382,22,0
1669413222,0,1,-87,87,3.5,18,41,1,1,0,2.6,23,270,22,0
1669413223,0,1,-87,87,-4.5,11,41,1,0.433,0,2.6,23,314,22,0
1669413224,0,1,-87,87,-5.5,11,41,1,0.426,0,2.6,23,352,22,0
1669413225,0,1,-87,87,-5,11,41,1,0.441,0,2.6,23,380,23,0
1669413226,0,1,-87,87,0.123,14,41,1,0.698,0,2.6,23,284,22,0
1669413227,0,1,-87,87,0.503,14,41,1,0.668,0,2.6,23,282,22,0
1669413228,0,1,-87,87,-2.4,11,41,1,0.435,0,2.6,23,304,22,0
1669413229,0,1,-87,87,0.534,11,41,1,0.433,0,2.6,23,321,22,0
1669413230,0,1,-87,87,-3.4,11,41,1,0.437,0,2.6,23,329,22,0
1669413231,0,1,-87,87,0.704,11,41,1,0.432,0,2.6,23,329,22,0
1669413232,0,1,-87,87,0.901,11,41,1,0.442,0,2.6,23,327,23,0
1669413233,0,1,-87,87,-0.588,11,41,1,0.438,0,2.6,23,331,23,0
1669413234,0,1,-87,87,-4.5,11,41,1,0.436,0,2.6,23,342,22,0
1669413235,0,1,-87,87,-5.5,11,41,1,0.444,0,2.6,23,358,23,0
1669413236,0,1,-87,87,-4.5,11,41,1,0.428,0,2.6,23,382,22,0
1669413237,0,1,-87,87,3.5,17,41,1,1,0,2.6,23,273,22,0
1669413238,0,1,-87,87,-3.7,11,41,1,0.429,0,2.6,23,311,22,0
1669413239,0,1,-87,87,-3.8,11,41,1,0.423,0,2.6,23,351,22,0
1669413240,0,1,-87,87,-1,11,41,1,0.43,0,2.6,23,380,22,0
1669413241,0,1,-87,87,-1.2,13,41,1,0.632,0,2.6,23,308,22,0
1669413242,0,1,-87,87,3.3,15,41,1,0.788,0,2.6,23,275,22,0
1669413243,0,1,-87,87,-1.6,11,41,1,0.424,0,2.6,23,305,22,0
1669413244,0,1,-87,87,-2.3,11,41,1,0.435,0,2.6,23,311,22,0
1669413245,0,1,-87,87,-1.3,11,41,1,0.421,0,2.6,23,323,22,0
1669413246,0,1,-87,87,-6.1,11,41,1,0.436,0,2.6,23,327,23,0
1669413247,0,1,-87,87,-4.6,11,41,1,0.427,0,2.6,23,327,22,0
1669413248,0,1,-87,87,-5.2,11,41,1,0.433,0,2.6,23,331,22,0
1669413249,0,1,-87,87,-3.6,11,41,1,0.442,0,2.6,23,338,22,0
1669413250,0,1,-87,87,-4.1,11,41,1,0.429,0,2.6,23,354,22,0
1669413251,0,1,-87,87,-2.6,11,41,1,0.406,0,2.6,23,380,22,0
1669413252,0,1,-87,87,2.5,15,41,1,0.806,0,2.6,23,256,22,0
1669413253,0,1,-87,87,2.6,16,41,1,0.696,0,2.6,23,282,21,0
1669413254,0,1,-87,87,2.2,12,41,1,0.377,0,2.6,23,320,21,0
1669413255,0,1,-87,87,3.2,13,41,1,0.338,0,2.6,23,365,20,0
1669413256,0,1,-87,87,4.4,14,41,1,0.326,0,2.6,23,368,19,0
1669413257,0,1,-87,87,4.8,19,41,1,0.832,0,2.6,23,268,19,0
1669413258,0,1,-87,87,2,16,41,1,0.277,0,2.6,23,291,19,0
1669413259,0,1,-87,87,2,15,41,1,0.292,0,2.6,22,297,18,0
1669413260,0,1,-87,87,2.1,15,41,1,0.255,0,2.6,22,316,18,0
1669413261,0,1,-87,87,0.829,14,41,1,0.253,0,2.6,22,327,17,0
1669413262,0,1,-87,87,0.656,13,41,1,0.212,0,2.6,21,331,17,0
1669413263,0,1,-87,87,2.1,14,41,1,0.232,0,2.6,21,330,17,0
1669413264,0,1,-87,87,0.757,13,41,1,0.2,0,2.6,19,327,15,0
1669413265,0,1,-87,87,0.429,12,41,1,0.248,0,2.6,19,350,15,0
1669413266,0,1,-87,87,0.654,13,41,1,0.236,0,2.6,19,352,15,0
1669413267,0,1,-87,87,0.019,13,41,1,0.268,0,2.6,18,384,14,0
1669413268,0,1,-87,87,7.5,17,41,1,0.786,0,2.6,17,277,14,0
1669413269,0,1,-87,87,4.7,14,41,1,0.292,0,2.6,16,188,13,0
1669413270,0,1,-87,87,2.1,12,41,1,0.225,0,2.6,16,195,13,0
1669413271,0,1,-87,87,3,13,41,1,0.205,0,2.6,15,228,11,0
1669413272,0,1,-87,87,1.9,12,41,1,0.193,0,2.6,14,234,10,0
1669413273,0,1,-87,87,4.1,12,41,1,0.208,0,2.6,14,239,11,0
1669413274,0,1,-87,87,2.9,13,41,1,0.167,0,2.6,13,232,9.8,0
1669413275,0,1,-87,87,4.2,12,41,1,0.147,0,2.6,12,243,8.8,0
1669413276,0,1,-87,87,2.5,11,41,1,0.148,0,2.6,12,245,8.9,0
1669413277,0,1,-87,87,1.5,11,41,1,0.142,0,2.6,11,267,8.1,0
1669413278,0,1,-87,87,4,11,41,1,0.14,0,2.6,11,296,7.8,0
1669413279,0,1,-87,87,3.5,11,41,1,0.132,0,2.6,10,324,7.2,0
1669413280,0,1,-87,87,2.8,11,41,1,0.128,0,2.6,10,382,7.1,0
1669413281,0,1,-87,87,3.7,11,41,1,0.118,0,2.6,8,383,5.8,0
1669413282,0,1,-87,87,4.8,14,41,1,0.319,0,2.6,9,320,6.5,0
1669413283,0,1,-87,87,6,15,41,1,0.362,0,2.6,7,310,5.4,0
1669413284,0,1,-87,87,5,14,41,1,0.416,0,2.6,8,335,5.9,0
1669413285,0,1,-87,87,4.3,11,41,1,0.119,0,2.6,6,352,5,0
1669413286,0,1,-87,87,3.4,11,41,1,0.109,0,2.6,7,385,5.1,0
1669413287,0,1,-87,87,3.8,11,41,1,0.105,0,2.6,6,382,4.3,0
1669413288,0,1,-87,87,4.9,11,41,1,0.115,0,2.6,5,381,3.7,0
1669413289,0,1,-87,87,6.6,15,41,1,0.268,0,2.6,4,334,3.3,0
1669413290,0,1,-87,87,4.9,14,41,1,0.297,0,2.6,4,294,3.6,0
1669413291,0,1,-87,87,5.4,15,41,1,0.199,0,2.6,3,304,2.5,0
1669413292,0,1,-87,87,4.5,16,41,1,0.282,0,2.6,4,303,3.2,0
1669413293,0,1,-87,87,3.8,15,41,1,0.181,0,2.6,2,302,2,0
1669413294,0,1,-87,87,3.6,12,41,1,0.072,0,2.6,2,303,2,0
1669413295,0,1,-87,87,2.6,11,41,1,0.063,0,2.6,2,316,2.1,0
1669413296,0,1,-87,87,3.6,12,41,1,0.129,0,2.6,2,312,2.1,0
1669413297,0,1,-87,87,4.5,15,41,1,0.193,0,2.6,3,277,2.1,0
1669413298,0,1,-87,87,4.6,16,41,1,0.18,0,2.6,2,253,1.8,0
1669413299,0,1,-87,87,4.1,15,41,1,0.166,0,2.6,1,231,1.6,0
1669413300,0,1,-87,87,4.7,15,41,1,0.143,0,2.6,2,227,1.7,0
1669413301,0,1,-87,87,3.8,13,41,1,0.158,0,2.6,2,222,1.7,0
1669413302,0,1,-87,87,3.8,14,41,1,0.127,0,2.6,1,202,1.5,0
1669413303,0,1,-87,87,4.6,12,41,1,0.13,0,2.1,1,184,1.3,0
1669413304,0,1,-87,87,4.2,14,41,1,0.13,0,2.1,1,162,1.4,0
1669413305,0,1,-87,87,3,13,41,1,0.099,0,2.1,1,157,1.1,0
1669413306,0,1,-87,87,4.4,10,41,1,0.123,0,2.1,5,155,1.1,0
1669413307,0,1,-87,87,4.6,10,41,1,0.111,0,2.1,0,149,0.962,0
1669413308,0,1,-87,87,4.3,13,41,1,0.131,0,2.1,1,154,1.1,0
1669413309,0,1,-87,87,3.6,12,41,1,0.127,0,2.1,2,137,1,0
1669413310,0,1,-87,87,3.2,10,41,1,0.073,0,2.1,2,122,0.903,0
1669413311,0,1,-87,87,3.2,13,41,1,0.085,0,2.1,4,109,0.992,0
1669413312,0,1,-87,87,3,12,41,1,0.11,0,2.1,3,102,0.883,0
1669413313,0,1,-87,87,3.9,11,41,1,0.076,0,2.1,1,92,0.889,0
1669413314,0,1,-87,87,2.3,10,41,1,0.094,0,2.6,8,97,0.892,0
1669413315,0,1,-87,87,4,11,41,1,0.057,0,2.6,1,82,0.772,0
1669413316,0,1,-87,87,3.2,13,41,1,0.077,0,2.6,7,96,0.814,0
1669413317,0,1,-87,87,3.5,12,41,1,0.067,0,2.6,5,83,0.892,0
1669413318,0,1,-87,87,2.8,9,41,1,0.061,0,2.6,2,61,0.944,0
1669413319,0,1,-87,87,3.6,9,41,1,0.057,0,2.6,2,46,0.743,0
1669413320,0,1,-87,87,4.2,9,41,1,0.067,0,2.6,3,35,0.732,0
1669413321,0,1,-87,87,2.8,11,41,1,0.075,0,2.6,5,28,0.766,0
1669413322,0,1,-87,87,2.7,13,41,1,0.039,0,2.6,2,7.4,0.775,0
1669413323,0,1,-87,87,1.5,11,41,1,0.043,0,1.6,5,6,0.637,0
1669413324,0,1,-87,87,2.7,0,41,1,0.000134,0,2.6,11,0,0.133,0
1669413325,0,1,-87,87,2.5,0,41,0,0,0,2.6,0,0,0,0
1669413326,0,1,-87,87,2.5,11,41,1,0.0012,0,2.6,19,0,0.096,0
1669413327,0,1,-87,87,2.5,0,41,0,0,0,2.6,0,0,0,0
1669413328,0,1,-87,87,2.8,0,41,0,0,0,2.6,0,0,0,0
1669413329,0,1,-87,87,3,11,41,1,0.0012,0,2.6,21,0,0.1,0
1669413330,0,1,-87,87,2.5,0,41,0,0,0,2.6,0,0,0,0
1669413331,0,1,-87,87,2.8,0,41,0,0,0,2.6,19,0,0.032,0
