Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1669413200,4,0,1,1.32,11.1,0,0.0947
1669413201,4,1,2,1.18,9.9,0,0.141
1669413202,4,2,3,1.18,9.9,0,0.189
1669413203,4,3,4,1.18,9.9,0,0.238
1669413204,4,4,5,1.24,10.4,0,0.286
1669413205,4,5,6,1.12,9.38,0,0.331
1669413206,4,6,7,1.12,9.39,0,0.378
1669413207,4,7,8,0.7,5.73,12,0.284
1669413208,4,8,9,1.37,11.5,2,0.308
1669413209,4,9,10,0.954,7.83,0,0.349
1669413210,4,10,11,0.954,7.82,0,0.379
1669413211,4,11,12,0.764,6.25,3,0.331
1669413212,4,12,13,1.18,9.91,2,0.286
1669413213,4,13,14,0.954,7.82,0,0.31
1669413214,4,14,15,0.954,7.82,0,0.325
1669413215,4,15,16,0.891,7.3,0,0.332
1669413216,4,16,17,0.954,7.82,0,0.334
1669413217,4,17,18,1.018,8.34,0,0.334
1669413218,4,18,19,0.954,7.82,0,0.337
1669413219,4,19,20,0.954,7.82,0,0.342
1669413220,4,20,21,0.954,7.82,0,0.358
1669413221,4,21,22,0.954,7.82,0,0.385
1669413222,4,22,23,0.509,4.17,12,0.281
1669413223,4,23,24,1.37,11.5,0,0.31
1669413224,4,24,25,0.954,7.82,0,0.351
1669413225,4,25,26,0.891,7.3,0,0.378
1669413226,4,26,27,0.891,7.3,1,0.378
1669413227,4,27,28,1.06,8.86,3,0.283
1669413228,4,28,29,0.891,7.3,0,0.308
1669413229,4,29,30,1.018,8.34,0,0.324
1669413230,4,30,31,0.891,7.3,0,0.332
1669413231,4,31,32,0.954,7.82,0,0.334
1669413232,4,32,33,1.018,8.34,0,0.334
1669413233,4,33,34,0.891,7.3,0,0.335
1669413234,4,34,35,0.954,7.82,0,0.342
1669413235,4,35,36,0.891,7.3,0,0.355
1669413236,4,36,37,0.954,7.82,0,0.38
1669413237,4,37,38,0.509,4.17,11,0.281
1669413238,4,38,39,1.37,11.5,0,0.308
1669413239,4,39,40,0.954,7.83,0,0.348
1669413240,4,40,41,0.891,7.3,0,0.376
1669413241,4,41,42,0.954,7.82,0,0.393
1669413242,4,42,43,1.018,8.34,6,0.28
1669413243,4,43,44,0.954,7.82,0,0.305
1669413244,4,44,45,0.954,7.82,0,0.324
1669413245,4,45,46,0.891,7.29,0,0.331
1669413246,4,46,47,0.954,7.82,0,0.334
1669413247,4,47,48,0.954,7.81,0,0.334
1669413248,4,48,49,0.954,7.83,0,0.335
1669413249,4,49,50,0.954,7.82,0,0.341
1669413250,4,50,51,0.764,6.25,0,0.354
1669413251,4,51,52,0.764,6.25,0,0.375
1669413252,4,52,53,0.573,4.68,5,0.337
1669413253,4,53,54,1.06,8.89,7,0.294
1669413254,4,54,55,0.891,7.3,0,0.338
1669413255,4,55,56,0.827,6.78,0,0.369
1669413256,4,56,57,0.827,6.77,0,0.389
1669413257,4,57,58,0.445,3.65,7,0.276
1669413258,4,58,59,1.18,9.91,0,0.294
1669413259,4,59,60,0.7,5.73,0,0.317
1669413260,4,60,61,0.764,6.25,0,0.329
1669413261,4,61,62,0.764,6.26,0,0.334
1669413262,4,62,63,0.7,5.73,0,0.335
1669413263,4,63,64,0.7,5.74,0,0.335
1669413264,4,64,65,0.636,5.21,0,0.338
1669413265,4,65,66,0.636,5.21,0,0.346
1669413266,4,66,67,0.636,5.21,0,0.363
1669413267,4,67,68,0.636,5.21,0,0.392
1669413268,4,68,69,0.191,1.56,19,0.28
1669413269,4,69,70,1.018,8.35,0,0.195
1669413270,4,70,71,0.509,4.17,0,0.214
1669413271,4,71,72,0.509,4.17,0,0.228
1669413272,4,72,73,0.509,4.17,0,0.236
1669413273,4,73,74,0.445,3.65,0,0.238
1669413274,4,74,75,0.445,3.65,0,0.238
1669413275,4,75,76,0.382,3.13,0,0.239
1669413276,4,76,77,0.382,3.13,0,0.245
1669413277,4,77,78,0.382,3.13,0,0.257
1669413278,4,78,79,0.318,2.61,0,0.28
1669413279,4,79,80,0.318,2.6,0,0.313
1669413280,4,80,81,0.255,2.08,0,0.361
1669413281,4,81,82,0.318,2.61,0,0.417
1669413282,4,82,83,0.382,3.13,19,0.402
1669413283,4,83,84,0,0,44,0.307
1669413284,4,84,85,0,0,3,0.303
1669413285,4,85,86,0.827,6.77,0,0.334
1669413286,4,86,87,0.318,2.61,0,0.365
1669413287,4,87,88,0.191,1.56,0,0.39
1669413288,4,88,89,0.127,1.04,0,0.411
1669413289,4,89,90,0.0636,0.522,14,0.361
1669413290,4,90,91,0,0,11,0.297
1669413291,4,91,92,0,0,10,0.288
1669413292,4,92,93,0,0,0,0.288
1669413293,4,93,94,0,0,0,0.288
1669413294,4,94,95,0.636,5.21,0,0.293
1669413295,4,95,96,0.127,1.04,0,0.301
1669413296,4,96,97,0.127,1.04,1,0.303
1669413297,4,97,98,0,0,0,0.28
1669413298,4,98,99,0,0,4,0.249
1669413299,4,99,100,0,0,0,0.228
1669413300,4,100,101,0.127,1.04,0,0.218
1669413301,4,101,102,0,0,0,0.218
1669413302,4,102,103,0.255,2.09,1,0.198
1669413303,4,103,104,0,0,0,0.181
1669413304,4,104,105,0.0636,0.522,1,0.163
1669413305,4,105,106,0.191,1.56,1,0.15
1669413306,4,106,107,0,0,1,0.148
1669413307,4,107,108,0,0,4,0.143
1669413308,4,108,109,0,0,1,0.151
1669413309,4,109,110,0.0636,0.521,4,0.136
1669413310,4,110,111,0.0636,0.521,3,0.123
1669413311,4,111,112,0,0,4,0.107
1669413312,4,112,113,0,0,6,0.1
1669413313,4,113,114,0,0,4,0.0947
1669413314,4,114,115,0.127,1.04,9,0.099
1669413315,4,115,116,0,0,9,0.0863
1669413316,4,116,117,0.0636,0.521,3,0.0947
1669413317,4,117,118,0,0,10,0.0848
1669413318,4,118,119,0.0636,0.521,8,0.0707
1669413319,4,119,120,0,0,7,0.0551
1669413320,4,120,121,0.0636,0.521,14,0.0424
1669413321,4,121,122,0,0,11,0.0368
1669413322,4,122,123,0,0,14,0.017
1669413323,4,123,124,0,0,11,0.00566
1669413324,4,124,125,0.191,1.56,5,0.00566
1669413325,4,125,126,0,0,0,0.00566
1669413326,4,126,127,0,0,3,0.00283
1669413327,4,127,128,0,0,0,0.00283
1669413328,4,128,129,0,0,0,0.00283
1669413329,4,129,130,0,0,3,0.00283
1669413330,4,130,131,0,0,0,0.00283
1669413331,4,131,132,0,0,0,0.00283
1669413332,4,132,133,0,0,2,0.00283
1669413333,4,133,134,0,0,0,0.00283
1669413334,4,134,135,0,0,2,0.00283
1669413335,4,135,136,0,0,0,0.00283
1669413336,4,136,137,0,0,0,0.00283
1669413337,4,137,138,0,0,2,0.00283
1669413338,4,138,139,0,0,0,0.00283
1669413339,4,139,140,0,0,2,0.00283
1669413340,4,140,141,0,0,0,0.00283
1669413341,4,141,142,0,0,0,0.00283
1669413342,4,142,143,0,0,2,0.00283
1669413343,4,143,144,0,0,0,0.00283
1669413344,4,144,145,0,0,0,0.00283
1669413345,4,145,146,0,0,1,0.00141
1669413346,4,146,147,0,0,0,0.00141
1669413347,4,147,148,0,0,0,0.00141
1669413348,4,148,149,0,0,0,0.00141
1669413349,4,149,150,0,0,0,0.00141
1669413350,4,150,151,0,0,1,0.00141
1669413351,4,151,152,0,0,0,0.00141
1669413352,4,152,153,0,0,0,0.00141
1669413353,4,153,154,0,0,0,0.00141
1669413354,4,154,155,0,0,0,0.00141
1669413355,4,155,156,0,0,0,0.00141
1669413356,4,156,157,0,0,0,0.00141
1669413357,4,157,158,0,0,0,0.00141
1669413358,4,158,159,0,0,1,0.00141
1669413359,4,159,160,0,0,0,0.00141
1669413360,4,160,161,0,0,0,0.00141
1669413361,4,161,162,0,0,0,0.00141
1669413362,4,162,163,0,0,0,0.00141
1669413363,4,163,164,0,0,0,0.00141
1669413364,4,164,165,0,0,0,0.00141
1669413365,4,165,166,0,0,0,0.00141
1669413366,4,166,167,0,0,0,0.00141
1669413367,4,167,168,0,0,0,0.00141
1669413368,4,168,169,0,0,0,0.00141
1669413369,4,169,170,0,0,0,0.00141
1669413370,4,170,171,0,0,0,0.00141
1669413371,4,171,172,0,0,0,0.00141
1669413372,4,172,173,0,0,0,0.00141
1669413373,4,173,174,0,0,0,0.00141
1669413374,4,174,175,0,0,0,0.00141
1669413375,4,175,176,0,0,1,0.00283
1669413376,4,176,177,0,0,0,0.00283
1669413377,4,177,178,0,0,1,0.00141
1669413378,4,178,179,0,0,0,0.00141
1669413379,4,179,180,0,0,0,0.00141
1669413380,4,180,181,0,0,0,0.00141
1669413381,4,181,182,0,0,0,0.00141
1669413382,4,182,183,0,0,1,0.00141
1669413383,4,183,184,0,0,0,0.00141
1669413384,4,184,185,0,0,0,0.00141
1669413385,4,185,186,0,0,0,0.00141
1669413386,4,186,187,0,0,0,0.00141
1669413387,4,187,188,0,0,0,0.00141
1669413388,4,188,189,0,0,0,0.00141
1669413389,4,189,190,0,0,0,0.00141
1669413390,4,190,191,0,0,1,0.00141
1669413391,4,191,192,0,0,0,0.00141
1669413392,4,192,193,0,0,0,0.00141
1669413393,4,193,194,0,0,0,0.00141
1669413394,4,194,195,0,0,0,0.00141
1669413395,4,195,196,0,0,0,0.00141
1669413396,4,196,197,0,0,0,0.00141
1669413397,4,197,198,0,0,0,0.00141
1669413398,4,198,199,0,0,0,0.00141
1669413399,4,199,200,0,0,0,0.00141
1669413400,4,200,201,0,0,0,0.00141
1669413401,4,201,202,0,0,0,0.00141
1669413402,4,202,203,0,0,0,0.00141
1669413403,4,203,204,0,0,0,0.00141
1669413404,4,204,205,0,0,0,0.00141
1669413405,4,205,206,0,0,0,0.00141
1669413406,4,206,207,0,0,1,0.00141
1669413407,4,207,208,0,0,3,0.00424
1669413408,4,208,209,0.0636,0.521,4,0.00424
1669413409,4,209,210,0,0,3,0.00283
1669413410,4,210,211,0.0636,0.521,1,0.00566
1669413411,4,211,212,0,0,2,0.00707
1669413412,4,212,213,0.0636,0.521,5,0.00283
1669413413,4,213,214,0,0,4,0.00566
1669413414,4,214,215,0.0636,0.521,2,0.00566
1669413415,4,215,216,0,0,4,0.00141
1669413416,4,216,217,0,0,4,0.00707
1669413417,4,217,218,0.0636,0.521,0,0.0127
1669413418,4,218,219,0.127,1.04,0,0.017
1669413419,4,219,220,0.0636,0.521,0,0.0198
1669413420,4,220,221,0.0636,0.521,0,0.0226
1669413421,4,221,222,0.0636,0.521,0,0.0368
1669413422,4,222,223,0.0636,0.521,0,0.0622
1669413423,4,223,224,0.0636,0.521,0,0.1
1669413424,4,224,225,0.127,1.04,0,0.15
1669413425,4,225,226,0.0636,0.522,0,0.202
1669413426,4,226,227,0.127,1.04,0,0.27
1669413427,4,227,228,0,0,2,0.238
1669413428,4,228,229,0.255,2.09,0,0.197
1669413429,4,229,230,0.255,2.08,0,0.216
1669413430,4,230,231,0.127,1.04,0,0.238
1669413431,4,231,232,0.191,1.56,0,0.255
1669413432,4,232,233,0.127,1.04,0,0.267
1669413433,4,233,234,0.255,2.08,0,0.276
1669413434,4,234,235,0.191,1.56,0,0.279
1669413435,4,235,236,0,0,2,0.206
1669413436,4,236,237,0.573,4.69,0,0.204
1669413437,4,237,238,0.318,2.61,0,0.219
1669413438,4,238,239,0.255,2.09,0,0.229
1669413439,4,239,240,0.318,2.61,0,0.235
1669413440,4,240,241,0.318,2.61,0,0.236
1669413441,4,241,242,0.318,2.61,0,0.238
1669413442,4,242,243,0.382,3.13,0,0.242
1669413443,4,243,244,0.382,3.13,0,0.253
1669413444,4,244,245,0.382,3.13,0,0.274
1669413445,4,245,246,0.255,2.09,0,0.3
1669413446,4,246,247,0.255,2.08,0,0.342
1669413447,4,247,248,0.191,1.56,0,0.4
1669413448,4,248,249,0.318,2.61,12,0.43
1669413449,4,249,250,0,0,55,0.294
1669413450,4,250,251,0.573,4.69,0,0.322
1669413451,4,251,252,0.509,4.17,0,0.352
1669413452,4,252,253,0.445,3.65,0,0.392
1669413453,4,253,254,0.127,1.04,14,0.342
1669413454,4,254,255,0,0,13,0.28
1669413455,4,255,256,0.954,7.81,0,0.296
1669413456,4,256,257,0.318,2.61,0,0.315
1669413457,4,257,258,0.318,2.6,0,0.332
1669413458,4,258,259,0.445,3.65,0,0.344
1669413459,4,259,260,0.382,3.13,0,0.346
1669413460,4,260,261,0.255,2.09,0,0.348
1669413461,4,261,262,0.382,3.13,0,0.349
1669413462,4,262,263,0.255,2.09,0,0.355
1669413463,4,263,264,0.318,2.61,0,0.366
1669413464,4,264,265,0.318,2.61,0,0.387
1669413465,4,265,266,0.127,1.04,6,0.359
1669413466,4,266,267,0,0,17,0.281
1669413467,4,267,268,0.636,5.21,0,0.281
1669413468,4,268,269,0.318,2.6,0,0.305
1669413469,4,269,270,0.255,2.09,0,0.335
1669413470,4,270,271,0.191,1.56,0,0.358
1669413471,4,271,272,0.191,1.56,0,0.376
1669413472,4,272,273,0.191,1.56,0,0.386
1669413473,4,273,274,0.127,1.04,7,0.361
1669413474,4,274,275,0,0,6,0.308
1669413475,4,275,276,0,0,4,0.273
1669413476,4,276,277,0.255,2.09,1,0.273
1669413477,4,277,278,0.0636,0.521,0,0.269
1669413478,4,278,279,0.445,3.65,0,0.229
