[2022-11-25 16:53:19.301458] Connecting to host 172.16.0.1, port 5201
[2022-11-25 16:53:19.486880] [  4] local 172.16.0.2 port 39406 connected to 172.16.0.1 port 5201
[2022-11-25 16:53:20.524550] [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[2022-11-25 16:53:20.525995] [  4]   0.00-1.00   sec  1.32 MBytes  11.1 Mbits/sec    0   94.7 KBytes       
[2022-11-25 16:53:21.524563] [  4]   1.00-2.00   sec  1.18 MBytes  9.90 Mbits/sec    0    141 KBytes       
[2022-11-25 16:53:22.524577] [  4]   2.00-3.00   sec  1.18 MBytes  9.90 Mbits/sec    0    189 KBytes       
[2022-11-25 16:53:23.525205] [  4]   3.00-4.00   sec  1.18 MBytes  9.90 Mbits/sec    0    238 KBytes       
[2022-11-25 16:53:24.524687] [  4]   4.00-5.00   sec  1.24 MBytes  10.4 Mbits/sec    0    286 KBytes       
[2022-11-25 16:53:25.526337] [  4]   5.00-6.00   sec  1.12 MBytes  9.38 Mbits/sec    0    331 KBytes       
[2022-11-25 16:53:26.524891] [  4]   6.00-7.00   sec  1.12 MBytes  9.39 Mbits/sec    0    378 KBytes       
[2022-11-25 16:53:27.526374] [  4]   7.00-8.00   sec   700 KBytes  5.73 Mbits/sec   12    284 KBytes       
[2022-11-25 16:53:28.525504] [  4]   8.00-9.00   sec  1.37 MBytes  11.5 Mbits/sec    2    308 KBytes       
[2022-11-25 16:53:29.524586] [  4]   9.00-10.00  sec   954 KBytes  7.83 Mbits/sec    0    349 KBytes       
[2022-11-25 16:53:30.524624] [  4]  10.00-11.00  sec   954 KBytes  7.82 Mbits/sec    0    379 KBytes       
[2022-11-25 16:53:31.525621] [  4]  11.00-12.00  sec   764 KBytes  6.25 Mbits/sec    3    331 KBytes       
[2022-11-25 16:53:32.525010] [  4]  12.00-13.00  sec  1.18 MBytes  9.91 Mbits/sec    2    286 KBytes       
[2022-11-25 16:53:33.524722] [  4]  13.00-14.00  sec   954 KBytes  7.82 Mbits/sec    0    310 KBytes       
[2022-11-25 16:53:34.524725] [  4]  14.00-15.00  sec   954 KBytes  7.82 Mbits/sec    0    325 KBytes       
[2022-11-25 16:53:35.524571] [  4]  15.00-16.00  sec   891 KBytes  7.30 Mbits/sec    0    332 KBytes       
[2022-11-25 16:53:36.524672] [  4]  16.00-17.00  sec   954 KBytes  7.82 Mbits/sec    0    334 KBytes       
