Time,eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670644152,46,15,0,2,0.01,3,0,0,54.1,25.4,40,3,0.077,3,0,0,0
1670644153,46,15,0,5,0.013,9,0,0,52.3,28.4,40,22,0.106,5,0,0,0
1670644154,46,15,2,15,0,0,0,0,0,11.7,40,0,0.02,1,0,0,0
1670644155,46,15,2,0,0.0048,1,0,0,41.9,7.2,0,8,0.0014,2,0,0,0
1670644156,46,15,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0
1670644157,46,15,2,12,0.751,9,6,40,46.2,33.9,40,15,0.232,20,0,0,0
1670644158,46,15,0,18,1.1,8,6,42,45.6,26.3,40,13,0.086,9,0,0,0
1670644159,46,15,0,0,0.834,2,4,66,46.9,17.4,40,15,0.116,6,0,0,0
1670644160,46,15,2,0,0.966,3,4,57,47.4,26.9,40,17,0.139,9,0,0,0
1670644161,46,15,0,10,0.697,4,8,66,46.8,25.2,40,15,0.105,12,0,0,0
1670644162,46,15,2,16,0.883,5,4,44,46.4,29.2,40,16,0.15,16,0,0,0
1670644163,46,15,2,19,1.4,8,4,33,46.9,32.6,40,17,0.196,21,0,0,0
1670644164,46,15,0,21,1.3,8,4,33,46.6,31.6,40,17,0.185,21,0,0,0
1670644165,46,15,2,14,1.2,7,8,53,46.2,27,40,16,0.139,17,0,0,0
1670644166,46,15,0,19,1.3,8,4,33,46.4,31.6,40,16,0.187,21,0,0,0
1670644167,46,15,2,19,0.969,7,4,36,46.3,30.2,40,15,0.146,16,0,0,0
1670644168,46,15,2,18,1.4,9,4,30,46.2,33.3,40,16,0.167,21,0,0,0
1670644169,46,15,0,19,1.3,8,4,33,46.6,30.6,40,16,0.19,19,0,0,0
1670644170,46,15,2,17,1.2,7,7,50,46.6,30.7,40,16,0.178,19,0,0,0
1670644171,46,15,2,22,1.3,8,3,27,46.8,30.7,40,17,0.184,20,0,0,0
1670644172,46,15,0,15,1,6,6,50,45.7,29.2,40,15,0.119,14,0,0,0
1670644173,46,15,2,18,1.3,8,4,33,46.7,32.8,40,17,0.19,21,0,0,0
1670644174,46,15,0,18,1.1,8,4,33,46.9,30,40,17,0.15,17,0,0,0
