Time,Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Fix,Number of Satellites,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps],Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB],UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%],eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670644164,1,-78.6961099,35.7272789,0.005,12.587,100,6,10,4,6,7,0.0354,0.29,5,6,7,0.0834,0.684,3,0.00424,0,1,-87,87,8.3,17,40,0.7,1.1,41,2.6,15,204,0.05,41,46,15,0,21,1.3,8,4,33,46.6,31.6,40,17,0.185,21,0,0,0
1670644165,2,-78.6961099,35.7272789,0.005,12.587,100,6,10,4,7,8,0.0311,0.255,5,7,8,0,0,2,0.00566,0,1,-87,87,6.5,20,40,0.8,1.2,33,2.6,17,272,0.066,33,46,15,2,14,1.2,7,8,53,46.2,27,40,16,0.139,17,0,0,0
1670644166,3,-78.6961099,35.7272789,0.005,12.587,100,6,10,4,8,9,0.0297,0.243,5,8,9,0.082,0.672,1,0.00707,0,1,-87,87,3.4,19,40,0.7,1.1,36,2.6,16,0,0.076,36,46,15,0,19,1.3,8,4,33,46.4,31.6,40,16,0.187,21,0,0,0
1670644167,4,-78.6961099,35.7272789,0.005,12.587,100,6,10,4,9,10,0.0184,0.151,5,9,10,0,0,2,0.00566,0,1,-87,87,3.8,20,40,0.7,1.4,33,2.6,17,158,0.073,33,46,15,2,19,0.969,7,4,36,46.3,30.2,40,15,0.146,16,0,0,0
1670644168,5,-78.6961099,35.7272789,0.005,12.587,100,6,10,4,10,11,0.0297,0.243,5,10,11,0,0,1,0.00707,0,1,-87,87,3.1,19,40,0.8,1.3,33,2.6,17,168,0.072,33,46,15,2,18,1.4,9,4,30,46.2,33.3,40,16,0.167,21,0,0,0
1670644169,6,-78.6961099,35.7272789,0.005,12.587,100,6,10,4,11,12,0.0311,0.255,5,11,12,0,0,3,0.00424,0,1,-87,87,4.8,15,40,0.6,1.2,50,2.6,16,0,0.065,50,46,15,0,19,1.3,8,4,33,46.6,30.6,40,16,0.19,19,0,0,0
1670644170,7,-78.6961099,35.7272789,0.005,12.587,100,6,10,4,12,13,0.0269,0.22,5,12,13,0.0806,0.66,2,0.00424,0,1,-87,87,5.7,19,40,0.8,1.3,33,2.6,17,0,0.084,33,46,15,2,17,1.2,7,7,50,46.6,30.7,40,16,0.178,19,0,0,0
1670644171,8,-78.6961099,35.7272789,0.005,12.587,100,6,10,4,13,14,0.0297,0.243,5,13,14,0,0,1,0.00424,0,1,-87,87,5,18,40,0.7,0.979,36,2.6,16,0,0.088,36,46,15,2,22,1.3,8,3,27,46.8,30.7,40,17,0.184,20,0,0,0
1670644172,9,-78.6961099,35.7272789,0.005,12.489,99,6,10,4,14,15,0.0269,0.22,5,14,15,0.0834,0.684,2,0.00566,0,1,-87,87,5.1,19,40,0.7,1.2,36,2.6,17,0,0.067,36,46,15,0,15,1,6,6,50,45.7,29.2,40,15,0.119,14,0,0,0
1670644173,10,-78.6961099,35.7272789,0.013,12.193,99,6,10,4,15,16,0.0297,0.243,5,15,16,0,0,1,0.00707,0,1,-87,87,4.1,19,40,0.8,1.4,33,2.6,16,168,0.088,33,46,15,2,18,1.3,8,4,33,46.7,32.8,40,17,0.19,21,0,0,0
