[2022-12-09 22:48:54.875189] -----------------------------------------------------------
[2022-12-09 22:48:54.875264] Server listening on 5201
[2022-12-09 22:48:54.875296] -----------------------------------------------------------
[2022-12-09 22:49:17.304520] Accepted connection from 172.16.0.2, port 51354
[2022-12-09 22:49:17.573377] [  5] local 172.16.0.1 port 5201 connected to 172.16.0.2 port 51546
[2022-12-09 22:50:04.574441] [  5]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:50:05.574422] [  5]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:50:06.574464] [  5]  48.00-49.00  sec  82.0 KBytes   672 Kbits/sec    1   4.24 KBytes       
[2022-12-09 22:50:07.574290] [  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:08.574441] [  5]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:09.574437] [  5]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:50:10.574271] [  5]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:11.574344] [  5]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:50:12.574263] [  5]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:13.574202] [  5]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:50:14.574209] [  5]  56.00-57.00  sec  77.8 KBytes   637 Kbits/sec    2   4.24 KBytes       
[2022-12-09 22:50:15.574668] [  5]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:16.575051] [  5]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:50:17.574266] [  5]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:18.574397] [  5]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:50:19.574213] [  5]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[2022-12-09 22:50:20.574473] [  5]  62.00-63.00  sec  77.8 KBytes   637 Kbits/sec    1   4.24 KBytes       
[2022-12-09 22:50:21.574235] [  5]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:22.574255] [  5]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:23.574480] [  5]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:50:24.574301] [  5]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec    1   5.66 KBytes       
[2022-12-09 22:50:25.573931] [  5]  67.00-68.00  sec  83.4 KBytes   684 Kbits/sec    2   2.83 KBytes       
[2022-12-09 22:50:26.574230] [  5]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:27.574217] [  5]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:50:28.574424] [  5]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:29.574432] [  5]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:30.574417] [  5]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:31.574474] [  5]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:32.573616] [  5]  74.00-75.00  sec  82.0 KBytes   672 Kbits/sec    1   5.66 KBytes       
[2022-12-09 22:50:33.574334] [  5]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[2022-12-09 22:50:34.574412] [  5]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:35.574241] [  5]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:36.573847] [  5]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:37.574237] [  5]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:50:38.574485] [  5]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:39.574075] [  5]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:40.573643] [  5]  82.00-83.00  sec  77.8 KBytes   637 Kbits/sec    2   2.83 KBytes       
[2022-12-09 22:50:41.574342] [  5]  83.00-84.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:42.575085] [  5]  84.00-85.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:43.574301] [  5]  85.00-86.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
