Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Time,Fix,Number of Satellites
1,-78.6961099,35.7272789,0.005,12.587,100,1670644164,6,10
2,-78.6961099,35.7272789,0.005,12.587,100,1670644165,6,10
3,-78.6961099,35.7272789,0.005,12.587,100,1670644166,6,10
4,-78.6961099,35.7272789,0.005,12.587,100,1670644167,6,10
5,-78.6961099,35.7272789,0.005,12.587,100,1670644168,6,10
6,-78.6961099,35.7272789,0.005,12.587,100,1670644169,6,10
7,-78.6961099,35.7272789,0.005,12.587,100,1670644170,6,10
8,-78.6961099,35.7272789,0.005,12.587,100,1670644171,6,10
9,-78.6961099,35.7272789,0.005,12.489,99,1670644172,6,10
10,-78.6961099,35.7272789,0.013,12.193,99,1670644173,6,10
11,-78.6961099,35.7272789,1.276,12.143,99,1670644174,6,10
12,-78.6961098,35.7272789,3.209,12.193,99,1670644175,6,10
13,-78.6961098,35.7272789,5.388,12.193,99,1670644176,6,10
14,-78.6961098,35.7272789,7.102,12.193,99,1670644177,6,10
15,-78.6961098,35.7272789,10.051,12.193,98,1670644178,6,10
16,-78.6961098,35.7272788,12.462,12.193,98,1670644179,6,10
17,-78.6961098,35.7272788,14.904,12.193,98,1670644180,6,10
18,-78.6961098,35.7272788,17.366,12.193,98,1670644181,6,10
19,-78.6961098,35.7272789,19.839,12.193,98,1670644182,6,10
20,-78.6961097,35.7272788,21.699,12.193,97,1670644183,6,10
21,-78.6961097,35.7272788,24.806,12.193,97,1670644184,6,10
22,-78.6961097,35.7272788,27.294,12.193,97,1670644185,6,10
23,-78.6961096,35.7272788,29.779,12.193,97,1670644186,6,10
24,-78.6961096,35.7272788,31.644,12.193,97,1670644187,6,10
25,-78.6961096,35.7272788,34.136,12.193,96,1670644188,6,10
26,-78.6961096,35.7272787,36.63,12.193,96,1670644189,6,10
27,-78.6961096,35.7272787,39.125,12.193,96,1670644190,6,10
28,-78.6961096,35.7272787,41.62,12.193,96,1670644191,6,10
29,-78.6961096,35.7272786,44.117,12.193,96,1670644192,6,10
30,-78.6961095,35.7272786,46.593,12.193,95,1670644193,6,10
31,-78.6961095,35.7272787,48.611,12.242,95,1670644194,6,10
32,-78.6961094,35.7272787,49.56,12.242,95,1670644195,6,10
33,-78.6961094,35.7272786,49.821,12.242,95,1670644196,6,10
34,-78.6961094,35.7272787,49.908,12.242,95,1670644197,6,10
35,-78.6961094,35.7272787,49.945,12.242,95,1670644198,6,10
36,-78.6961095,35.7272786,49.96,12.242,94,1670644199,6,10
37,-78.6961129,35.7272783,49.966,12.242,94,1670644200,6,10
38,-78.6961247,35.7272775,49.97,12.242,94,1670644201,6,10
39,-78.6961459,35.7272761,49.973,12.242,94,1670644202,6,10
40,-78.6961769,35.7272738,49.977,12.193,94,1670644203,6,10
41,-78.6962154,35.727271,49.984,12.193,94,1670644204,6,10
42,-78.6962589,35.7272678,49.987,12.193,93,1670644205,6,10
43,-78.6963055,35.7272644,49.99,12.193,93,1670644206,6,10
44,-78.6963543,35.7272608,49.994,12.193,93,1670644207,6,10
45,-78.6964043,35.7272571,49.998,12.193,93,1670644208,6,10
46,-78.6964527,35.7272535,50.004,12.242,93,1670644209,6,10
47,-78.696495,35.7272504,50.006,12.242,92,1670644210,6,10
48,-78.6965265,35.7272482,50.005,12.242,92,1670644211,6,10
49,-78.6965435,35.7272457,50.001,12.242,92,1670644212,6,10
50,-78.6965467,35.7272379,49.996,12.242,92,1670644213,6,10
51,-78.6965446,35.7272236,49.99,12.242,92,1670644214,6,10
52,-78.6965418,35.7272014,49.987,12.193,92,1670644215,6,10
53,-78.6965395,35.7271722,49.989,12.193,91,1670644216,6,10
54,-78.6965375,35.7271381,49.993,12.193,91,1670644217,6,10
55,-78.6965356,35.727101,49.997,12.193,91,1670644218,6,10
56,-78.6965337,35.7270618,49.998,12.193,91,1670644219,6,10
57,-78.6965318,35.7270212,50.001,12.193,91,1670644220,6,10
58,-78.6965298,35.7269796,50,12.193,90,1670644221,6,10
59,-78.6965277,35.7269373,49.998,12.193,90,1670644222,6,10
60,-78.6965257,35.7268943,49.997,12.193,90,1670644223,6,10
61,-78.6965236,35.7268509,49.997,12.193,90,1670644224,6,10
62,-78.6965215,35.7268072,49.997,12.193,90,1670644225,6,10
63,-78.6965194,35.7267632,49.996,12.193,90,1670644226,6,10
64,-78.6965173,35.7267191,49.994,12.193,89,1670644227,6,10
65,-78.6965152,35.7266747,49.995,12.193,89,1670644228,6,10
66,-78.696513,35.7266302,49.995,12.193,89,1670644229,6,10
67,-78.6965109,35.7265857,49.996,12.193,89,1670644230,6,10
68,-78.6965088,35.726541,49.996,12.193,89,1670644231,6,10
69,-78.6965067,35.7264963,49.999,12.193,89,1670644232,6,10
70,-78.6965047,35.7264515,49.998,12.193,88,1670644233,6,10
71,-78.6965026,35.7264066,49.996,12.193,88,1670644234,6,10
72,-78.6965004,35.7263618,49.993,12.193,88,1670644235,6,10
73,-78.6964983,35.7263169,49.994,12.193,88,1670644236,6,10
74,-78.6964962,35.726272,49.992,12.193,88,1670644237,6,10
75,-78.6964942,35.7262271,49.992,12.193,87,1670644238,6,10
76,-78.6964922,35.7261822,49.992,12.193,87,1670644239,6,10
77,-78.6964901,35.7261374,49.993,12.193,87,1670644240,6,10
78,-78.696488,35.7260925,49.994,12.193,87,1670644241,6,10
79,-78.696486,35.7260476,49.995,12.193,87,1670644242,6,10
80,-78.6964839,35.7260027,49.998,12.193,87,1670644243,6,10
81,-78.6964817,35.7259578,49.998,12.193,86,1670644244,6,10
82,-78.6964796,35.7259129,49.997,12.193,86,1670644245,6,10
83,-78.6964775,35.725868,49.998,12.193,86,1670644246,6,10
84,-78.6964753,35.7258231,49.998,12.193,86,1670644247,6,10
85,-78.6964732,35.7257782,49.997,12.193,86,1670644248,6,10
86,-78.6964711,35.7257333,49.997,12.193,85,1670644249,6,10
87,-78.6964695,35.7256996,49.997,12.193,85,1670644250,6,10
88,-78.6964669,35.7256433,49.998,12.193,85,1670644251,6,10
89,-78.6964648,35.7255983,49.999,12.193,85,1670644252,6,10
90,-78.6964627,35.7255534,49.998,12.193,85,1670644253,6,10
91,-78.6964606,35.7255086,49.999,12.193,85,1670644254,6,10
92,-78.6964591,35.7254749,49.999,12.193,84,1670644255,6,10
93,-78.696457,35.72543,50.001,12.193,84,1670644256,6,10
94,-78.6964549,35.7253851,50.001,12.193,84,1670644257,6,10
95,-78.6964528,35.7253401,50.003,12.193,84,1670644258,6,10
96,-78.6964507,35.7252952,50.004,12.193,84,1670644259,6,10
97,-78.6964486,35.7252503,50.004,12.193,83,1670644260,6,10
98,-78.6964465,35.7252054,50.004,12.193,83,1670644261,6,10
99,-78.6964445,35.7251605,50.002,12.193,83,1670644262,6,10
100,-78.6964423,35.7251156,50,12.193,83,1670644263,6,10
101,-78.6964402,35.7250707,49.999,12.193,83,1670644264,6,10
102,-78.6964381,35.7250258,50,12.193,83,1670644265,6,10
103,-78.696436,35.7249809,50,12.193,82,1670644266,6,10
104,-78.6964339,35.724936,49.997,12.193,82,1670644267,6,10
105,-78.6964318,35.7248911,49.998,12.193,82,1670644268,6,10
106,-78.6964297,35.7248463,49.998,12.193,82,1670644269,6,10
107,-78.6964276,35.7248014,49.999,12.193,82,1670644270,6,10
108,-78.6964256,35.7247565,50.001,12.193,81,1670644271,6,10
