Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1670644293,5,135,136,0,0,1,0.00283
1670644294,5,136,137,0.0806,0.661,2,0.00283
1670644295,5,137,138,0,0,1,0.00424
1670644296,5,138,139,0,0,2,0.00283
1670644297,5,139,140,0,0,2,0.00283
1670644298,5,140,141,0,0,1,0.00283
1670644299,5,141,142,0.0806,0.661,1,0.00283
1670644300,5,142,143,0,0,2,0.00283
1670644301,5,143,144,0,0,2,0.00283
1670644302,5,144,145,0,0,1,0.00424
1670644303,5,145,146,0,0,2,0.00283
1670644304,5,146,147,0.0806,0.661,1,0.00424
1670644305,5,147,148,0,0,1,0.00424
1670644306,5,148,149,0,0,2,0.00424
1670644307,5,149,150,0,0,1,0.00424
1670644308,5,150,151,0,0,2,0.00424
1670644309,5,151,152,0.0778,0.637,2,0.00283
1670644310,5,152,153,0,0,2,0.00283
1670644311,5,153,154,0,0,0,0.00707
1670644312,5,154,155,0,0,3,0.00424
1670644313,5,155,156,0,0,3,0.00283
1670644314,5,156,157,0,0,2,0.00283
1670644315,5,157,158,0.0806,0.661,1,0.00424
1670644316,5,158,159,0,0,2,0.00283
1670644317,5,159,160,0,0,1,0.00283
1670644318,5,160,161,0,0,2,0.00424
1670644319,5,161,162,0,0,2,0.00283
1670644320,5,162,163,0,0,2,0.00283
1670644321,5,163,164,0,0,1,0.00283
1670644322,5,164,165,0.0806,0.661,2,0.00424
1670644323,5,165,166,0,0,2,0.00283
1670644324,5,166,167,0,0,1,0.00424
1670644325,5,167,168,0,0,2,0.00283
1670644326,5,168,169,0,0,2,0.00283
1670644327,5,169,170,0,0,1,0.00283
1670644328,5,170,171,0,0,3,0.00283
1670644329,5,171,172,0,0,1,0.00424
1670644330,5,172,173,0.0806,0.66,2,0.00283
1670644331,5,173,174,0,0,2,0.00283
1670644332,5,174,175,0,0,1,0.00283
1670644333,5,175,176,0,0,2,0.00283
1670644334,5,176,177,0,0,1,0.00424
1670644335,5,177,178,0,0,2,0.00283
1670644336,5,178,179,0,0,2,0.00283
1670644337,5,179,180,0,0,1,0.00283
1670644338,5,180,181,0.0792,0.649,1,0.00566
1670644339,5,181,182,0,0,3,0.00424
1670644340,5,182,183,0,0,3,0.00283
1670644341,5,183,184,0,0,1,0.00283
1670644342,5,184,185,0,0,2,0.00283
1670644343,5,185,186,0,0,2,0.00283
1670644344,5,186,187,0,0,2,0.00283
1670644345,5,187,188,0.0778,0.638,1,0.00424
1670644346,5,188,189,0,0,2,0.00283
1670644347,5,189,190,0,0,2,0.00141
1670644348,5,190,191,0,0,2,0.00283
1670644349,5,191,192,0,0,2,0.00424
1670644350,5,192,193,0,0,2,0.00283
1670644351,5,193,194,0,0,1,0.00424
1670644352,5,194,195,0,0,2,0.00283
1670644353,5,195,196,0.0792,0.649,2,0.00283
1670644354,5,196,197,0,0,2,0.00283
1670644355,5,197,198,0,0,1,0.00283
1670644356,5,198,199,0,0,2,0.00424
1670644357,5,199,200,0,0,2,0.00424
1670644358,5,200,201,0,0,2,0.00283
1670644359,5,201,202,0,0,1,0.00424
1670644360,5,202,203,0.0792,0.649,2,0.00283
1670644361,5,203,204,0,0,2,0.00424
1670644362,5,204,205,0,0,2,0.00283
1670644363,5,205,206,0,0,2,0.00283
1670644364,5,206,207,0,0,1,0.00283
1670644365,5,207,208,0,0,2,0.00424
1670644366,5,208,209,0.0834,0.684,1,0.00566
1670644367,5,209,210,0,0,2,0.00283
1670644368,5,210,211,0,0,1,0.00424
1670644369,5,211,212,0,0,2,0.00283
1670644370,5,212,213,0,0,2,0.00283
1670644371,5,213,214,0,0,2,0.00283
1670644372,5,214,215,0,0,2,0.00283
1670644373,5,215,216,0,0,2,0.00283
1670644374,5,216,217,0,0,2,0.00283
1670644375,5,217,218,0.0806,0.66,2,0.00283
1670644376,5,218,219,0,0,2,0.00424
1670644377,5,219,220,0,0,2,0.00283
1670644378,5,220,221,0,0,2,0.00283
1670644379,5,221,222,0,0,1,0.00424
1670644380,5,222,223,0,0,2,0.00283
1670644381,5,223,224,0,0,2,0.00283
1670644382,5,224,225,0.0792,0.649,2,0.00283
1670644383,5,225,226,0,0,2,0.00283
1670644384,5,226,227,0,0,1,0.00424
1670644385,5,227,228,0,0,1,0.00566
1670644386,5,228,229,0,0,3,0.00283
1670644387,5,229,230,0,0,2,0.00141
1670644388,5,230,231,0.0778,0.638,1,0.00283
1670644389,5,231,232,0,0,2,0.00283
1670644390,5,232,233,0,0,1,0.00424
1670644391,5,233,234,0,0,1,0.00424
1670644392,5,234,235,0,0,1,0.00424
1670644393,5,235,236,0,0,2,0.00566
1670644394,5,236,237,0,0,3,0.00141
1670644395,5,237,238,0,0,2,0.00283
1670644396,5,238,239,0,0,2,0.00283
1670644397,5,239,240,0.0778,0.637,1,0.00424
1670644398,5,240,241,0,0,2,0.00283
1670644399,5,241,242,0,0,1,0.00424
1670644400,5,242,243,0,0,2,0.00283
1670644401,5,243,244,0,0,1,0.00424
1670644402,5,244,245,0.0806,0.661,1,0.00566
1670644403,5,245,246,0,0,2,0.00283
1670644404,5,246,247,0,0,2,0.00283
1670644405,5,247,248,0,0,1,0.00424
1670644406,5,248,249,0,0,2,0.00283
1670644407,5,249,250,0.0806,0.661,2,0.00424
1670644408,5,250,251,0,0,2,0.00283
1670644409,5,251,252,0,0,2,0.00283
1670644410,5,252,253,0,0,2,0.00283
1670644411,5,253,254,0,0,1,0.00424
1670644412,5,254,255,0,0,2,0.00283
1670644413,5,255,256,0,0,1,0.00283
1670644414,5,256,257,0,0,1,0.00283
1670644415,5,257,258,0,0,1,0.00283
1670644416,5,258,259,0,0,1,0.00424
1670644417,5,259,260,0,0,2,0.00283
1670644418,5,260,261,0.0778,0.637,2,0.00283
1670644419,5,261,262,0,0,1,0.00424
1670644420,5,262,263,0,0,1,0.00424
1670644421,5,263,264,0,0,2,0.00283
1670644422,5,264,265,0,0,2,0.00283
1670644423,5,265,266,0,0,1,0.00283
1670644424,5,266,267,0,0,2,0.00283
1670644425,5,267,268,0.0792,0.649,2,0.00424
1670644426,5,268,269,0,0,2,0.00283
1670644427,5,269,270,0,0,2,0.00283
1670644428,5,270,271,0,0,1,0.00283
1670644429,5,271,272,0,0,2,0.00283
1670644430,5,272,273,0.0863,0.707,0,0.00707
1670644431,5,273,274,0,0,5,0.00283
1670644432,5,274,275,0,0,1,0.00424
1670644433,5,275,276,0,0,2,0.00424
1670644434,5,276,277,0,0,2,0.00283
1670644435,5,277,278,0,0,1,0.00424
1670644436,5,278,279,0.0792,0.649,2,0.00424
1670644437,5,279,280,0,0,2,0.00141
1670644438,5,280,281,0,0,1,0.00424
1670644439,5,281,282,0,0,2,0.00283
1670644440,5,282,283,0,0,2,0.00283
1670644441,5,283,284,0,0,2,0.00283
1670644442,5,284,285,0,0,2,0.00283
1670644443,5,285,286,0,0,1,0.00424
1670644444,5,286,287,0.0806,0.66,2,0.00283
1670644445,5,287,288,0,0,2,0.00283
1670644446,5,288,289,0,0,2,0.00283
1670644447,5,289,290,0,0,1,0.00283
1670644448,5,290,291,0,0,2,0.00283
1670644449,5,291,292,0,0,2,0.00283
1670644450,5,292,293,0,0,1,0.00283
1670644451,5,293,294,0,0,2,0.00283
1670644452,5,294,295,0.0792,0.649,1,0.00283
1670644453,5,295,296,0,0,2,0.00283
1670644454,5,296,297,0,0,1,0.00283
1670644455,5,297,298,0,0,1,0.00424
1670644456,5,298,299,0,0,1,0.00283
1670644457,5,299,300,0,0,1,0.00566
1670644458,5,300,301,0,0,2,0.00283
1670644459,5,301,302,0,0,1,0.00424
1670644460,5,302,303,0,0,2,0.00283
1670644461,5,303,304,0,0,1,0.00283
1670644462,5,304,305,0,0,2,0.00141
1670644463,5,305,306,0,0,1,0.00283
1670644464,5,306,307,0.0778,0.637,2,0.00283
1670644465,5,307,308,0,0,1,0.00283
1670644466,5,308,309,0,0,2,0.00283
1670644467,5,309,310,0,0,1,0.00283
1670644468,5,310,311,0,0,2,0.00283
1670644469,5,311,312,0,0,1,0.00283
