Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1670644311,4,153,154,0.0269,0.22
1670644312,4,154,155,0.00566,0.0463
1670644313,4,155,156,0.0099,0.0811
1670644314,4,156,157,0.00848,0.0695
1670644315,4,157,158,0.0113,0.0927
1670644316,4,158,159,0.0141,0.116
1670644317,4,159,160,0.00424,0.0347
1670644318,4,160,161,0.0212,0.174
1670644319,4,161,162,0.00848,0.0695
1670644320,4,162,163,0.00848,0.0695
1670644321,4,163,164,0.00424,0.0347
1670644322,4,164,165,0.0212,0.174
1670644323,4,165,166,0.00848,0.0695
1670644324,4,166,167,0.0113,0.0926
1670644325,4,167,168,0.0141,0.116
1670644326,4,168,169,0.0156,0.127
1670644327,4,169,170,0.00424,0.0347
1670644328,4,170,171,0.0156,0.127
1670644329,4,171,172,0.00707,0.0579
1670644330,4,172,173,0.00566,0.0463
1670644331,4,173,174,0.0099,0.0812
1670644332,4,174,175,0.00566,0.0463
1670644333,4,175,176,0.00848,0.0694
1670644334,4,176,177,0.017,0.139
1670644335,4,177,178,0.00848,0.0695
1670644336,4,178,179,0.0099,0.081
1670644337,4,179,180,0.0127,0.104
1670644338,4,180,181,0.0141,0.116
1670644339,4,181,182,0.00848,0.0695
1670644340,4,182,183,0.0099,0.0811
1670644341,4,183,184,0.0113,0.0927
1670644342,4,184,185,0.00848,0.0695
1670644343,4,185,186,0.00848,0.0695
1670644344,4,186,187,0.017,0.139
1670644345,4,187,188,0.0113,0.0927
1670644346,4,188,189,0.0141,0.116
1670644347,4,189,190,0.0099,0.0811
1670644348,4,190,191,0.00707,0.0579
1670644349,4,191,192,0.00707,0.0579
1670644350,4,192,193,0.0099,0.0811
1670644351,4,193,194,0.0113,0.0927
1670644352,4,194,195,0.0099,0.0811
1670644353,4,195,196,0.00848,0.0695
1670644354,4,196,197,0.0099,0.0811
1670644355,4,197,198,0.00424,0.0348
1670644356,4,198,199,0.0212,0.174
1670644357,4,199,200,0.00848,0.0695
1670644358,4,200,201,0.0141,0.116
1670644359,4,201,202,0.0127,0.104
1670644360,4,202,203,0.00848,0.0695
1670644361,4,203,204,0.0156,0.127
1670644362,4,204,205,0.00848,0.0696
1670644363,4,205,206,0.00848,0.0695
1670644364,4,206,207,0.00424,0.0347
1670644365,4,207,208,0.0156,0.127
1670644366,4,208,209,0.0283,0.232
1670644367,4,209,210,0.0156,0.127
1670644368,4,210,211,0.0113,0.0927
1670644369,4,211,212,0.00848,0.0695
1670644370,4,212,213.01,0.00848,0.0691
1670644371,4,213.01,214,0.00848,0.07
1670644372,4,214,215,0.00848,0.0695
1670644373,4,215,216,0.00848,0.0695
1670644374,4,216,217,0.0099,0.0811
1670644375,4,217,218,0.0099,0.0811
1670644376,4,218,219,0.0099,0.0811
1670644377,4,219,220,0.00707,0.0578
1670644378,4,220,221,0.0099,0.0812
1670644379,4,221,222,0.0156,0.127
1670644380,4,222,223,0.00848,0.0695
1670644381,4,223,224,0.00848,0.0695
1670644382,4,224,225,0.0099,0.0811
1670644383,4,225,226,0.0113,0.0927
1670644384,4,226,227,0.024,0.197
1670644385,4,227,228,0.024,0.197
1670644386,4,228,229,0.00566,0.0464
1670644387,4,229,230,0.00707,0.0579
1670644388,4,230,231,0.00566,0.0463
1670644389,4,231,232,0.00848,0.0695
1670644390,4,232,233,0.0113,0.0927
1670644391,4,233,234,0.0099,0.0811
1670644392,4,234,235,0.0099,0.0811
1670644393,4,235,236,0.0156,0.127
1670644394,4,236,237,0.00707,0.0579
1670644395,4,237,238,0.00707,0.0579
1670644396,4,238,239,0.00848,0.0695
1670644397,4,239,240,0.017,0.139
1670644398,4,240,241,0.0127,0.104
1670644399,4,241,242,0.0127,0.104
1670644400,4,242,243,0.0141,0.116
1670644401,4,243,244,0.017,0.139
1670644402,4,244,245,0.0226,0.185
1670644403,4,245,246,0.0156,0.127
1670644404,4,246,247,0.00848,0.0695
1670644405,4,247,248,0.0113,0.0927
1670644406,4,248,249,0.0141,0.116
1670644407,4,249,250,0.0156,0.127
1670644408,4,250,251,0.0099,0.0811
1670644409,4,251,252,0.0127,0.104
1670644410,4,252,253,0.00707,0.0579
1670644411,4,253,254,0.00707,0.0579
1670644412,4,254,255,0.00566,0.0463
1670644413,4,255,256,0.00424,0.0347
1670644414,4,256,257,0.00424,0.0348
1670644415,4,257,258,0.00424,0.0347
1670644416,4,258,259,0.0113,0.0927
1670644417,4,259,260,0.00848,0.0695
1670644418,4,260,261,0.00848,0.0695
1670644419,4,261,262,0.0113,0.0927
1670644420,4,262,263,0.0099,0.0811
1670644421,4,263,264,0.0141,0.116
1670644422,4,264,265,0.0141,0.116
1670644423,4,265,266,0.00707,0.0579
1670644424,4,266,267,0.00848,0.0695
1670644425,4,267,268,0.0156,0.127
1670644426,4,268,269,0.0141,0.116
1670644427,4,269,270,0.00848,0.0695
1670644428,4,270,271,0.0113,0.0926
1670644429,4,271,272,0.017,0.139
1670644430,4,272,273,0.0297,0.243
1670644431,4,273,274,0.0113,0.0927
1670644432,4,274,275,0.0113,0.0927
1670644433,4,275,276,0.0198,0.162
1670644434,4,276,277,0.00848,0.0695
1670644435,4,277,278,0.0113,0.0927
1670644436,4,278,279,0.0198,0.162
1670644437,4,279,280,0.00707,0.0579
1670644438,4,280,281,0.0127,0.104
1670644439,4,281,282,0.0099,0.0811
1670644440,4,282,283,0.00848,0.0695
1670644441,4,283,284,0.00848,0.0695
1670644442,4,284,285,0.00848,0.0695
1670644443,4,285,286,0.0113,0.0927
1670644444,4,286,287,0.0141,0.116
1670644445,4,287,288,0.017,0.139
1670644446,4,288,289,0.0113,0.0927
1670644447,4,289,290,0.00424,0.0347
1670644448,4,290,291,0.0141,0.116
1670644449,4,291,292,0.0113,0.0927
1670644450,4,292,293,0.00424,0.0347
1670644451,4,293,294,0.00848,0.0695
1670644452,4,294,295,0.00424,0.0347
1670644453,4,295,296,0.00848,0.0696
1670644454,4,296,297,0.00424,0.0347
1670644455,4,297,298,0.0113,0.0927
1670644456,4,298,299,0.00566,0.0463
1670644457,4,299,300,0.0141,0.116
1670644458,4,300,301,0.00141,0.0116
1670644459,4,301,302,0.00707,0.0579
1670644460,4,302,303,0.00566,0.0464
1670644461,4,303,304,0.00424,0.0347
1670644462,4,304,305,0.00707,0.0579
1670644463,4,305,306,0.00566,0.0463
1670644464,4,306,307,0.00848,0.0695
1670644465,4,307,308,0.00424,0.0347
1670644466,4,308,309,0.00848,0.0695
1670644467,4,309,310,0.00424,0.0347
1670644468,4,310,311,0.00848,0.0695
1670644469,4,311,312,0.00424,0.0348
1670644470,4,312,313,0.0141,0.116
1670644471,4,313,314,0.0099,0.0811
1670644472,4,314,315,0.00848,0.0695
1670644473,4,315,316,0.0127,0.104
1670644474,4,316,317,0.0141,0.116
1670644475,4,317,318,0.0113,0.0927
1670644476,4,318,319,0.0141,0.116
1670644477,4,319,320,0.00848,0.0695
1670644478,4,320,321,0.0099,0.0811
1670644479,4,321,322,0.0099,0.0811
1670644480,4,322,323,0.0226,0.185
1670644481,4,323,324,0.0113,0.0927
1670644482,4,324,325,0.00848,0.0695
