Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Time,Fix,Number of Satellites
1,-78.6961099,35.7272789,0.006,12.587,100,1670620754,6,10
2,-78.6961099,35.7272789,0.006,12.587,100,1670620755,6,10
3,-78.6961099,35.7272789,0.005,12.587,100,1670620756,6,10
4,-78.6961099,35.7272789,0.005,12.587,100,1670620757,6,10
5,-78.69611,35.7272789,0.005,12.587,100,1670620758,6,10
6,-78.69611,35.7272789,0.005,12.587,100,1670620759,6,10
7,-78.69611,35.7272789,0.005,12.587,100,1670620760,6,10
8,-78.69611,35.7272789,0.005,12.587,100,1670620761,6,10
9,-78.69611,35.7272789,0.006,12.489,99,1670620762,6,10
10,-78.69611,35.7272789,0.073,12.143,99,1670620763,6,10
11,-78.6961099,35.7272789,1.313,12.143,99,1670620764,6,10
12,-78.6961098,35.7272788,3.26,12.193,99,1670620765,6,10
13,-78.6961098,35.7272789,5.445,12.193,99,1670620766,6,10
14,-78.6961098,35.7272788,7.742,12.193,99,1670620767,6,10
15,-78.6961098,35.7272788,10.112,12.193,98,1670620768,6,10
16,-78.6961097,35.7272788,12.524,12.193,98,1670620769,6,10
17,-78.6961097,35.7272788,14.963,12.193,98,1670620770,6,10
18,-78.6961097,35.7272787,17.422,12.193,98,1670620771,6,10
19,-78.6961097,35.7272788,19.895,12.193,98,1670620772,6,10
20,-78.6961098,35.7272787,22.377,12.193,97,1670620773,6,10
21,-78.6961097,35.7272787,24.862,12.193,97,1670620774,6,10
22,-78.6961098,35.7272787,27.352,12.193,97,1670620775,6,10
23,-78.6961097,35.7272787,29.843,12.193,97,1670620776,6,10
24,-78.6961097,35.7272787,32.335,12.193,97,1670620777,6,10
25,-78.6961096,35.7272786,34.826,12.193,96,1670620778,6,10
26,-78.6961096,35.7272786,37.318,12.193,96,1670620779,6,10
27,-78.6961095,35.7272786,39.811,12.193,96,1670620780,6,10
28,-78.6961094,35.7272786,42.305,12.193,96,1670620781,6,10
29,-78.6961095,35.7272786,44.802,12.193,96,1670620782,6,10
30,-78.6961095,35.7272786,47.223,12.193,95,1670620783,6,10
31,-78.6961095,35.7272786,48.98,12.242,95,1670620784,6,10
32,-78.6961094,35.7272786,49.568,12.242,95,1670620785,6,10
33,-78.6961094,35.7272786,49.853,12.242,95,1670620786,6,10
34,-78.6961094,35.7272786,49.921,12.242,95,1670620787,6,10
35,-78.6961094,35.7272785,49.946,12.242,95,1670620788,6,10
36,-78.6961094,35.7272785,49.96,12.242,94,1670620789,6,10
37,-78.6961159,35.7272781,49.967,12.242,94,1670620790,6,10
38,-78.6961309,35.727277,49.974,12.242,94,1670620791,6,10
39,-78.6961486,35.7272758,49.976,12.242,94,1670620792,6,10
40,-78.6961808,35.7272735,49.982,12.193,94,1670620793,6,10
41,-78.69622,35.7272706,49.986,12.193,93,1670620795,6,10
42,-78.6962639,35.7272674,49.991,12.193,93,1670620796,6,10
43,-78.6963109,35.7272639,49.994,12.193,93,1670620797,6,10
44,-78.69636,35.7272602,49.996,12.193,93,1670620798,6,10
45,-78.69641,35.7272565,49.998,12.193,93,1670620799,6,10
46,-78.696458,35.7272529,50.002,12.242,93,1670620800,6,10
47,-78.6964993,35.7272499,50.003,12.242,92,1670620801,6,10
48,-78.6965292,35.7272479,50.003,12.242,92,1670620802,6,10
49,-78.6965442,35.7272454,49.999,12.242,92,1670620803,6,10
50,-78.6965464,35.7272374,49.992,12.242,92,1670620804,6,10
51,-78.6965441,35.7272229,49.987,12.242,92,1670620805,6,10
52,-78.6965414,35.7272005,49.983,12.193,92,1670620806,6,10
53,-78.6965392,35.7271712,49.985,12.193,91,1670620807,6,10
54,-78.6965374,35.7271371,49.987,12.193,91,1670620808,6,10
55,-78.6965356,35.7270999,49.989,12.193,91,1670620809,6,10
56,-78.6965337,35.7270607,49.992,12.193,91,1670620810,6,10
57,-78.6965317,35.7270201,49.992,12.193,91,1670620811,6,10
58,-78.6965296,35.7269785,49.993,12.193,90,1670620812,6,10
59,-78.6965275,35.7269362,49.996,12.193,90,1670620813,6,10
60,-78.6965254,35.7268932,49.997,12.193,90,1670620814,6,10
61,-78.6965232,35.7268498,49.997,12.193,90,1670620815,6,10
62,-78.6965211,35.7268061,49.997,12.193,90,1670620816,6,10
63,-78.696519,35.7267621,49.999,12.193,90,1670620817,6,10
64,-78.6965169,35.7267179,49.998,12.193,89,1670620818,6,10
65,-78.6965148,35.7266735,49.996,12.193,89,1670620819,6,10
66,-78.6965127,35.726629,49.994,12.193,89,1670620820,6,10
67,-78.6965106,35.7265844,49.994,12.193,89,1670620821,6,10
68,-78.6965085,35.7265397,49.992,12.193,89,1670620822,6,10
69,-78.6965065,35.7264949,49.992,12.193,88,1670620823,6,10
70,-78.6965045,35.7264502,49.992,12.193,88,1670620824,6,10
71,-78.6965024,35.7264054,49.993,12.193,88,1670620825,6,10
72,-78.6965003,35.7263606,49.994,12.193,88,1670620826,6,10
73,-78.6964983,35.7263158,49.996,12.193,88,1670620827,6,10
74,-78.6964962,35.7262709,49.998,12.193,88,1670620828,6,10
75,-78.6964941,35.726226,49.998,12.193,87,1670620829,6,10
76,-78.6964919,35.7261812,49.997,12.193,87,1670620830,6,10
