Time,Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Fix,Number of Satellites,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%],eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670620754,1,-78.6961099,35.7272789,0.006,12.587,100,6,10,0,1,-84,84,-0.3,0,81,0,0,0,0,23,17,7.3,0,46,15,2,0,0,0,0,0,89.9,0,40,23,8.4,48,0,0,0
1670620755,2,-78.6961099,35.7272789,0.006,12.587,100,6,10,0,1,-84,84,-0.368,0,81,0,0,0,0,22,33,8.4,0,46,15,2,0,0,0,0,0,90.6,0,40,23,8.3,53,0,0,0
1670620756,3,-78.6961099,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.353,0,81,0,0,0,0,23,17,9.7,0,46,15,0,0,0,0,0,0,89.5,0,40,23,8.6,50,0,0,0
1670620757,4,-78.6961099,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.354,0,81,0,0,0,0,23,33,7.3,0,46,15,2,0,0,0,0,0,89.6,0,40,23,7.5,43,0,0,0
1670620758,5,-78.69611,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.333,0,81,0,0,0,0,22,17,8.1,0,46,15,2,0,0,0,0,0,90.6,0,40,22,8.6,56,0,0,0
1670620759,6,-78.69611,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.34,0,81,0,0,0,0,23,3.9,7.5,0,46,15,0,0,0,0,0,0,89.7,0,40,23,7.6,43,0,0,0
1670620760,7,-78.69611,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.299,0,81,0,0,0,0,23,5.7,8.5,0,46,15,2,0,0,0,0,0,90,0,40,23,8,48,0,0,0
1670620761,8,-78.69611,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.377,0,81,0,0,0,0,23,17,8.1,0,46,15,2,0,0,0,0,0,90.1,0,40,23,8.1,46,0,0,0
1670620762,9,-78.69611,35.7272789,0.006,12.489,99,6,10,0,1,-84,84,-0.326,0,81,0,0,0,0,22,12,6.7,0,46,15,2,0,0,0,0,0,92.2,0,40,22,6.9,57,0,0,261
1670620763,10,-78.69611,35.7272789,0.073,12.143,99,6,10,0,1,-84,84,-0.378,0,81,0,0,0,0,22,33,5.6,0,46,15,0,0,0,0,0,0,90.8,0,40,22,6.9,43,0,0,0
1670620764,11,-78.6961099,35.7272789,1.313,12.143,99,6,10,0,1,-84,84,-0.277,0,81,0,0,0,0,22,13,7.2,0,46,15,2,0,0,0,0,0,94,0,40,22,5.9,69,0,0,0
1670620765,12,-78.6961098,35.7272788,3.26,12.193,99,6,10,0,1,-84,84,-0.366,0,81,0,0,0,0,22,0,7.2,0,46,15,2,0,0,0,0,0,90.6,0,40,23,7.8,51,0,0,0
1670620766,13,-78.6961098,35.7272789,5.445,12.193,99,6,10,0,1,-84,84,-0.387,0,81,0,0,0,0,22,33,6.6,0,46,15,0,0,0,0,0,0,92.2,0,40,21,7.1,54,0,0,0
1670620767,14,-78.6961098,35.7272788,7.742,12.193,99,6,10,0,1,-84,84,-0.373,0,81,0,0,0,0,21,16,7.4,0,46,15,2,0,0,0,0,0,90.8,0,40,23,7.9,53,0,0,0
1670620768,15,-78.6961098,35.7272788,10.112,12.193,98,6,10,0,1,-84,84,-0.313,0,81,0,0,0,0,23,5.7,8.4,0,46,15,2,0,0,0,0,0,89.8,0,40,23,7,41,0,0,0
1670620769,16,-78.6961097,35.7272788,12.524,12.193,98,6,10,0,1,-84,84,-0.381,0,81,0,0,0,0,23,10,8.1,0,46,15,0,0,0,0,0,0,90.1,95,40,22,9.1,52,0,0,0
1670620770,17,-78.6961097,35.7272788,14.963,12.193,98,6,10,0,1,-84,84,-0.319,0,81,0,0,0,0,22,0,7.2,0,46,15,2,0,0,0,0,0,91.4,0,40,22,6.2,46,0,0,0
1670620771,18,-78.6961097,35.7272787,17.422,12.193,98,6,10,0,1,-84,84,-0.382,0,81,0,0,0,0,22,17,7.4,0,46,15,2,0,0,0,0,0,90.5,0,40,22,7.5,47,0,0,10.1
1670620772,19,-78.6961097,35.7272788,19.895,12.193,98,6,10,0,1,-84,84,-0.324,0,81,0,0,0,0,22,9.9,6.3,0,46,15,2,0,0,0,0,0,90.9,0,40,22,8,51,0,0,0
1670620773,20,-78.6961098,35.7272787,22.377,12.193,97,6,10,0,1,-84,84,-0.325,0,81,0,0,0,0,23,33,7.7,0,46,15,0,0,0,0,0,0,90.9,0,40,23,7.3,50,0,0,0
1670620774,21,-78.6961097,35.7272787,24.862,12.193,97,6,10,0,1,-84,84,-0.336,0,81,0,0,0,0,22,16,8.2,0,46,15,2,0,0,0,0,0,90.9,0,40,22,8.1,52,0,0,0
1670620775,22,-78.6961098,35.7272787,27.352,12.193,97,6,10,0,1,-84,84,-0.356,0,81,0,0,0,0,22,0,7.7,0,46,15,2,0,0,0,0,0,91.8,0,40,22,6.4,53,0,0,0
1670620776,23,-78.6961097,35.7272787,29.843,12.193,97,6,10,0,1,-84,84,-0.38,0,81,0,0,0,0,22,13,7.9,0,46,15,0,0,0,0,0,0,90.5,0,40,23,9.3,57,0,0,0
1670620777,24,-78.6961097,35.7272787,32.335,12.193,97,6,10,0,1,-84,84,-0.298,0,81,0,0,0,0,22,0,8.4,0,46,15,2,0,0,0,0,0,92.2,0,40,22,6.2,50,0,0,0
1670620778,25,-78.6961096,35.7272786,34.826,12.193,96,6,10,0,1,-84,84,-0.289,0,81,0,0,0,0,21,33,5.7,0,46,15,2,0,0,0,0,0,90.5,0,40,22,7.3,46,0,0,0
1670620779,26,-78.6961096,35.7272786,37.318,12.193,96,6,10,0,1,-84,84,-0.361,0,81,0,0,0,0,22,17,7.5,0,46,15,2,0,0,0,0,0,90.7,0,40,22,7.4,46,0,0,0
1670620780,27,-78.6961095,35.7272786,39.811,12.193,96,6,10,0,1,-84,84,-0.397,0,81,0,0,0,0,23,16,7.6,0,46,15,0,0,0,0,0,0,89.8,0,40,23,8,46,0,0,0
