Time,eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670620730,46,15,0,2,0.013,12,0,0,96.9,0,40,15,0.107,7,0,0,0
1670620731,46,15,2,0,0.0022,1,0,0,0,0,0,0,0.017,1,0,0,0
1670620732,46,15,2,0,0.0034,1,0,0,99.9,0,40,14,0.019,3,0,0,0
1670620733,46,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670620734,46,15,2,11,0.02,5,0,0,99.9,0,40,16,0.115,14,0,0,0
1670620735,46,15,2,0,0.0024,1,0,0,92.4,0,40,22,6.8,52,0,0,0
1670620736,46,15,0,0,0,0,0,0,92.1,0,40,22,6.4,45,0,0,0
1670620737,46,15,2,0,0,0,0,0,89.8,0,40,23,9.9,52,0,0,0
1670620738,46,15,2,0,0,0,0,0,89.8,0,40,23,7.1,42,0,0,0
1670620739,46,15,0,0,0,0,0,0,91,0,40,23,11,47,0,0,2.91
1670620740,46,15,0,0,0,0,0,0,92.4,94.9,40,22,13,41,0,0,35
1670620741,46,15,2,0,0,0,0,0,90.6,0,40,22,9.8,55,0,0,0
1670620742,46,15,2,0,0,0,0,0,90.8,0,40,23,7.8,52,0,0,0
1670620743,46,15,0,0,0,0,0,0,91.6,0,40,22,6.8,45,0,0,0
1670620744,46,15,2,0,0,0,0,0,90,0,40,23,7.9,47,0,0,0
1670620745,46,15,2,0,0,0,0,0,90.3,0,40,23,8.2,49,0,0,446
1670620746,46,15,2,0,0,0,0,0,90.6,0,40,23,7.1,44,0,0,0
1670620747,46,15,0,0,0,0,0,0,89.9,0,40,23,8.5,45,0,0,0
1670620748,46,15,2,0,0,0,0,0,90,0,40,23,8.6,49,0,0,0
1670620749,46,15,2,0,0,0,0,0,90.8,0,40,23,6.9,46,0,0,0
1670620750,46,15,0,0,0,0,0,0,91.9,0,40,22,8.4,48,0,0,0
1670620751,46,15,2,0,0,0,0,0,90.4,0,40,22,9,42,0,0,0
1670620752,46,15,0,0,0,0,0,0,90.2,0,40,23,7.8,47,0,0,0
