[2022-12-01 12:23:41.490636] Connecting to host 172.16.0.1, port 5201
[2022-12-01 12:23:41.724965] [  4] local 172.16.0.2 port 33322 connected to 172.16.0.1 port 5201
[2022-12-01 12:23:42.791829] [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[2022-12-01 12:24:31.793172] [  4]  49.00-50.00  sec   700 KBytes  5.74 Mbits/sec    0    334 KBytes       
[2022-12-01 12:24:32.792606] [  4]  50.00-51.00  sec   827 KBytes  6.78 Mbits/sec    0    335 KBytes       
[2022-12-01 12:24:33.792661] [  4]  51.00-52.00  sec   764 KBytes  6.25 Mbits/sec    0    335 KBytes       
[2022-12-01 12:24:34.792317] [  4]  52.00-53.00  sec   827 KBytes  6.78 Mbits/sec    0    338 KBytes       
[2022-12-01 12:24:35.792388] [  4]  53.00-54.00  sec   827 KBytes  6.78 Mbits/sec    0    346 KBytes       
[2022-12-01 12:24:36.794580] [  4]  54.00-55.00  sec   827 KBytes  6.76 Mbits/sec    0    362 KBytes       
[2022-12-01 12:24:37.792365] [  4]  55.00-56.00  sec   764 KBytes  6.27 Mbits/sec    0    390 KBytes       
[2022-12-01 12:24:38.792300] [  4]  56.00-57.00  sec   255 KBytes  2.09 Mbits/sec   13    281 KBytes       
[2022-12-01 12:24:39.791825] [  4]  57.00-58.00  sec  1.37 MBytes  11.5 Mbits/sec    0    308 KBytes       
[2022-12-01 12:24:40.792457] [  4]  58.00-59.00  sec   764 KBytes  6.25 Mbits/sec    0    349 KBytes       
[2022-12-01 12:24:41.793936] [  4]  59.00-60.00  sec   827 KBytes  6.77 Mbits/sec    0    378 KBytes       
[2022-12-01 12:24:42.793438] [  4]  60.00-61.00  sec   764 KBytes  6.26 Mbits/sec    1    390 KBytes       
[2022-12-01 12:24:43.791659] [  4]  61.00-62.00  sec   891 KBytes  7.30 Mbits/sec    5    204 KBytes       
[2022-12-01 12:24:44.792449] [  4]  62.00-63.00  sec   827 KBytes  6.77 Mbits/sec    0    211 KBytes       
[2022-12-01 12:24:45.792407] [  4]  63.00-64.00  sec   827 KBytes  6.78 Mbits/sec    0    225 KBytes       
[2022-12-01 12:24:46.792519] [  4]  64.00-65.00  sec   764 KBytes  6.25 Mbits/sec    0    232 KBytes       
[2022-12-01 12:24:47.793292] [  4]  65.00-66.00  sec   827 KBytes  6.78 Mbits/sec    0    233 KBytes       
[2022-12-01 12:24:48.792751] [  4]  66.00-67.00  sec   827 KBytes  6.77 Mbits/sec    0    233 KBytes       
[2022-12-01 12:24:49.792375] [  4]  67.00-68.00  sec   827 KBytes  6.78 Mbits/sec    0    236 KBytes       
[2022-12-01 12:24:50.792569] [  4]  68.00-69.00  sec   764 KBytes  6.25 Mbits/sec    0    243 KBytes       
[2022-12-01 12:24:51.793303] [  4]  69.00-70.00  sec   827 KBytes  6.77 Mbits/sec    0    257 KBytes       
[2022-12-01 12:24:52.792449] [  4]  70.00-71.00  sec   827 KBytes  6.78 Mbits/sec    0    284 KBytes       
[2022-12-01 12:24:53.792588] [  4]  71.00-72.00  sec   764 KBytes  6.25 Mbits/sec    0    325 KBytes       
[2022-12-01 12:24:54.792922] [  4]  72.00-73.00  sec   764 KBytes  6.25 Mbits/sec    0    382 KBytes       
[2022-12-01 12:24:55.792312] [  4]  73.00-74.00  sec   382 KBytes  3.13 Mbits/sec   21    294 KBytes       
[2022-12-01 12:24:56.792486] [  4]  74.00-75.00  sec  70.7 KBytes   579 Kbits/sec    4   1.41 KBytes       
[2022-12-01 12:24:57.792799] [  4]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2022-12-01 12:24:58.792891] [  4]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2022-12-01 12:24:59.792651] [  4]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2022-12-01 12:25:00.791677] [  4]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
