Time,Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Fix,Number of Satellites,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%],eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670624078,1,-78.6961099,35.7272789,0.006,12.587,100,6,10,0,1,-84,84,-0.259,0,81,0,0,0,0,22,0,7.7,0,46,15,2,0,0,0,0,0,91.8,0,40,22,6.5,47,0,0,20.1
1670624079,2,-78.6961099,35.7272789,0.006,12.587,100,6,10,0,1,-84,84,-0.359,0,81,0,0,0,0,22,0,6.8,0,46,15,2,0,0,0,0,0,89.8,0,40,23,7.9,45,0,0,446
1670624080,3,-78.6961099,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.335,0,81,0,0,0,0,22,16,7.3,0,46,15,0,0,0,0,0,0,89.8,0,40,23,8.6,50,0,0,0
1670624081,4,-78.6961099,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.321,0,81,0,0,0,0,22,0,7.9,0,46,15,2,0,0,0,0,0,90.8,0,40,22,6.4,41,0,0,0
1670624082,5,-78.6961099,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.364,0,81,0,0,0,0,23,0,7.8,0,46,15,2,0,0,0,0,0,89.6,0,40,23,8.8,49,0,0,0
1670624083,6,-78.69611,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.364,0,81,0,0,0,0,22,12,7,0,46,15,0,0,0,0,0,0,91.6,0,40,22,7.1,49,0,0,446
1670624084,7,-78.69611,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.409,0,81,0,0,0,0,22,25,7.1,0,46,15,2,0,0,0,0,0,89,0,40,23,8.1,42,0,0,0
1670624085,8,-78.69611,35.7272789,0.005,12.587,100,6,10,0,1,-84,84,-0.394,0,81,0,0,0,0,22,16,6.8,0,46,15,2,0,0,0,0,0,91.8,0,40,22,7.3,56,0,0,0
1670624086,9,-78.69611,35.7272789,0.005,12.489,99,6,10,0,1,-84,84,-0.43,0,81,0,0,0,0,23,25,8.7,0,46,15,2,0,0,0,0,0,90.5,0,40,22,8.4,49,0,0,0
1670624087,10,-78.69611,35.7272789,0.053,12.143,99,6,10,0,1,-84,84,-0.315,0,81,0,0,0,0,22,0,7.7,0,46,15,0,0,0,0,0,0,90.8,0,40,23,7.9,52,0,0,0
1670624088,11,-78.6961099,35.7272789,1.195,12.143,99,6,10,0,1,-84,84,-0.339,0,81,0,0,0,0,23,0,8.4,0,46,15,2,0,0,0,0,0,90.7,0,40,22,8.1,52,0,0,0
1670624089,12,-78.6961097,35.7272788,3.11,12.193,99,6,10,0,1,-84,84,-0.361,0,81,0,0,0,0,22,8.3,7.6,0,46,15,2,0,0,0,0,0,91.3,0,40,22,7,50,0,0,0
1670624090,13,-78.6961098,35.7272788,5.284,12.193,99,6,10,0,1,-84,84,-0.357,0,81,0,0,0,0,22,0,5.8,0,46,15,0,0,0,0,0,0,91.1,0,40,22,7.1,50,0,0,0
1670624091,14,-78.6961099,35.7272789,7.576,12.193,99,6,10,0,1,-84,84,-0.331,0,81,0,0,0,0,23,8.3,9.2,0,46,15,2,0,0,0,0,0,91.1,0,40,23,8.5,54,0,0,0
