Time,eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670624061,46,15,0,3,0.015,11,0,0,95.9,0,40,15,0.123,7,0,0,0
1670624062,46,15,2,10,0.006,2,0,0,99.9,0,40,14,0.039,4,0,0,0
1670624063,46,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670624064,46,15,2,11,0.015,4,0,0,99.9,0,40,15,0.093,11,0,0,0
1670624065,46,15,2,7,0.0047,2,0,0,92.1,0,40,21,7.1,43,0,0,0
1670624066,46,15,0,0,0,0,0,0,89.8,0,40,23,8.6,44,0,0,0
1670624067,46,15,2,0,0,0,0,0,90.9,-99.9,40,22,11,35,0,0,0
1670624068,46,15,0,0,0,0,0,0,90.6,95,40,22,14,40,0,0,254
1670624069,46,15,2,0,0,0,0,0,91.1,0,40,22,9,51,0,0,0
1670624070,46,15,0,0,0,0,0,0,89.7,0,40,23,8.3,47,0,0,0
1670624071,46,15,2,0,0,0,0,0,90.3,0,40,22,8.2,48,0,0,0
1670624072,46,15,2,0,0,0,0,0,90.4,0,40,22,7.7,43,0,0,20.1
1670624073,46,15,0,0,0,0,0,0,90,0,40,22,8.2,47,0,0,0
1670624074,46,15,2,0,0,0,0,0,90.4,0,40,23,8.6,50,0,0,0
1670624075,46,15,2,0,0,0,0,0,90.5,0,40,22,7.8,49,0,0,0
1670624076,46,15,2,0,0,0,0,0,90,0,40,22,7.2,41,0,0,0
1670624077,46,15,0,0,0,0,0,0,90.2,0,40,23,8.7,51,0,0,0
1670624078,46,15,2,0,0,0,0,0,91.8,0,40,22,6.5,47,0,0,20.1
1670624079,46,15,2,0,0,0,0,0,89.8,0,40,23,7.9,45,0,0,446
1670624080,46,15,0,0,0,0,0,0,89.8,0,40,23,8.6,50,0,0,0
1670624081,46,15,2,0,0,0,0,0,90.8,0,40,22,6.4,41,0,0,0
1670624082,46,15,2,0,0,0,0,0,89.6,0,40,23,8.8,49,0,0,0
1670624083,46,15,0,0,0,0,0,0,91.6,0,40,22,7.1,49,0,0,446
1670624084,46,15,2,0,0,0,0,0,89,0,40,23,8.1,42,0,0,0
1670624085,46,15,2,0,0,0,0,0,91.8,0,40,22,7.3,56,0,0,0
1670624086,46,15,2,0,0,0,0,0,90.5,0,40,22,8.4,49,0,0,0
1670624087,46,15,0,0,0,0,0,0,90.8,0,40,23,7.9,52,0,0,0
1670624088,46,15,2,0,0,0,0,0,90.7,0,40,22,8.1,52,0,0,0
1670624089,46,15,2,0,0,0,0,0,91.3,0,40,22,7,50,0,0,0
1670624090,46,15,0,0,0,0,0,0,91.1,0,40,22,7.1,50,0,0,0
1670624091,46,15,2,0,0,0,0,0,91.1,0,40,23,8.5,54,0,0,0
1670624092,46,15,2,0,0,0,0,0,90.5,0,40,22,7.4,46,0,0,0
1670624093,46,15,0,0,0,0,0,0,90.3,0,40,23,8.1,50,0,0,0
1670624094,46,15,2,0,0,0,0,0,90.6,0,40,23,7.6,48,0,0,0
1670624095,46,15,2,0,0,0,0,0,90.7,0,40,22,7.8,51,0,0,0
1670624096,46,15,2,0,0,0,0,0,91,0,40,23,7.8,53,0,0,0
1670624097,46,15,0,0,0,0,0,0,92,0,40,22,7.9,61,0,0,0
1670624098,46,15,2,0,0,0,0,0,90.1,0,40,23,9.2,53,0,0,0
1670624099,46,15,2,0,0,0,0,0,90.1,0,40,23,7.3,47,0,0,0
1670624100,46,15,0,0,0,0,0,0,90.9,0,40,22,8.7,56,0,0,0
1670624101,46,15,2,0,0,0,0,0,91.2,0,40,22,7.2,50,0,0,0
1670624102,46,15,2,0,0,0,0,0,91.1,0,40,22,7.2,50,0,0,2.9
1670624103,46,15,2,0,0,0,0,0,92.4,0,40,22,7,59,0,0,0
1670624104,46,15,0,0,0,0,0,0,91.3,0,40,22,8,54,0,0,245
1670624105,46,15,2,0,0,0,0,0,92.5,0,40,22,6.5,58,0,0,0
1670624106,46,15,2,0,0,0,0,0,91.5,0,40,22,6.7,49,0,0,0
1670624107,46,15,0,0,0,0,0,0,91.1,0,40,22,7.9,55,0,0,0
1670624108,46,15,2,0,0,0,0,0,90.2,-99.9,40,23,8.5,54,0,0,0
1670624109,46,15,2,0,0,0,0,0,91,0,40,22,7.7,55,0,0,0
1670624110,46,15,0,0,0,0,0,0,90.4,0,40,23,8.9,44,0,0,1.62
1670624111,46,15,2,0,0,0,0,0,89.8,-99.9,40,23,9.8,46,0,0,0
1670624112,46,15,2,0,0,0,0,0,91.1,0,40,22,8.3,49,0,0,0
1670624113,46,15,0,0,0,0,0,0,90.2,0,40,22,6.9,39,0,0,190
1670624114,46,15,2,0,0,0,0,0,90.3,0,40,23,8,50,0,0,0
1670624115,46,15,2,0,0,0,0,0,90.7,0,40,22,8.7,55,0,0,0
1670624116,46,15,0,0,0,0,0,0,91.1,0,40,22,5.6,36,0,0,0
1670624117,46,15,2,0,0,0,0,0,90.1,0,40,22,7.7,45,0,0,190
1670624118,46,15,2,0,0,0,0,0,89.8,0,40,23,8,47,0,0,0
1670624119,46,15,0,0,0,0,0,0,90.8,0,40,22,7.8,49,0,0,0
1670624120,46,15,2,0,0,0,0,0,90.3,0,40,23,8.5,50,0,0,0
1670624121,46,15,2,0,0,0,0,0,90.6,0,40,22,6.1,39,0,0,0
1670624122,46,15,2,0,0,0,0,0,89.7,0,40,23,8.4,46,0,0,0
1670624123,46,15,0,0,0,0,0,0,89.6,0,40,23,8.2,46,0,0,0
1670624124,46,15,2,0,0,0,0,0,89.9,0,40,23,8.5,48,0,0,0
1670624125,46,15,2,0,0,0,0,0,92,0,40,22,7.5,57,0,0,0
1670624126,46,15,0,0,0,0,0,0,89.7,0,40,23,8.1,47,0,0,0
1670624127,46,15,2,0,0,0,0,0,90.6,-99.9,40,22,7,44,0,0,0
1670624128,46,15,2,0,0,0,0,0,89.6,0,40,23,8.6,49,0,0,0
1670624129,46,15,0,0,0,0,0,0,91.4,0,40,22,7,52,0,0,0
1670624130,46,15,2,0,0,0,0,0,91.4,0,40,22,7.9,55,0,0,0
1670624131,46,15,2,0,0,0,0,0,90.1,0,40,23,7.8,48,0,0,2.41
1670624132,46,15,2,0,0,0,0,0,90.5,0,40,22,6.8,44,0,0,0
1670624133,46,15,0,0,0,0,0,0,90.2,0,40,23,9.4,55,0,0,0
1670624134,46,15,2,0,0,0,0,0,90.2,0,40,22,7.9,47,0,0,0
1670624135,46,15,2,0,0,0,0,0,91.1,0,40,22,7.7,51,0,0,0
1670624136,46,15,0,0,0,0,0,0,90.1,0,40,23,8.5,50,0,0,0
1670624137,46,15,2,0,0,0,0,0,90.3,0,40,23,8,50,0,0,189
1670624138,46,15,2,0,0,0,0,0,90.2,0,40,23,7.8,47,0,0,0
1670624139,46,15,2,0,0,0,0,0,90.8,0,40,23,8.7,55,0,0,0
1670624140,46,15,0,0,0,0,0,0,90.4,0,40,23,8.8,53,0,0,0
1670624141,46,15,2,0,0,0,0,0,91,0,40,22,8.5,55,0,0,189
1670624142,46,15,2,0,0,0,0,0,90.9,0,40,23,7.5,48,0,0,0
1670624143,46,15,0,0,0,0,0,0,90.2,0,40,23,7.5,46,0,0,0
1670624144,46,15,2,0,0,0,0,0,90.6,0,40,23,8.2,53,0,0,0
1670624145,46,15,2,0,0,0,0,0,90.9,0,40,22,7.7,53,0,0,0
1670624146,46,15,0,0,0,0,0,0,91.3,0,40,22,8.2,53,0,0,0
1670624147,46,15,2,0,0,0,0,0,90.5,0,40,22,7.6,48,0,0,0
1670624148,46,15,2,0,0,0,0,0,92.4,0,40,22,5.5,45,0,0,0
1670624149,46,15,2,0,0,0,0,0,89.7,0,40,23,9.3,53,0,0,0
1670624150,46,15,0,0,0,0,0,0,91.5,0,40,22,7.5,54,0,0,0
1670624151,46,15,2,0,0,0,0,0,90.9,0,40,22,6,39,0,0,0
1670624152,46,15,2,0,0,0,0,0,90.1,0,40,23,8.2,48,0,0,0
1670624153,46,15,0,0,0,0,0,0,90.9,0,40,22,6.7,43,0,0,45
1670624154,46,15,2,0,0,0,0,0,91.1,0,40,23,8.1,55,0,0,0
1670624155,46,15,2,0,0,0,0,0,89.7,0,40,23,8.2,48,0,0,193
1670624156,46,15,0,0,0,0,0,0,90.1,0,40,23,8.9,53,0,0,0
1670624157,46,15,2,0,0,0,0,0,90.4,0,40,23,6.2,38,0,0,0
1670624158,46,15,2,0,0,0,0,0,90,0,40,23,8,49,0,0,0
1670624159,46,15,2,0,0,0,0,0,91.1,0,40,22,7.8,53,0,0,0
1670624160,46,15,0,0,0,0,0,0,90.5,0,40,22,7.3,47,0,0,0
1670624161,46,15,2,0,0,0,0,0,91.3,95.1,40,22,7.4,50,0,0,0
1670624162,46,15,2,0,0,0,0,0,91.5,0,40,22,6.6,47,0,0,446
1670624163,46,15,0,0,0,0,0,0,89.6,0,40,23,8.4,47,0,0,0
1670624164,46,15,2,0,0,0,0,0,89.4,0,40,23,8.1,42,0,0,0
1670624165,46,15,2,0,0,0,0,0,90.2,0,40,22,7.7,47,0,0,0
1670624166,46,15,2,0,0,0,0,0,89.8,0,40,23,6.7,39,0,0,7.36
1670624167,46,15,0,0,0,0,0,0,90,0,40,23,9.2,52,0,0,0
1670624168,46,15,2,0,0,0,0,0,90.6,0,40,22,7.7,47,0,0,0
1670624169,46,15,2,0,0,0,0,0,90.2,0,40,23,7.9,47,0,0,0
1670624170,46,15,0,0,0,0,0,0,90.9,0,40,22,10,50,0,0,0
1670624171,46,15,2,0,0,0,0,0,91.3,0,40,22,10,54,0,0,0
1670624172,46,15,0,0,0,0,0,0,92.8,0,40,22,7.6,54,0,0,0
1670624173,46,15,2,0,0,0,0,0,90.2,0,40,22,7.5,46,0,0,0
1670624174,46,15,2,0,0,0,0,0,92.5,0,40,22,7.2,61,0,0,0
1670624175,46,15,0,0,0,0,0,0,91.1,0,40,22,7,50,0,0,0
1670624176,46,15,2,0,0,0,0,0,90.8,0,40,22,7.3,49,0,0,0
1670624177,46,15,2,0,0,0,0,0,89.9,0,40,23,8.8,48,0,0,0
1670624178,46,15,2,0,0,0,0,0,90.4,0,40,23,7.7,47,0,0,0
1670624179,46,15,0,0,0,0,0,0,89.9,0,40,23,8.4,49,0,0,0
1670624180,46,15,2,0,0,0,0,0,90.8,0,40,22,7.1,50,0,0,0
1670624181,46,15,2,0,0,0,0,0,90.8,0,40,22,8.2,55,0,0,0
1670624182,46,15,0,0,0,0,0,0,89.9,0,40,23,9.1,51,0,0,0
1670624183,46,15,2,0,0,0,0,0,90.7,0,40,22,7.8,51,0,0,189
1670624184,46,15,2,0,0,0,0,0,90.6,0,40,22,7.5,48,0,0,0
1670624185,46,15,0,0,0,0,0,0,90.2,0,40,22,9.6,54,0,0,0
1670624186,46,15,2,0,0,0,0,0,89.5,0,40,23,8.7,48,0,0,0
1670624187,46,15,2,0,0,0,0,0,90.5,0,40,23,6.7,40,0,0,20.1
1670624188,46,15,2,0,0,0,0,0,89.9,0,40,23,9.1,50,0,0,7.36
1670624189,46,15,0,0,0,0,0,0,89.9,0,40,23,8,46,0,0,0
