Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1670624061,0,1,-84,84,-0.384,2,81,1,0.0073,0,0,22,0,0.048,0
1670624062,0,1,-84,84,-0.326,5,81,1,0.012,0,0,18,0,0.09,0
1670624063,0,1,-84,84,-0.446,0,81,0,0,0,0,0,0,0,0
1670624064,0,1,-84,84,-0.404,10,81,1,0.008,0,0,16,0,0.029,0
1670624065,0,1,-84,84,-0.332,8,81,1,0.012,0,0,19,35,3.1,0
1670624066,0,1,-84,84,-0.465,0,81,0,0,0,0,23,8.3,10,0
1670624067,0,1,-84,84,-0.35,0,81,0,0,0,0,22,3.6,9.2,0
1670624068,0,1,-84,84,-0.283,0,81,0,0,0,0,23,16,14,0
1670624069,0,1,-84,84,-0.312,0,81,0,0,0,0,22,8.3,10,0
1670624070,0,1,-84,84,-0.307,0,81,0,0,0,0,23,8.3,8.2,0
1670624071,0,1,-84,84,-0.351,0,81,0,0,0,0,23,0,7.9,0
1670624072,0,1,-84,84,-0.333,0,81,0,0,0,0,21,25,7.8,0
1670624073,0,1,-84,84,-0.366,0,81,0,0,0,0,23,4.5,6.9,0
1670624074,0,1,-84,84,-0.332,0,81,0,0,0,0,23,25,9,0
1670624075,0,1,-84,84,-0.313,0,81,0,0,0,0,23,0,8,0
1670624076,0,1,-84,84,-0.331,0,81,0,0,0,0,22,25,7.3,0
1670624077,0,1,-84,84,-0.343,0,81,0,0,0,0,23,17,8.1,0
1670624078,0,1,-84,84,-0.259,0,81,0,0,0,0,22,0,7.7,0
1670624079,0,1,-84,84,-0.359,0,81,0,0,0,0,22,0,6.8,0
1670624080,0,1,-84,84,-0.335,0,81,0,0,0,0,22,16,7.3,0
1670624081,0,1,-84,84,-0.321,0,81,0,0,0,0,22,0,7.9,0
1670624082,0,1,-84,84,-0.364,0,81,0,0,0,0,23,0,7.8,0
1670624083,0,1,-84,84,-0.364,0,81,0,0,0,0,22,12,7,0
1670624084,0,1,-84,84,-0.409,0,81,0,0,0,0,22,25,7.1,0
1670624085,0,1,-84,84,-0.394,0,81,0,0,0,0,22,16,6.8,0
1670624086,0,1,-84,84,-0.43,0,81,0,0,0,0,23,25,8.7,0
1670624087,0,1,-84,84,-0.315,0,81,0,0,0,0,22,0,7.7,0
1670624088,0,1,-84,84,-0.339,0,81,0,0,0,0,23,0,8.4,0
1670624089,0,1,-84,84,-0.361,0,81,0,0,0,0,22,8.3,7.6,0
1670624090,0,1,-84,84,-0.357,0,81,0,0,0,0,22,0,5.8,0
1670624091,0,1,-84,84,-0.331,0,81,0,0,0,0,23,8.3,9.2,0
1670624092,0,1,-84,84,-0.338,0,81,0,0,0,0,23,0,7.3,0
1670624093,0,1,-84,84,-0.352,0,81,0,0,0,0,22,1.5,7.1,0
1670624094,0,1,-84,84,-0.347,0,81,0,0,0,0,23,8.3,7.4,0
1670624095,0,1,-84,84,-0.327,0,81,0,0,0,0,22,8.3,7.4,0
1670624096,0,1,-84,84,-0.301,0,81,0,0,0,0,23,7.8,8.4,0
1670624097,0,1,-84,84,-0.298,0,81,0,0,0,0,22,8.3,7.6,0
1670624098,0,1,-84,84,-0.286,0,81,0,0,0,0,23,0,8.1,0
1670624099,0,1,-84,84,-0.279,0,81,0,0,0,0,22,25,7.9,0
1670624100,0,1,-84,84,-0.273,0,81,0,0,0,0,23,8.3,8.5,0
1670624101,0,1,-84,84,-0.35,0,81,0,0,0,0,23,8.3,8.6,0
1670624102,0,1,-84,84,-0.325,0,81,0,0,0,0,22,8.3,6.6,0
1670624103,0,1,-84,84,-0.372,0,81,0,0,0,0,22,0,7.6,0
1670624104,0,1,-84,84,-0.366,0,81,0,0,0,0,22,2,6.4,0
