Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Time,Fix,Number of Satellites
1,-78.6961099,35.7272789,0.006,12.587,100,1670624078,6,10
2,-78.6961099,35.7272789,0.006,12.587,100,1670624079,6,10
3,-78.6961099,35.7272789,0.005,12.587,100,1670624080,6,10
4,-78.6961099,35.7272789,0.005,12.587,100,1670624081,6,10
5,-78.6961099,35.7272789,0.005,12.587,100,1670624082,6,10
6,-78.69611,35.7272789,0.005,12.587,100,1670624083,6,10
7,-78.69611,35.7272789,0.005,12.587,100,1670624084,6,10
8,-78.69611,35.7272789,0.005,12.587,100,1670624085,6,10
9,-78.69611,35.7272789,0.005,12.489,99,1670624086,6,10
10,-78.69611,35.7272789,0.053,12.143,99,1670624087,6,10
11,-78.6961099,35.7272789,1.195,12.143,99,1670624088,6,10
12,-78.6961097,35.7272788,3.11,12.193,99,1670624089,6,10
13,-78.6961098,35.7272788,5.284,12.193,99,1670624090,6,10
14,-78.6961099,35.7272789,7.576,12.193,99,1670624091,6,10
15,-78.6961098,35.7272788,9.942,12.193,98,1670624092,6,10
16,-78.6961097,35.7272788,12.354,12.193,98,1670624093,6,10
17,-78.6961097,35.7272788,14.794,12.193,98,1670624094,6,10
18,-78.6961097,35.7272788,17.25,12.193,98,1670624095,6,10
19,-78.6961097,35.7272788,19.719,12.193,98,1670624096,6,10
20,-78.6961097,35.7272788,22.198,12.193,97,1670624097,6,10
21,-78.6961097,35.7272787,24.684,12.193,97,1670624098,6,10
22,-78.6961097,35.7272787,27.172,12.193,97,1670624099,6,10
23,-78.6961098,35.7272787,29.663,12.193,97,1670624100,6,10
24,-78.6961097,35.7272787,32.155,12.193,97,1670624101,6,10
25,-78.6961096,35.7272787,34.648,12.193,96,1670624102,6,10
26,-78.6961096,35.7272786,37.14,12.193,96,1670624103,6,10
27,-78.6961096,35.7272786,39.634,12.193,96,1670624104,6,10
28,-78.6961095,35.7272786,42.126,12.193,96,1670624105,6,10
29,-78.6961094,35.7272787,44.622,12.193,96,1670624106,6,10
30,-78.6961095,35.7272786,47.063,12.193,95,1670624107,6,10
31,-78.6961095,35.7272786,48.892,12.242,95,1670624108,6,10
32,-78.6961095,35.7272786,49.642,12.242,95,1670624109,6,10
33,-78.6961095,35.7272786,49.845,12.242,95,1670624110,6,10
34,-78.6961094,35.7272786,49.918,12.242,95,1670624111,6,10
35,-78.6961094,35.7272786,49.948,12.242,95,1670624112,6,10
36,-78.6961096,35.7272785,49.962,12.242,94,1670624113,6,10
37,-78.6961151,35.7272781,49.968,12.242,94,1670624114,6,10
38,-78.6961295,35.7272771,49.972,12.242,94,1670624115,6,10
39,-78.6961536,35.7272755,49.977,12.193,94,1670624116,6,10
40,-78.6961872,35.7272731,49.982,12.193,94,1670624117,6,10
41,-78.6962274,35.7272701,49.987,12.193,93,1670624118,6,10
42,-78.6962719,35.7272668,49.99,12.193,93,1670624119,6,10
43,-78.6963072,35.7272642,49.994,12.193,93,1670624120,6,10
44,-78.6963561,35.7272605,49.997,12.193,93,1670624121,6,10
45,-78.6964061,35.7272568,49.999,12.193,93,1670624122,6,10
46,-78.6964545,35.7272532,50.002,12.242,93,1670624123,6,10
47,-78.6964965,35.7272501,50.003,12.242,92,1670624124,6,10
48,-78.6965274,35.727248,50.002,12.242,92,1670624125,6,10
49,-78.6965437,35.7272454,49.997,12.242,92,1670624126,6,10
50,-78.6965465,35.7272374,49.992,12.242,92,1670624127,6,10
51,-78.6965442,35.7272228,49.985,12.242,92,1670624128,6,10
52,-78.6965415,35.7272004,49.984,12.193,92,1670624129,6,10
53,-78.6965392,35.727171,49.986,12.193,91,1670624130,6,10
54,-78.6965373,35.7271369,49.988,12.193,91,1670624131,6,10
55,-78.6965355,35.7270997,49.99,12.193,91,1670624132,6,10
56,-78.6965337,35.7270605,49.992,12.193,91,1670624133,6,10
57,-78.6965317,35.7270198,49.993,12.193,91,1670624134,6,10
58,-78.6965297,35.7269782,49.994,12.193,90,1670624135,6,10
